dataset,kind,variant,mode,target,n,rmse,mae,r2,y_mean,y_std
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,arxiv,256,0.3235781149712034,0.25340373139635897,0.8277187853401842,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,freelaw,256,0.3936186829767872,0.31640974296577695,0.7147555997689254,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,pubmed_central,256,0.38833512726250663,0.3280251675437145,0.7843173051788854,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,wikipedia_en,256,0.426263169875225,0.3523361482287106,0.3913337252200887,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,dm_mathematics,256,0.3692995334747364,0.27803308683077965,0.941997049761179,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,github,256,0.3653475786349264,0.28429315140157096,0.8427372419728227,5.073727259412408,0.923088162832395
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,stackexchange,256,0.28939396217360225,0.2155811285558526,0.8100745115517106,5.119640211574733,0.665346278903753
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,gutenberg_pg_19,256,0.3618581504035762,0.29841402649341353,0.3494841615150738,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,pile_cc,256,0.21690259436511278,0.17409762055619757,0.5419798924904222,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,ubuntu_irc,256,0.3561341150479958,0.26243330844084445,0.8725105408886159,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,hackernews,256,0.2942202073794495,0.24704035551894066,0.23456014907514033,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,pubmed_abstracts,256,0.4121211290601851,0.33075596342079844,0.47780887334566136,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,uspto_backgrounds,256,0.41326517406617114,0.349276819411643,0.3435930661407107,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,best_entropy_proxyQ,entropy_proxy,__composite_equal_v__,256,0.11749914973830085,0.09800900652475343,0.8209681944765396,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,forest_pertarget_none,none,arxiv,256,0.13164286890747962,0.07635437847431417,0.9714849379838487,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,forest_pertarget_none,none,freelaw,256,0.0725220468792966,0.057266649301385135,0.9903170915432299,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,forest_pertarget_none,none,pubmed_central,256,0.11562168016955743,0.08568354198676337,0.9808803252754469,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,forest_pertarget_none,none,wikipedia_en,256,0.08535591435980945,0.06324804265444149,0.9755943231583327,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,forest_pertarget_none,none,dm_mathematics,256,0.21819168538321843,0.09483306917064853,0.9797526141247666,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,forest_pertarget_none,none,github,256,0.11081878684248213,0.07571116471383069,0.9855309437757251,5.073727259412408,0.923088162832395
same_scale_1m,final_test,forest_pertarget_none,none,stackexchange,256,0.09148662324648225,0.06431181043764193,0.9810189813220187,5.119640211574733,0.665346278903753
same_scale_1m,final_test,forest_pertarget_none,none,gutenberg_pg_19,256,0.10027126527692677,0.07162389259482985,0.9500501547246484,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,forest_pertarget_none,none,pile_cc,256,0.07237220364394706,0.05675123811634712,0.9490083994292438,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,forest_pertarget_none,none,ubuntu_irc,256,0.1504685413426926,0.1029780330702627,0.9772417667315658,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,forest_pertarget_none,none,hackernews,256,0.08024841437869834,0.059849791078243814,0.9430571769285466,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,forest_pertarget_none,none,pubmed_abstracts,256,0.09436811406027214,0.06801501257995013,0.9726201996209873,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,forest_pertarget_none,none,uspto_backgrounds,256,0.06818060975982458,0.049299978331755805,0.9821335896545262,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,forest_pertarget_none,none,__composite_equal_v__,256,0.047731991719382354,0.037811391459726965,0.9704552814672844,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,ridge_none,none,arxiv,256,0.5877952234716207,0.4900615341967621,0.43149832456431036,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,ridge_none,none,freelaw,256,0.4810788545713862,0.4183058280461566,0.5739130273831914,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,ridge_none,none,pubmed_central,256,0.5302413436057294,0.45830258041299266,0.597886066631758,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,ridge_none,none,wikipedia_en,256,0.29562486820214184,0.24671874848974157,0.707244173448885,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,ridge_none,none,dm_mathematics,256,1.158720460894497,1.053232578654765,0.42898184346222235,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,ridge_none,none,github,256,0.611972811252041,0.50607940796936,0.558757154494498,5.073727259412408,0.923088162832395
same_scale_1m,final_test,ridge_none,none,stackexchange,256,0.44775249504606196,0.3705963109610797,0.5453466982145588,5.119640211574733,0.665346278903753
same_scale_1m,final_test,ridge_none,none,gutenberg_pg_19,256,0.25708096425055793,0.20120897798247073,0.6716621142154251,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,ridge_none,none,pile_cc,256,0.1538964608442595,0.12477847733331589,0.7694249475727941,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,ridge_none,none,ubuntu_irc,256,0.6505137539938817,0.5691565292923805,0.5746366285334296,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,ridge_none,none,hackernews,256,0.19112661032084036,0.1570887078734413,0.6769956362513803,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,ridge_none,none,pubmed_abstracts,256,0.26282181715292197,0.20341650330129524,0.787625410102482,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,ridge_none,none,uspto_backgrounds,256,0.27183134598263575,0.2245932286273225,0.7160024368218265,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,ridge_none,none,__composite_equal_v__,256,0.22765452617213322,0.1808758055028396,0.3279318376544139,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,forest_equal,equal,arxiv,256,0.31734037718192915,0.25047261323675973,0.8342970230157968,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,forest_equal,equal,freelaw,256,0.4042499240976937,0.32576849167833166,0.6991391947012402,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,forest_equal,equal,pubmed_central,256,0.3817127249384258,0.3233337801456459,0.791610792338402,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,forest_equal,equal,wikipedia_en,256,0.42332476366348615,0.34983475843728296,0.3996963726538122,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,forest_equal,equal,dm_mathematics,256,0.3674753012595949,0.27549097840111736,0.9425686698333887,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,forest_equal,equal,github,256,0.35339198987130593,0.27557474879325106,0.8528613307301719,5.073727259412408,0.923088162832395
same_scale_1m,final_test,forest_equal,equal,stackexchange,256,0.2861272636828457,0.21456976115232743,0.8143380945096,5.119640211574733,0.665346278903753
same_scale_1m,final_test,forest_equal,equal,gutenberg_pg_19,256,0.36370535597711184,0.30004422158114463,0.34282573182377596,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,forest_equal,equal,pile_cc,256,0.21367060957111111,0.16868859520867202,0.5555277730318454,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,forest_equal,equal,ubuntu_irc,256,0.35831471750784327,0.2642417214338313,0.8709445300940604,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,forest_equal,equal,hackernews,256,0.2910153498174231,0.24497632711372586,0.2511447685601027,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,forest_equal,equal,pubmed_abstracts,256,0.41853790722133677,0.333578105639075,0.4614211152341363,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,forest_equal,equal,uspto_backgrounds,256,0.41664224586489795,0.3522612601405394,0.33282133551803605,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,forest_equal,equal,__composite_equal_v__,256,0.11746945753962548,0.09853859456209266,0.8210586662167958,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,forest_none,none,arxiv,256,0.3199692530643725,0.2534547218748532,0.8315402550916916,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,forest_none,none,freelaw,256,0.3985979769448637,0.31940765946650407,0.7074932450481982,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,forest_none,none,pubmed_central,256,0.3722762436572316,0.3141365934560216,0.8017867905499237,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,forest_none,none,wikipedia_en,256,0.43089400670755346,0.3569607002138796,0.37803703463090754,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,forest_none,none,dm_mathematics,256,0.36728781093136686,0.2765155568498756,0.9426272591969247,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,forest_none,none,github,256,0.3567694042480682,0.27586614118675723,0.850035443490709,5.073727259412408,0.923088162832395
same_scale_1m,final_test,forest_none,none,stackexchange,256,0.2873130530470632,0.21386854958607787,0.8127960386909105,5.119640211574733,0.665346278903753
same_scale_1m,final_test,forest_none,none,gutenberg_pg_19,256,0.3710767011435129,0.3044222442267004,0.31591742027910286,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,forest_none,none,pile_cc,256,0.21967414151586973,0.1747579781046093,0.5302000926256512,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,forest_none,none,ubuntu_irc,256,0.3597209437616908,0.26559462565655956,0.8699295714687731,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,forest_none,none,hackernews,256,0.29404751376332805,0.24795433019895463,0.23545844075443745,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,forest_none,none,pubmed_abstracts,256,0.41051065057541947,0.327667339869457,0.48188211462246233,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,forest_none,none,uspto_backgrounds,256,0.40931960878539947,0.3460041337852321,0.356067057733398,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,forest_none,none,__composite_equal_v__,256,0.11873852364035359,0.09967837745705585,0.8171714423291659,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,best_drop_ref16,none,arxiv,256,0.3182073929184069,0.25240207256921127,0.8333903413724779,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,best_drop_ref16,none,freelaw,256,0.3974319834206558,0.31946309046868593,0.7092020451910406,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,best_drop_ref16,none,pubmed_central,256,0.370861241322589,0.3136279631745743,0.8032907227990437,5.088126305490732,0.8378165185877576
