variant,composite_loss_rmse,mean_target_rmse,sd_normalized_rmse,composite_loss_rmse_rank,mean_target_rmse_rank,sd_normalized_rmse_rank
best_drop_ref16,0.11764688436682216,0.351501729892699,0.5732205238299228,5,2,3
best_entropy_proxyQ,0.11749914973830085,0.3546413492070367,0.576949024031684,4,6,6
forest_entropy,0.11657702421111452,0.3529279418734124,0.5731373578328847,2,3,2
forest_equal,0.11746945753962548,0.3535006562042312,0.5753061487395589,3,4,4
forest_none,0.11873852364035359,0.35365056216505697,0.5768998307848736,6,5,5
forest_pertarget_none,0.047731991719382354,0.10704221186543748,0.1612258733247322,1,1,1
ridge_entropy,0.23028649890028993,0.4530682308911559,0.6086298209067433,9,7,7
ridge_equal,0.2298272521735459,0.45343299337850396,0.6089570162927462,8,8,8
ridge_none,0.22765452617213322,0.4538813084298904,0.609852690726578,7,9,9
train_mean,0.2846149798599803,0.7129020257896124,1.0042107612717133,10,10,10
