max_group,min_group,n,share_of_conflicts
cleanliness,structure_format,8854,0.4849381093219411
language_quality,professionalism,1570,0.08598970314382737
domain_relevance,educational_value,1564,0.0856610800744879
cleanliness,domain_relevance,1452,0.07952678278015117
cleanliness,professionalism,1187,0.06501259721765801
domain_relevance,structure_format,1017,0.05570161025303976
lexical_information,structure_format,570,0.031219191587249426
cleanliness,educational_value,511,0.027987731405411328
language_quality,educational_value,456,0.02497535326979954
language_quality,structure_format,327,0.017909957279000986
domain_relevance,language_quality,182,0.009968233103297185
domain_relevance,professionalism,172,0.009420527987731405
professionalism,structure_format,93,0.005093657574761748
language_quality,cleanliness,80,0.004381640924526235
lexical_information,professionalism,71,0.0038887063205170335
lexical_information,educational_value,61,0.0033410012049512544
lexical_information,language_quality,40,0.0021908204622631175
language_quality,domain_relevance,39,0.0021360499507065396
lexical_information,cleanliness,7,0.00038339358089604556
cleanliness,language_quality,3,0.00016431153466973383
professionalism,domain_relevance,1,5.477051155657794e-05
structure_format,professionalism,1,5.477051155657794e-05
