set,domain,n,Q_equal_mean,Q_equal_p05,Q_equal_p50,Q_equal_p95,Q_equal_ci95_lo,Q_equal_ci95_hi,Q_entropy_mean,Q_entropy_p05,Q_entropy_p50,Q_entropy_p95,Q_entropy_ci95_lo,Q_entropy_ci95_hi,Q_resolved_mean,Q_resolved_p05,Q_resolved_p50,Q_resolved_p95,Q_resolved_ci95_lo,Q_resolved_ci95_hi,c_mean,c_p05,c_p50,c_p95,c_ci95_lo,c_ci95_hi,conflict_rate,missing_metric_cells
A1,arxiv,1419,0.6218591514693877,0.5714339204206705,0.620699209509087,0.6762346777923993,0.6201184168043592,0.6235998861344163,0.47052074430786917,0.427480849070655,0.4665739686366824,0.5309001254414846,0.46876259130455666,0.47227889731118167,0.5531947970844412,0.49650644188401877,0.5502737482997397,0.6169551400785268,0.5511860871563502,0.5552035070125322,0.7149033465215341,0.5965152516381199,0.7210489401995994,0.8038754892067299,0.7113598091930182,0.71844688385005,0.485553206483439,0
A1,book,171,0.5324885235712373,0.44703378528705495,0.5296609850388598,0.6249376373441282,0.5242005621539644,0.5407764849885103,0.35279480265745683,0.23510537326409578,0.33784608606010036,0.5000504910327797,0.3403508111837107,0.36523879413120297,0.47529581119234,0.3959057918281342,0.47360720380116306,0.5571534887640326,0.46760360258052275,0.48298801980415723,0.6745134419662437,0.48206919996530795,0.6852997531653255,0.8407733405106659,0.6589368410102913,0.6900900429221962,0.2982456140350877,0
A1,c4,10000,0.6203958494999309,0.5062474364308276,0.6258641110716335,0.7176014256648968,0.6191378875450047,0.6216538114548571,0.3859015789846886,0.27159606840260014,0.38371429712965066,0.5068522287500058,0.3845146104351901,0.38728854753418707,0.5509906896617065,0.43071068469639034,0.5529601084181652,0.66951025410148,0.5496035949718467,0.5523777843515663,0.6355534158130139,0.4401016864996566,0.6476292104411905,0.7835350726582659,0.6335367643197993,0.6375700673062286,0.1896,0
A1,commoncrawl,9640,0.6188671120821864,0.5081106016531549,0.6275863578638126,0.6999847970724593,0.6177069205811008,0.620027303583272,0.3977643487398037,0.2850822312151353,0.3992767988739743,0.500460120904506,0.3964752847233361,0.3990534127562713,0.5589267335359777,0.4492303235443427,0.5615179485102542,0.6580093856818243,0.5577025010001224,0.5601509660718329,0.605007472104213,0.4273934550394149,0.61407013414625,0.761610830285004,0.6029450689881959,0.6070698752202301,0.12033195020746888,0
A1,github,10000,0.5394778142916135,0.4379737820256233,0.5407017046910327,0.6396070704622804,0.5382940889242404,0.5406615396589866,0.35913915806672886,0.23126611327694244,0.363340851248754,0.4774717805345009,0.3576564333142456,0.3606218828192121,0.4917705063045909,0.38021649624259585,0.4951652704365678,0.598947938346492,0.49047792413510594,0.4930630884740759,0.47401436285587195,0.30261456299794565,0.46284831629304723,0.6762053426886621,0.4717616489587162,0.4762670767530277,0.0176,0
A1,stackexchange,10000,0.6535113601752659,0.5679215329870099,0.6589657178982384,0.7191321922032929,0.6525946537307357,0.6544280666197961,0.48716201015913013,0.38729072803788245,0.48953730092350334,0.5769339042574503,0.4860280742668611,0.48829594605139914,0.60413013527202,0.5129857811364895,0.6093996569648212,0.6765144155222972,0.6031646171748996,0.6050956533691404,0.48812283933511097,0.35159863537073005,0.4862895317981149,0.632615439072112,0.4864433474586149,0.48980233121160704,0.0035,0
A1,wikipedia,10000,0.6124107352384236,0.502288114305268,0.6192458630529267,0.7002149037555804,0.6112015985729575,0.6136198719038897,0.4004865595095231,0.25550387696631466,0.414939677451581,0.5133495153000632,0.3989129070930476,0.4020602119259986,0.5470245928631126,0.4355065808322017,0.5490089709503354,0.6480284043912617,0.5457571773483295,0.5482920083778956,0.604707506288936,0.4545198662390726,0.6056596753720862,0.75199554411614,0.602968390172208,0.6064466224056639,0.0933,0
A2,arxiv,17523,0.6198105310482823,0.5723044983732636,0.6184709155223415,0.6720754453329473,0.6193389791779601,0.6202820829186045,0.4682781431107432,0.42858697254630035,0.4639087053105791,0.5260461408873046,0.4677960343830353,0.46876025183845105,0.5508864227164122,0.49828172877092186,0.5474257864021611,0.6139468243424571,0.5503433327968118,0.5514295126360126,0.718263104747221,0.5989541851889357,0.7274407380574843,0.8015268931138759,0.7172963209975173,0.7192298884969247,0.5238828967642527,0
A3,github,203752,0.5392320705191772,0.4381578965817816,0.540583114251733,0.6391767417253651,0.5389693770755896,0.5394947639627649,0.3589240375823751,0.23132452556185862,0.36239541075279696,0.4769650810558459,0.35859553020509216,0.3592525449596581,0.49145729148452905,0.38084889037474096,0.4946806611006902,0.5982916273169046,0.49117052281618917,0.4917440601528689,0.4746593832744149,0.3035228263062659,0.46286067755698146,0.6763481181705421,0.47416071554332057,0.4751580510055093,0.020309003101810042,0
merged,arxiv,17523,0.6198105310482823,0.5723044983732636,0.6184709155223415,0.6720754453329473,0.6193389791779601,0.6202820829186045,0.4682781431107432,0.42858697254630035,0.4639087053105791,0.5260461408873046,0.4677960343830353,0.46876025183845105,0.5508864227164122,0.49828172877092186,0.5474257864021611,0.6139468243424571,0.5503433327968118,0.5514295126360126,0.718263104747221,0.5989541851889357,0.7274407380574843,0.8015268931138759,0.7172963209975173,0.7192298884969247,0.5238828967642527,0
