N_B,D_B,Q,predicted_loss,classical_loss_L0,epsilon_N,epsilon_D,epsilon_Q,epsilon_N_classical_part,epsilon_D_classical_part,dL_dN,dL_dD,dL_dQ
0.07,10.0,0.5,3.3967555290789457,3.2151178496527297,-0.08749907287444775,-0.053648210546308174,-0.053473874663999804,-0.09244232201555674,-0.056679059468394494,-4.245899422508028,-0.01822298557983637,-0.3632753588524318
0.07,10.0,1.0,3.2151178496527297,3.2151178496527297,-0.09244232201555674,-0.056679059468394494,-0.11298974900458773,-0.09244232201555674,-0.056679059468394494,-4.245899422508028,-0.01822298557983637,-0.3632753588524318
0.4,50.0,0.5,2.7697709103725643,2.5881332309463483,-0.05933002833367143,-0.04193235607583603,-0.0655785930691949,-0.06349386678602162,-0.04487520915597042,-0.41082646647545784,-0.0023228604012446976,-0.3632753588524318
0.4,50.0,1.0,2.5881332309463483,2.5881332309463483,-0.06349386678602162,-0.04487520915597042,-0.14036192360916463,-0.06349386678602162,-0.04487520915597042,-0.41082646647545784,-0.0023228604012446976,-0.3632753588524318
1.0,150.0,0.5,2.5305479803674453,2.3489103009412293,-0.04755690088139293,-0.03374758771241982,-0.0717780025652157,-0.05123440406801415,-0.036357237606611324,-0.12034501947794365,-0.0005693325995195813,-0.3632753588524318
1.0,150.0,1.0,2.3489103009412293,2.3489103009412293,-0.05123440406801415,-0.036357237606611324,-0.15465697379200224,-0.05123440406801415,-0.036357237606611324,-0.12034501947794365,-0.0005693325995195813,-0.3632753588524318
2.8,300.0,0.5,2.372194909629951,2.190557230203735,-0.035748225832535035,-0.029652084527043324,-0.07656945839014145,-0.03871241443911258,-0.03211079035283964,-0.030286342624371975,-0.00023446841324989735,-0.3632753588524318
2.8,300.0,1.0,2.190557230203735,2.190557230203735,-0.03871241443911258,-0.03211079035283964,-0.16583696323635655,-0.03871241443911258,-0.03211079035283964,-0.030286342624371975,-0.00023446841324989735,-0.3632753588524318
12.0,300.0,0.5,2.2748445242088473,2.0932068447826313,-0.02272898543874752,-0.030921024811325273,-0.07984619497870363,-0.024701289409134675,-0.03360419164990534,-0.004308742338846452,-0.00023446841324989735,-0.3632753588524318
12.0,300.0,1.0,2.0932068447826313,2.0932068447826313,-0.024701289409134675,-0.03360419164990534,-0.17354967081151315,-0.024701289409134675,-0.03360419164990534,-0.004308742338846452,-0.00023446841324989735,-0.3632753588524318
