N_B,D_B,Q,Q_plus,delta_loss_Q,N_eq_B,N_eq_over_N_minus_1,status
0.07,10.0,0.5,0.6,0.03632753588524318,0.07930765842256268,0.1329665488937526,finite
0.07,10.0,0.8,0.9,0.03632753588524318,0.07930765842256268,0.1329665488937526,finite
0.4,50.0,0.5,0.6,0.03632753588524318,0.5033454328830606,0.2583635822076513,finite
0.4,50.0,0.8,0.9,0.03632753588524318,0.5033454328830606,0.2583635822076513,finite
1.0,150.0,0.5,0.6,0.03632753588524318,1.3750630728230238,0.37506307282302376,finite
1.0,150.0,0.8,0.9,0.03632753588524318,1.3750630728230238,0.37506307282302376,finite
2.8,300.0,0.5,0.6,0.03632753588524318,4.44864489846024,0.5888017494500859,finite
2.8,300.0,0.8,0.9,0.03632753588524318,4.44864489846024,0.5888017494500859,finite
12.0,300.0,0.5,0.6,0.03632753588524318,26.782304579372855,1.2318587149477378,finite
12.0,300.0,0.8,0.9,0.03632753588524318,26.782304579372855,1.2318587149477378,finite
