domain_up,domain_down,delta,Q_before,Q_after,dQ,h1,h2,dh_over_h,loss_h1_equiv,loss_with_h2,dLoss,functional,omega
arxiv,freelaw,0.05,0.41663254110330095,0.42083385779990545,0.004201316696604507,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
arxiv,pubmed_central,0.05,0.41663254110330095,0.42083385779990545,0.004201316696604507,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
arxiv,wikipedia_en,0.05,0.41663254110330095,0.4226356647715589,0.006003123668257948,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
arxiv,github,0.05,0.41663254110330095,0.4263161357952342,0.00968359469193325,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
arxiv,stackexchange,0.05,0.41663254110330095,0.41496032483094986,-0.0016722162723510903,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
arxiv,pile_cc,0.05,0.41663254110330095,0.422876723720673,0.006244182617372029,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
arxiv,pubmed_abstracts,0.05,0.41663254110330095,0.42083385779990545,0.004201316696604507,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
arxiv,uspto_backgrounds,0.05,0.41663254110330095,0.42083385779990545,0.004201316696604507,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
freelaw,arxiv,0.05,0.41663254110330095,0.4116148576053034,-0.005017683497997527,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
freelaw,pubmed_central,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
freelaw,wikipedia_en,0.05,0.41663254110330095,0.41820122115064357,0.0015686800473426188,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
