model_repo,family_prefix,lab,N_est,weight_file_count,weight_total_bytes,bytes_per_param,single_copy
EleutherAI/pythia-14m,EleutherAI,14m,14000000.0,2,56303938,4.021709857142858,True
EleutherAI/pythia-70m,EleutherAI,70m,70000000.0,2,332078951,4.743985014285714,True
EleutherAI/pythia-160m,EleutherAI,160m,160000000.0,2,750035541,4.68772213125,True
EleutherAI/pythia-410m,EleutherAI,410m,410000000.0,2,1822822845,4.44590937804878,True
EleutherAI/pythia-1b,EleutherAI,1b,1000000000.0,2,4181453493,4.181453493,True
EleutherAI/pythia-1.4b,EleutherAI,1.4b,1400000000.0,2,5860078981,4.1857707007142855,True
EleutherAI/pythia-2.8b,EleutherAI,2.8b,2800000000.0,2,11369487041,4.060531086071428,True
EleutherAI/pythia-6.9b,EleutherAI,6.9b,6900000000.0,4,27697868990,4.014183911594203,True
EleutherAI/pythia-12b,EleutherAI,12b,12000000000.0,6,47686533355,3.9738777795833333,True
cerebras/Cerebras-GPT-111M,cerebras,111M,111000000.0,1,486188257,4.3800743873873875,True
cerebras/Cerebras-GPT-256M,cerebras,256M,256000000.0,1,1082688753,4.22925294140625,True
cerebras/Cerebras-GPT-590M,cerebras,590M,590000000.0,1,2436818753,4.130201276271187,True
cerebras/Cerebras-GPT-1.3B,cerebras,1.3B,1300000000.0,1,5363661129,4.125893176153846,True
cerebras/Cerebras-GPT-2.7B,cerebras,2.7B,2700000000.0,1,10740572549,3.977989832962963,True
cerebras/Cerebras-GPT-6.7B,cerebras,6.7B,6700000000.0,1,26767978209,3.9952206282089553,True
cerebras/Cerebras-GPT-13B,cerebras,13B,13000000000.0,2,51581500674,3.967807744153846,True
allenai/OLMo-1B,allenai,1B,1000000000.0,2,9414146093,9.414146093,False
allenai/OLMo-7B,allenai,7B,7000000000.0,2,55104826062,7.872118008857143,False
