candidate,source,in_trust_box,in_trust_l1,trust_status,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds,select_rank,select_rank_low,Q,delta,aliases,delta_ref,delta_mixture_l1,is_p0
reference_p0,first_question_reference,True,True,in,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588,,,0.41663254110330095,0.0,reference_p0,0.0,0.0,True
shift_arxiv_up__github_down,simplex_perturbation|topQ,True,True,in,0.1630225258326928,0.09682483215202782,0.005889680217095951,0.11375419105058358,0.07507775607983629,0.025462854097050402,0.060700660070509165,0.005487697351193037,0.09943242344413018,0.0022110330434062264,0.046914944247535374,0.11948759779188563,0.019599998284005896,0.012737064754031533,0.01165082237810868,0.06618116611257163,0.07556475309333589,5.0,,0.4263161357952343,-2.262605482454919,shift_arxiv_up__github_down,-2.262605482454919,1.0000000000000018,False
shift_stackexchange_up__github_down,simplex_perturbation|topQ,True,True,in,0.1130225258326928,0.09682483215202782,0.005889680217095951,0.11375419105058358,0.07507775607983629,0.025462854097050402,0.060700660070509165,0.005487697351193037,0.14943242344413019,0.0022110330434062264,0.046914944247535374,0.11948759779188563,0.019599998284005896,0.012737064754031533,0.01165082237810868,0.06618116611257163,0.07556475309333589,3.0,,0.42798835206758523,-2.6533246137319972,shift_stackexchange_up__github_down,-2.6533246137319972,1.0000000000000018,False
shift_gutenberg_pg_19_up__stackexchange_down,simplex_perturbation|lowQ,True,True,in,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.049432423444130166,0.002211033043406226,0.09691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588,,2.0,0.404733970207894,2.780142353929037,shift_gutenberg_pg_19_up__stackexchange_down,2.780142353929037,1.0000000000000007,False
dirichlet_a50_0,dirichlet_around_p0|lowQ,True,True,in,0.08724241631373292,0.10307868453174224,0.0008791610939579559,0.18319318967317844,0.10318069980519834,0.10006547421739466,0.07026102578646377,3.715964492246172e-05,0.022514420553895076,2.2949196706147332e-08,0.059454954088504916,0.10107501289019456,0.01715713152604788,0.003194817922266509,0.043188910307618594,0.06735055061762221,0.03812636807806271,,3.0,0.40462166657937887,2.806382486200324,dirichlet_a50_0,2.806382486200324,4.472917942470916,False
dirichlet_a50_3,dirichlet_around_p0|topQ,True,True,in,0.20710326305804788,0.20876899318286618,9.828233278692559e-08,0.06357736038775079,0.0846267579258742,0.04832148956853838,0.04913901078814618,0.006344723433349429,0.08406175201277899,9.33580954715254e-12,0.04419263132899601,0.04789586840149506,0.009243283048644035,0.01676905914487853,0.02175470395326775,0.07660569634219899,0.031595309131498994,2.0,,0.4334555431879409,-3.930752779209648,dirichlet_a50_3,-3.930752779209648,5.276999357030186,False
dirichlet_a50_6,dirichlet_around_p0|lowQ,True,True,in,0.060653195217348826,0.08344995647287771,0.00041666336803112403,0.0990703423376882,0.06718173187779866,0.05673516636169769,0.1135825495798798,4.010972912398717e-06,0.05319667183519394,0.0016949001313636396,0.05263867503353262,0.20131489898637128,0.004255358685907851,0.0026534997419792247,0.002848041198137679,0.1063387296755577,0.09396560852372167,,4.0,0.40220629608094693,3.370742179658421,dirichlet_a50_6,3.370742179658421,3.6052730549574563,False
dirichlet_a50_11,dirichlet_around_p0|topQ,True,True,in,0.10126253019578565,0.049192001973131526,8.931123110136004e-05,0.18524413046347266,0.04745645334191378,0.005848737376069567,0.05302974712954038,6.410135839738102e-08,0.17208015649439892,0.000127619981249621,0.09286391893823036,0.08711381316996665,0.029670380099063712,0.014451939548285721,0.0006709782008053875,0.10504458513504467,0.05585363262058166,4.0,,0.427409019884782,-2.5179616400973166,dirichlet_a50_11,-2.5179616400973166,4.814706455712759,False
dirichlet_a50_18,dirichlet_around_p0|lowQ,True,True,in,0.057472777838797236,0.13117309675637095,5.422443916625847e-07,0.10825731563571368,0.09275874459847994,0.00026193423632523685,0.0902021276789799,0.02663260678862048,0.06887312884529105,7.753348651979005e-05,0.11809193108706006,0.08752262205702484,0.06043536940077315,0.002056326872907061,2.6461223364532813e-06,0.09860428241510777,0.05757701393530061,,5.0,0.40096524526424504,3.6607180069422696,dirichlet_a50_18,3.6607180069422696,4.3521927363848505,False
dirichlet_a20_1,dirichlet_around_p0|lowQ,True,True,in,0.0630460462385235,0.05119447165955246,0.002145773839831995,0.07488715106495071,0.1636296602049057,0.009707283651834224,0.14583263864465765,6.100857989063662e-06,0.032801664886877246,0.00024091314067686443,0.03719609711604797,0.17796151297032842,0.0524008209645908,0.0074811175866546014,0.00545490965677315,0.06876919387021926,0.10724464364558649,,6.0,0.3985485408784806,4.22538936780153,dirichlet_a20_1,4.22538936780153,4.984530777362879,False
dirichlet_a20_3,dirichlet_around_p0|lowQ,True,True,in,0.103760370839929,0.03434031753150835,0.0011034474671832212,0.20578312251275913,0.015362002072794345,0.03133579263650582,0.2101458286155628,4.571613384598686e-09,0.079043884720153,1.7774087326342047e-08,0.051601142560830975,0.06707926554540611,0.0728626288071658,7.60876202468045e-07,0.0008846515956404503,0.1021329259642881,0.024563835908369903,,1.0,0.4052446927984013,2.6608102494722004,dirichlet_a20_3,2.6608102494722004,5.824952544697132,False
dirichlet_a20_4,dirichlet_around_p0|lowQ,False,False,outside,0.07975675893679825,0.15912348484004943,2.3916072319625646e-05,0.04412291332471955,0.006575218355045986,0.17830182371649192,0.10733470897284486,9.068824045565561e-08,0.04560213780581783,2.4674381484862554e-07,0.13022419207132135,0.09768966083516943,3.454312847749183e-05,0.036344172522635734,0.02597204058680974,0.04244271850151176,0.04645137289793162,,7.0,0.39710837194347914,4.561889833967253,dirichlet_a20_4,4.561889833967253,6.727503922171091,False
