functional,omega,C,cost_form,ell,q0_mode,kappa,candidate,source,trust_status,in_trust_box,in_trust_l1,N_B,D_B,Q,Q0,h,h_true,L_pred,c_quality,u,budget_residual,budget_residual_rel,boundary_n_lower,boundary_n_upper,boundary_q_lower,boundary_q_upper,n_evals,C_train,C_attn,C_quality,used,unused,share_train,share_attn,share_quality,share_unused,D_used,aliases,Q_cand,N_in_support,D_in_support,extrapolation,regime,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.22232416335630398,5.966798050391992,0.6030456680355448,0.41663254110330095,1.0,1.0,3.123094642754934,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,reference_p0,0.41663254110330095,True,True,Q_above_A_supported,interior,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,2048,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,0.2184808281542475,6.151576874513573,0.5990635837058125,0.43829657372764846,1.0,1.0,3.1206863263355347,225224736.48918158,1625599452.6266463,0.0,0.0,False,False,False,False,35185,8.064009659989457e+18,5.5050305945528026e+17,1.3854872805552627e+18,1e+19,0.0,0.8064009659989457,0.055050305945528025,0.13854872805552626,0.0,6151576874.513573,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,interior,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.0,1e+19,exponential,4096,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.21719675544437037,5.734461504030816,0.608241527536118,0.41663254110330095,1.0,1.0,3.1355734585409953,262734788.9135925,1743842903.639843,2048.0,2.048e-16,False,False,False,False,35185,7.473038597376824e+18,1.0203188698285158e+18,1.5066425327946586e+18,9.999999999999998e+18,2048.0,0.7473038597376824,0.10203188698285158,0.15066425327946587,2.048e-16,5734461504.030816,reference_p0,0.41663254110330095,True,True,Q_above_A_supported,interior,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,4096,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,0.21349448788910338,5.907312427475681,0.6043510852917896,0.43829657372764846,1.0,1.0,3.1332382661140215,236955574.13546747,1692817185.9488413,2048.0,2.048e-16,False,False,False,False,35185,7.567071849029138e+18,1.0331575431207785e+18,1.3997706078500818e+18,9.999999999999998e+18,2048.0,0.7567071849029139,0.10331575431207785,0.13997706078500818,2.048e-16,5907312427.47568,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,interior,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.0,1e+19,exponential,8192,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.2079058294626956,5.338947776503678,0.6176065198096063,0.41663254110330095,1.0,1.0,3.158689755020952,284960360.23435986,1873028248.002214,-2048.0,-2.048e-16,False,False,False,False,35185,6.65999019559207e+18,1.8186213227430077e+18,1.521388481664923e+18,1.0000000000000002e+19,-2048.0,0.665999019559207,0.1818621322743008,0.15213884816649229,-2.048e-16,5338947776.503678,reference_p0,0.41663254110330095,True,True,Q_above_A_supported,interior,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,8192,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,0.20466331299215407,5.4863318351976,0.6140273629817079,0.43829657372764846,1.0,1.0,3.15648142432891,259411226.55859834,1822711476.5178678,0.0,0.0,False,False,False,False,35185,6.737105097395192e+18,1.8396788319287135e+18,1.423216070676095e+18,1e+19,0.0,0.6737105097395192,0.18396788319287136,0.1423216070676095,0.0,5486331835.197599,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,interior,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.0,1e+19,exponential,32768,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.17090181171661814,3.934256663762259,0.6579444350341169,0.41663254110330095,1.0,1.0,3.264133767913078,396343228.47152686,2541776212.0372643,0.0,0.0,False,False,False,False,35185,4.034229549570887e+18,4.4064544626779617e+18,1.559315987751152e+18,1e+19,0.0,0.40342295495708874,0.44064544626779617,0.15593159877511523,0.0,3934256663.762259,reference_p0,0.41663254110330095,True,True,Q_above_A_supported,interior,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,32768,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,0.16898182648953963,4.011594151118347,0.6553537563973189,0.43829657372764846,1.0,1.0,3.262391456133365,371444341.6307348,2492774598.6498194,0.0,0.0,False,False,False,False,35185,4.067319040744395e+18,4.4425970109037445e+18,1.4900839483518607e+18,1e+19,0.0,0.4067319040744395,0.44425970109037444,0.14900839483518608,0.0,4011594151.1183467,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,interior,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.0,1e+19,exponential,131072,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.11604862524256605,2.2587687157931424,0.7325221309794708,0.41663254110330095,1.0,1.0,3.4850599226598504,688753932.5037249,4427190765.517844,0.0,0.0,False,False,False,False,35185,1.5727620252522634e+18,6.871502139128822e+18,1.5557358356189153e+18,1e+19,0.0,0.15727620252522634,0.6871502139128822,0.15557358356189152,0.0,2258768715.7931423,reference_p0,0.41663254110330095,True,True,Q_above_A_supported,interior,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,131072,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,0.11536657513340255,2.282321509617671,0.7311163145329339,0.43829657372764846,1.0,1.0,3.483923347325088,665038641.1286367,4381503639.10612,0.0,0.0,False,False,False,False,35185,1.5798216955073267e+18,6.902346309117878e+18,1.5178319953747948e+18,1e+19,0.0,0.15798216955073266,0.6902346309117878,0.15178319953747949,0.0,2282321509.617671,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,interior,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
