C,cost_form,ell,q0_mode,kappa_scenario,kappa
1e+19,exponential,2048,fixed_ref,M1_staged,0.8047071577351047
1e+19,exponential,2048,mixture,M1_staged,0.8047071577351047
1e+19,exponential,4096,fixed_ref,M1_staged,0.8047071577351047
1e+19,exponential,4096,mixture,M1_staged,0.8047071577351047
1e+19,exponential,8192,fixed_ref,M1_staged,0.8047071577351047
1e+19,exponential,8192,mixture,M1_staged,0.8047071577351047
1e+19,exponential,32768,fixed_ref,M1_staged,0.8047071577351047
1e+19,exponential,32768,mixture,M1_staged,0.8047071577351047
1e+19,exponential,131072,fixed_ref,M1_staged,0.8047071577351047
1e+19,exponential,131072,mixture,M1_staged,0.8047071577351047
1e+19,power,2048,fixed_ref,M1_staged,0.8047071577351047
1e+19,power,2048,mixture,M1_staged,0.8047071577351047
1e+19,power,4096,fixed_ref,M1_staged,0.8047071577351047
1e+19,power,4096,mixture,M1_staged,0.8047071577351047
1e+19,power,8192,fixed_ref,M1_staged,0.8047071577351047
1e+19,power,8192,mixture,M1_staged,0.8047071577351047
1e+19,power,32768,fixed_ref,M1_staged,0.8047071577351047
1e+19,power,32768,mixture,M1_staged,0.8047071577351047
1e+19,power,131072,fixed_ref,M1_staged,0.8047071577351047
1e+19,power,131072,mixture,M1_staged,0.8047071577351047
1e+19,logarithmic,2048,fixed_ref,M1_staged,0.8047071577351047
1e+19,logarithmic,2048,mixture,M1_staged,0.8047071577351047
1e+19,logarithmic,4096,fixed_ref,M1_staged,0.8047071577351047
1e+19,logarithmic,4096,mixture,M1_staged,0.8047071577351047
1e+19,logarithmic,8192,fixed_ref,M1_staged,0.8047071577351047
1e+19,logarithmic,8192,mixture,M1_staged,0.8047071577351047
1e+19,logarithmic,32768,fixed_ref,M1_staged,0.8047071577351047
1e+19,logarithmic,32768,mixture,M1_staged,0.8047071577351047
1e+19,logarithmic,131072,fixed_ref,M1_staged,0.8047071577351047
1e+19,logarithmic,131072,mixture,M1_staged,0.8047071577351047
1e+22,exponential,2048,fixed_ref,M1_staged,0.8047071577351047
1e+22,exponential,2048,mixture,M1_staged,0.8047071577351047
1e+22,exponential,4096,fixed_ref,M1_staged,0.8047071577351047
1e+22,exponential,4096,mixture,M1_staged,0.8047071577351047
1e+22,exponential,8192,fixed_ref,M1_staged,0.8047071577351047
1e+22,exponential,8192,mixture,M1_staged,0.8047071577351047
1e+22,exponential,32768,fixed_ref,M1_staged,0.8047071577351047
1e+22,exponential,32768,mixture,M1_staged,0.8047071577351047
1e+22,exponential,131072,fixed_ref,M1_staged,0.8047071577351047
1e+22,exponential,131072,mixture,M1_staged,0.8047071577351047
1e+22,power,2048,fixed_ref,M1_staged,0.8047071577351047
1e+22,power,2048,mixture,M1_staged,0.8047071577351047
1e+22,power,4096,fixed_ref,M1_staged,0.8047071577351047
1e+22,power,4096,mixture,M1_staged,0.8047071577351047
1e+22,power,8192,fixed_ref,M1_staged,0.8047071577351047
1e+22,power,8192,mixture,M1_staged,0.8047071577351047
1e+22,power,32768,fixed_ref,M1_staged,0.8047071577351047
1e+22,power,32768,mixture,M1_staged,0.8047071577351047
1e+22,power,131072,fixed_ref,M1_staged,0.8047071577351047
