functional,omega,C,cost_form,ell,q0_mode,argmin_L_candidate,L_pred,Q_cand,argmax_Q_candidate,consistent
mixture_l1,0.5,1e+19,exponential,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+19,exponential,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+19,logarithmic,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+19,logarithmic,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+19,power,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+19,power,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+22,exponential,4096,fixed_ref,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+22,exponential,4096,mixture,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+22,logarithmic,4096,fixed_ref,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+22,logarithmic,4096,mixture,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+22,power,4096,fixed_ref,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+22,power,4096,mixture,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+24,exponential,4096,fixed_ref,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+24,exponential,4096,mixture,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+24,logarithmic,4096,fixed_ref,reference_p0,1.690189863156481,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+24,logarithmic,4096,mixture,reference_p0,1.690189863156481,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+24,power,4096,fixed_ref,reference_p0,1.6901945096263993,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,0.5,1e+24,power,4096,mixture,reference_p0,1.6901945096263993,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+19,exponential,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+19,exponential,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+19,logarithmic,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+19,logarithmic,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+19,power,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+19,power,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+22,exponential,4096,fixed_ref,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+22,exponential,4096,mixture,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+22,logarithmic,4096,fixed_ref,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+22,logarithmic,4096,mixture,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+22,power,4096,fixed_ref,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+22,power,4096,mixture,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+24,exponential,4096,fixed_ref,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+24,exponential,4096,mixture,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+24,logarithmic,4096,fixed_ref,reference_p0,1.690189863156481,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+24,logarithmic,4096,mixture,reference_p0,1.690189863156481,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+24,power,4096,fixed_ref,reference_p0,1.6901945096263993,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,1.0,1e+24,power,4096,mixture,reference_p0,1.6901945096263993,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+19,exponential,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+19,exponential,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+19,logarithmic,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+19,logarithmic,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+19,power,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+19,power,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,exponential,4096,fixed_ref,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,exponential,4096,mixture,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,logarithmic,4096,fixed_ref,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,logarithmic,4096,mixture,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,power,4096,fixed_ref,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,power,4096,mixture,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,exponential,4096,fixed_ref,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,exponential,4096,mixture,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
