functional,omega,C,cost_form,ell,q0_mode,argmin_L_candidate,L_min,argmax_h_candidate,h_max,h_min,h_identifiable,argmax_Q_candidate,Q_cand_max,L_spread,n_tied_at_L_min,argmin_L_is_argmax_h,argmax_h_is_argmax_Q
mixture_l1,0.5,1e+19,exponential,4096,fixed_ref,reference_p0,3.1368001240763213,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,2.9408885540305527,1,True,False
mixture_l1,0.5,1e+19,exponential,4096,mixture,reference_p0,3.1368001240763213,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,2.8575940125448036,1,True,False
mixture_l1,0.5,1e+19,logarithmic,4096,fixed_ref,reference_p0,3.1485699367084927,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,2.9291187413983812,1,True,False
mixture_l1,0.5,1e+19,logarithmic,4096,mixture,reference_p0,3.1485699367084927,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,2.845824199912632,1,True,False
mixture_l1,0.5,1e+19,power,4096,fixed_ref,reference_p0,3.1593026663357633,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,2.9183860117711107,1,True,False
mixture_l1,0.5,1e+19,power,4096,mixture,reference_p0,3.1593026663357633,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,2.8350914702853616,1,True,False
mixture_l1,0.5,1e+22,exponential,4096,fixed_ref,reference_p0,2.155624030378727,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,1.0320363981883953,1,True,False
mixture_l1,0.5,1e+22,exponential,4096,mixture,reference_p0,2.155624030378727,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,1.0198330568204597,1,True,False
mixture_l1,0.5,1e+22,logarithmic,4096,fixed_ref,reference_p0,2.1515890685148618,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,1.0544581197550675,1,True,False
mixture_l1,0.5,1e+22,logarithmic,4096,mixture,reference_p0,2.1515890685148618,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,1.0289150361754422,1,True,False
mixture_l1,0.5,1e+22,power,4096,fixed_ref,reference_p0,2.1571581368105055,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,1.049756468730731,1,True,False
mixture_l1,0.5,1e+22,power,4096,mixture,reference_p0,2.1571581368105055,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,1.0233459678797985,1,True,False
mixture_l1,0.5,1e+24,exponential,4096,fixed_ref,reference_p0,1.9160278701350995,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,0.4743194334907759,1,True,False
mixture_l1,0.5,1e+24,exponential,4096,mixture,reference_p0,1.9160278701350995,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,0.4737453534813285,1,True,False
mixture_l1,0.5,1e+24,logarithmic,4096,fixed_ref,reference_p0,1.9157217209387731,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,0.4604712498106469,1,True,False
mixture_l1,0.5,1e+24,logarithmic,4096,mixture,reference_p0,1.9157217209387731,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,0.45822319589498406,1,True,False
mixture_l1,0.5,1e+24,power,4096,fixed_ref,reference_p0,1.9161468055963724,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,0.4826889167874191,1,True,False
mixture_l1,0.5,1e+24,power,4096,mixture,reference_p0,1.9161468055963724,reference_p0,1.0,0.0008148664492355904,True,lp_vertex_box,0.4871620101591301,0.4815767219780003,1,True,False
mixture_l1,1.0,1e+19,exponential,4096,fixed_ref,reference_p0,3.1368001240763213,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,11.627603044612984,1,True,False
mixture_l1,1.0,1e+19,exponential,4096,mixture,reference_p0,3.1368001240763213,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,11.380256123268067,1,True,False
mixture_l1,1.0,1e+19,logarithmic,4096,fixed_ref,reference_p0,3.1485699367084927,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,11.615833231980814,1,True,False
mixture_l1,1.0,1e+19,logarithmic,4096,mixture,reference_p0,3.1485699367084927,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,11.368486310635896,1,True,False
mixture_l1,1.0,1e+19,power,4096,fixed_ref,reference_p0,3.1593026663357633,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,11.605100502353542,1,True,False
mixture_l1,1.0,1e+19,power,4096,mixture,reference_p0,3.1593026663357633,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,11.357753581008625,1,True,False
mixture_l1,1.0,1e+22,exponential,4096,fixed_ref,reference_p0,2.155624030378727,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,4.063995073166518,1,True,False
mixture_l1,1.0,1e+22,exponential,4096,mixture,reference_p0,2.155624030378727,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,3.975788387582568,1,True,False
mixture_l1,1.0,1e+22,logarithmic,4096,fixed_ref,reference_p0,2.1515890685148618,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,4.068030035030384,1,True,False
mixture_l1,1.0,1e+22,logarithmic,4096,mixture,reference_p0,2.1515890685148618,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,3.9798233494464332,1,True,False
mixture_l1,1.0,1e+22,power,4096,fixed_ref,reference_p0,2.1571581368105055,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,4.06246096673474,1,True,False
mixture_l1,1.0,1e+22,power,4096,mixture,reference_p0,2.1571581368105055,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,3.9742542811507895,1,True,False
mixture_l1,1.0,1e+24,exponential,4096,fixed_ref,reference_p0,1.9160278701350995,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,2.0090139398516147,1,True,False
mixture_l1,1.0,1e+24,exponential,4096,mixture,reference_p0,1.9160278701350995,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,1.9683089407710377,1,True,False
mixture_l1,1.0,1e+24,logarithmic,4096,fixed_ref,reference_p0,1.9157217209387731,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,2.009320089047941,1,True,False
mixture_l1,1.0,1e+24,logarithmic,4096,mixture,reference_p0,1.9157217209387731,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,1.968615089967364,1,True,False
mixture_l1,1.0,1e+24,power,4096,fixed_ref,reference_p0,1.9161468055963724,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,2.0088950043903413,1,True,False
mixture_l1,1.0,1e+24,power,4096,mixture,reference_p0,1.9161468055963724,reference_p0,1.0,6.64007330089819e-07,True,lp_vertex_box,0.4871620101591301,1.9681900053097647,1,True,False
mixture_l1,2.0,1e+19,exponential,4096,fixed_ref,reference_p0,3.1368001240763213,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,302.59685025192,1,True,False
mixture_l1,2.0,1e+19,exponential,4096,mixture,reference_p0,3.1368001240763213,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,292.3546337361639,1,True,False
mixture_l1,2.0,1e+19,logarithmic,4096,fixed_ref,reference_p0,3.1485699367084927,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,302.5850804392878,1,True,False
mixture_l1,2.0,1e+19,logarithmic,4096,mixture,reference_p0,3.1485699367084927,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,292.34286392353175,1,True,False
mixture_l1,2.0,1e+19,power,4096,fixed_ref,reference_p0,3.1593026663357633,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,302.5743477096606,1,True,False
mixture_l1,2.0,1e+19,power,4096,mixture,reference_p0,3.1593026663357633,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,292.3321311939045,1,True,False
mixture_l1,2.0,1e+22,exponential,4096,fixed_ref,reference_p0,2.155624030378727,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,50.453493129584366,1,True,False
mixture_l1,2.0,1e+22,exponential,4096,mixture,reference_p0,2.155624030378727,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,48.97179556603145,1,True,False
mixture_l1,2.0,1e+22,logarithmic,4096,fixed_ref,reference_p0,2.1515890685148618,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,50.45752809144823,1,True,False
mixture_l1,2.0,1e+22,logarithmic,4096,mixture,reference_p0,2.1515890685148618,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,48.97583052789532,1,True,False
mixture_l1,2.0,1e+22,power,4096,fixed_ref,reference_p0,2.1571581368105055,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,50.45195902315258,1,True,False
mixture_l1,2.0,1e+22,power,4096,mixture,reference_p0,2.1571581368105055,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,48.97026145959967,1,True,False
mixture_l1,2.0,1e+24,exponential,4096,fixed_ref,reference_p0,1.9160278701350995,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,19.679223113169744,1,True,False
mixture_l1,2.0,1e+24,exponential,4096,mixture,reference_p0,1.9160278701350995,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,19.270900615121942,1,True,False
mixture_l1,2.0,1e+24,logarithmic,4096,fixed_ref,reference_p0,1.9157217209387731,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,19.67952926236607,1,True,False
mixture_l1,2.0,1e+24,logarithmic,4096,mixture,reference_p0,1.9157217209387731,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,19.27120676431827,1,True,False
mixture_l1,2.0,1e+24,power,4096,fixed_ref,reference_p0,1.9161468055963724,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,19.67910417770847,1,True,False
mixture_l1,2.0,1e+24,power,4096,mixture,reference_p0,1.9161468055963724,reference_p0,1.0,4.4090573441300987e-13,True,lp_vertex_box,0.4871620101591301,19.27078167966067,1,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,lp_vertex_box,2.066448221248701,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,2.5504532866744394,2,True,True
quality_linear,0.5,1e+19,exponential,4096,mixture,lp_vertex_box,2.066394695715337,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,2.5874915188910452,2,True,True
quality_linear,0.5,1e+19,logarithmic,4096,fixed_ref,lp_vertex_box,2.0644214823812086,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,2.5524800255419318,2,True,True
quality_linear,0.5,1e+19,logarithmic,4096,mixture,lp_vertex_box,2.0642024914049837,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,2.5896837232013987,2,True,True
quality_linear,0.5,1e+19,power,4096,fixed_ref,lp_vertex_box,2.0672258588966983,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,2.549675649026442,2,True,True
quality_linear,0.5,1e+19,power,4096,mixture,lp_vertex_box,2.0671175846873022,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,2.58676862991908,2,True,True
quality_linear,0.5,1e+22,exponential,4096,fixed_ref,lp_vertex_box,1.8193535507143452,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.8371052751649599,2,True,True
quality_linear,0.5,1e+22,exponential,4096,mixture,lp_vertex_box,1.819352761205782,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.8377627920304047,2,True,True
quality_linear,0.5,1e+22,logarithmic,4096,fixed_ref,lp_vertex_box,1.819323993112833,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.8192391061102096,2,True,True
quality_linear,0.5,1e+22,logarithmic,4096,mixture,lp_vertex_box,1.8193208406501027,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.8222933194094537,2,True,True
quality_linear,0.5,1e+22,power,4096,fixed_ref,lp_vertex_box,1.8193650757589024,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.8536366104574997,2,True,True
quality_linear,0.5,1e+22,power,4096,mixture,lp_vertex_box,1.8193634649193413,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.8551569046190073,2,True,True
quality_linear,0.5,1e+24,exponential,4096,fixed_ref,lp_vertex_box,1.7535194572511685,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.3914314312663201,2,True,True
quality_linear,0.5,1e+24,exponential,4096,mixture,lp_vertex_box,1.7535193994284493,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.3914710532304291,2,True,True
quality_linear,0.5,1e+24,logarithmic,4096,fixed_ref,lp_vertex_box,1.7535172933785523,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.3875543339398273,2,True,True
quality_linear,0.5,1e+24,logarithmic,4096,mixture,lp_vertex_box,1.7535170626992265,lp_vertex_box,3788.5078766638335,0.01150969362383875,True,lp_vertex_box,0.4871620101591301,0.38780734108237813,2,True,True
