C,log10_C,cost_form,ell,kappa,Q0,N_B,D_B,Q,h,L_pred,share_train,share_attn,share_quality,share_unused,regime,flag_q_at_lower,flag_q_at_upper,flag_n_at_lower,flag_n_at_upper,budget_residual_rel,N_in_support,D_in_support,functional,omega,candidate,q0_mode,d_share_train_dlogC,d_share_attn_dlogC,d_share_quality_dlogC,d_share_unused_dlogC,dlog10Q_dlogC,dlog10N_dlogC
1e+17,17.0,exponential,2048,0.8047071577351047,0.41663254110330095,0.020127353148666725,0.7751440285444631,0.41663254110330095,1.0,4.647607850667242,0.9360958562156765,0.06390414378432352,0.0,0.0,lower_bound_Q0,True,False,False,False,0.0,False,True,mixture_l1,0.5,reference_p0,fixed_ref,0.0,0.0,0.0,0.0,0.0,0.45119999999998295
1.2589254117941714e+17,17.1,exponential,2048,0.8047071577351047,0.41663254110330095,0.02233092261996329,0.8795537928286721,0.41663254110330095,1.0,4.544886358916339,0.9360958562156765,0.06390414378432352,0.0,0.0,lower_bound_Q0,True,False,False,False,0.0,False,True,mixture_l1,0.5,reference_p0,fixed_ref,0.0,0.0,0.0,0.0,0.0,0.45119999999999827
1.584893192461111e+17,17.2,exponential,2048,0.8047071577351047,0.41663254110330095,0.024775741816395913,0.9980272646000496,0.41663254110330095,1.0,4.445732272816484,0.9360958562156765,0.06390414378432352,0.0,0.0,lower_bound_Q0,True,False,False,False,0.0,False,True,mixture_l1,0.5,reference_p0,fixed_ref,0.0,0.0,0.0,0.0,0.0,0.45120000000000093
1.995262314968883e+17,17.3,exponential,2048,0.8047071577351047,0.41663254110330095,0.027488223079683734,1.1324587864964064,0.41663254110330095,1.0,4.350021700200522,0.9360958562156765,0.06390414378432352,0.0,0.0,lower_bound_Q0,True,False,False,False,0.0,False,True,mixture_l1,0.5,reference_p0,fixed_ref,8.881784197001252e-16,0.0,0.0,-6.369714728856226e-16,0.0,0.45226666666666837
2.511886431509572e+17,17.4,exponential,2048,0.8047071577351047,0.41663254110330095,0.03051265509935937,1.2843668046168932,0.41663254110330095,1.0,4.257635043331868,0.9360958562156766,0.06390414378432352,0.0,-1.2739429457711955e-16,lower_bound_Q0,True,False,False,False,-1.2739429457711955e-16,False,True,mixture_l1,0.5,reference_p0,fixed_ref,0.0,0.0,0.0,-4.5259545294527633e-29,0.0,0.45226666666666926
3.1622776601683795e+17,17.5,exponential,2048,0.8047071577351047,0.41663254110330095,0.033853221281535374,1.4573674733781834,0.41663254110330095,1.0,4.168456874022107,0.9360958562156765,0.06390414378432352,0.0,0.0,lower_bound_Q0,True,False,False,False,0.0,False,True,mixture_l1,0.5,reference_p0,fixed_ref,-1.7763568394002505e-15,-5.551115123125783e-17,0.0,1.4407751309686401e-15,0.0,0.45120000000000093
3.9810717055349856e+17,17.6,exponential,2048,0.8047071577351047,0.41663254110330095,0.03755951710543441,1.653670855417526,0.41663254110330095,1.0,4.082375765627844,0.9360958562156763,0.0639041437843235,0.0,1.607607316166126e-16,lower_bound_Q0,True,False,False,False,1.607607316166126e-16,False,True,mixture_l1,0.5,reference_p0,fixed_ref,0.0,-5.551115123125783e-17,0.0,-5.711368502283197e-29,0.0,0.4512000000000036
5.011872336272715e+17,17.7,exponential,2048,0.8047071577351047,0.41663254110330095,0.04167158314009119,1.8764157619892958,0.41663254110330095,1.0,3.999284160545382,0.9360958562156765,0.0639041437843235,0.0,0.0,lower_bound_Q0,True,False,False,False,0.0,False,True,mixture_l1,0.5,reference_p0,fixed_ref,8.881784197001252e-16,5.551115123125783e-17,0.0,-8.038036580830944e-16,0.0,0.45173333333332355
6.309573444801943e+17,17.8,exponential,2048,0.8047071577351047,0.41663254110330095,0.046245200495712034,2.128640915834146,0.41663254110330095,1.0,3.9190782367034904,0.9360958562156765,0.06390414378432352,0.0,0.0,lower_bound_Q0,True,False,False,False,0.0,False,True,mixture_l1,0.5,reference_p0,fixed_ref,0.0,0.0,0.0,8.057122635483011e-16,0.0,0.4517333333333413
7.943282347242789e+17,17.9,exponential,2048,0.8047071577351047,0.41663254110330095,0.05130818673407376,2.4153629804874384,0.41663254110330095,1.0,3.8416577734189645,0.9360958562156764,0.0639041437843235,0.0,1.6114245270965393e-16,lower_bound_Q0,True,False,False,False,1.6114245270965393e-16,False,True,mixture_l1,0.5,reference_p0,fixed_ref,8.881784197001252e-16,0.0,0.0,5.724929959770544e-29,0.0,0.45120000000000005
