functional,omega,C,cost_form,ell,q0_mode,cluster_id,n_members,members,best_L,N_B,Q,Q_cand,is_best_cluster
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,0,22,"[1, 17, 6, 13, 11, 0, 22, 5, 2, 15, 19, 18, 3, 4, 10, 16, 23, 21, 14, 20, 7, 9]",1.8506731732303439,106.38138781961094,0.999999999999998,0.47537191445446064,True
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,1,1,[8],1.8506731999646497,106.39646189717092,0.9999999999999996,0.4753719098446691,False
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,2,1,[12],1.8506771802539104,104.88427205739289,0.9999999999999999,0.47537148823942926,False
quality_linear,1.0,1e+19,power,4096,fixed_ref,0,22,"[6, 7, 17, 12, 18, 3, 22, 13, 0, 5, 8, 14, 10, 1, 19, 21, 4, 15, 2, 23, 9, 16]",1.8507049375659714,106.49633834758498,0.9999999990909546,0.47537191499441855,True
quality_linear,1.0,1e+19,power,4096,fixed_ref,1,2,"[11, 20]",1.8507049542522216,106.54471810247387,0.9999999999999661,0.47537191185344124,False
quality_linear,1.0,1e+19,logarithmic,4096,fixed_ref,0,1,[19],1.8364236147456101,129.52315963956718,0.9999999999999996,0.4779480480344501,True
quality_linear,1.0,1e+19,logarithmic,4096,fixed_ref,1,22,"[17, 7, 23, 18, 0, 9, 13, 2, 10, 1, 12, 6, 3, 14, 4, 16, 5, 21, 8, 22, 20, 11]",1.8505914046775203,106.01863575452631,0.9999999999999997,0.47537192638110864,False
quality_linear,1.0,1e+19,logarithmic,4096,fixed_ref,2,1,[15],1.8505917725427257,106.53947358459399,0.9999999999999994,0.4753718993133573,False
quality_linear,1.0,1e+22,exponential,4096,fixed_ref,0,22,"[4, 8, 5, 0, 11, 12, 17, 13, 22, 3, 23, 1, 2, 6, 21, 19, 18, 7, 15, 10, 16, 9]",1.7454658724609775,2394.8928191551818,0.9999999943423428,0.47537301728422665,True
quality_linear,1.0,1e+22,exponential,4096,fixed_ref,1,1,[14],1.7454680749975715,2393.151358007035,0.9999999999999993,0.475371913385484,False
quality_linear,1.0,1e+22,exponential,4096,fixed_ref,2,1,[20],1.7454737226594275,2421.5621192150006,1.0,0.47536928731176703,False
quality_linear,1.0,1e+22,power,4096,fixed_ref,0,21,"[11, 20, 5, 2, 22, 14, 6, 16, 18, 4, 21, 12, 0, 13, 19, 1, 10, 3, 17, 8, 9]",1.7454685623073467,2393.231944208982,0.9999999999999929,0.47537191503011117,True
quality_linear,1.0,1e+22,power,4096,fixed_ref,1,2,"[7, 23]",1.745468574409133,2392.8283353970864,0.9999990255225195,0.47537191225648834,False
quality_linear,1.0,1e+22,power,4096,fixed_ref,2,1,[15],1.7454686580054324,2405.671478723138,1.0,0.4753719059271661,False
quality_linear,1.0,1e+22,logarithmic,4096,fixed_ref,0,24,"[14, 7, 22, 19, 3, 11, 8, 18, 21, 4, 12, 1, 15, 0, 10, 20, 5, 17, 16, 6, 9, 2, 23, 13]",1.7454668161699973,2394.2041325871996,0.9999999980188486,0.47537191491274533,True
quality_linear,1.0,1e+24,exponential,4096,fixed_ref,0,23,"[21, 0, 19, 15, 11, 2, 23, 4, 9, 17, 10, 3, 13, 14, 1, 8, 6, 18, 22, 12, 5, 16, 7]",1.7178100309721511,9999.99992331444,0.9999999997967102,0.47537191509029003,True
quality_linear,1.0,1e+24,exponential,4096,fixed_ref,1,1,[20],1.717810038133929,9999.999916564446,0.9999999725028783,0.47537190646436167,False
quality_linear,1.0,1e+24,power,4096,fixed_ref,0,21,"[5, 6, 11, 16, 0, 22, 14, 13, 21, 9, 10, 20, 17, 8, 12, 2, 4, 19, 1, 7, 3]",1.7178100770872409,9999.99999808038,0.9999999995426544,0.4753719177132891,True
quality_linear,1.0,1e+24,power,4096,fixed_ref,1,1,[18],1.7178100891962589,9999.99999999145,0.999999999978679,0.4753719029655777,False
quality_linear,1.0,1e+24,power,4096,fixed_ref,2,1,[15],1.7178100904946907,9999.949908730463,0.9999999999999997,0.4753719119987867,False
quality_linear,1.0,1e+24,power,4096,fixed_ref,3,1,[23],1.7178727950867094,9997.535451407002,0.9999999999986595,0.4752962472871551,False
quality_linear,1.0,1e+24,logarithmic,4096,fixed_ref,0,24,"[0, 13, 22, 2, 23, 8, 7, 18, 14, 16, 21, 3, 15, 9, 20, 17, 11, 19, 12, 5, 1, 4, 6, 10]",1.7178099069615484,9999.999999256399,0.9999999864498993,0.47537191544992,True
quality_linear,1.0,1e+19,exponential,4096,mixture,0,20,"[1, 17, 11, 18, 8, 5, 14, 12, 22, 9, 15, 16, 6, 7, 10, 4, 20, 3, 13, 21]",1.8506660954839687,106.4329597646404,0.9999999984282654,0.47537283638859357,True
quality_linear,1.0,1e+19,exponential,4096,mixture,1,2,"[23, 2]",1.8506714380649638,106.43819879454917,0.999999999999987,0.47537191287969705,False
quality_linear,1.0,1e+19,exponential,4096,mixture,2,1,[0],1.850671523523428,106.42247416392388,1.0,0.4753718979092793,False
quality_linear,1.0,1e+19,exponential,4096,mixture,3,1,[19],1.8520324706255773,108.29521875073068,0.9999999999999997,0.47513996022644667,False
