C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+19,2048,exponential,fixed_ref,0.0,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,exponential,mixture,0.0,0.0,0.8064009659989457,0.055050305945528025,0.13854872805552626,0.0,1.0,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+19,4096,exponential,fixed_ref,0.0,0.0,0.7473038597376824,0.10203188698285158,0.15066425327946587,2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,exponential,mixture,0.0,0.0,0.7567071849029139,0.10331575431207785,0.13997706078500818,2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,8192,exponential,fixed_ref,0.0,0.0,0.665999019559207,0.1818621322743008,0.15213884816649229,-2.048e-16,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+19,8192,exponential,mixture,0.0,0.0,0.6737105097395192,0.18396788319287136,0.1423216070676095,0.0,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+19,32768,exponential,fixed_ref,0.0,0.0,0.40342295495708874,0.44064544626779617,0.15593159877511523,0.0,1.0000000000000002,1.0922666666666667,0.0,True,True,True,True,True
1e+19,32768,exponential,mixture,0.0,0.0,0.4067319040744395,0.44425970109037444,0.14900839483518608,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+19,131072,exponential,fixed_ref,0.0,0.0,0.15727620252522634,0.6871502139128822,0.15557358356189152,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+19,131072,exponential,mixture,0.0,0.0,0.15798216955073266,0.6902346309117878,0.15178319953747949,0.0,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+19,2048,power,fixed_ref,0.0,0.0,0.8542456979959607,0.05831650631652425,0.08743779568751503,0.0,1.0,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+19,2048,power,mixture,0.0,0.0,0.8924535770945222,0.060924830862986064,0.04662159204249166,0.0,0.9999999999999999,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
