functional,omega,C,cost_form,ell,q0_mode,argmin_L_candidate,L_min,argmax_h_candidate,h_max,h_min,h_identifiable,argmax_Q_candidate,Q_cand_max,L_spread,n_tied_at_L_min,argmin_L_is_argmax_h,argmax_h_is_argmax_Q
mixture_l1,0.0,1e+19,exponential,2048,fixed_ref,reference_p0,3.123094642754934,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,exponential,2048,mixture,dirichlet_a20_19,3.1206863263355347,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0041568138906122876,1,True,False
mixture_l1,0.0,1e+19,exponential,4096,fixed_ref,reference_p0,3.1355734585409953,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,exponential,4096,mixture,dirichlet_a20_19,3.1332382661140215,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.004032121606199368,1,True,False
mixture_l1,0.0,1e+19,exponential,8192,fixed_ref,reference_p0,3.158689755020952,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,exponential,8192,mixture,dirichlet_a20_19,3.15648142432891,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0038155089878157966,1,True,False
mixture_l1,0.0,1e+19,exponential,32768,fixed_ref,reference_p0,3.264133767913078,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,exponential,32768,mixture,dirichlet_a20_19,3.262391456133365,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.003016870887794898,1,True,False
mixture_l1,0.0,1e+19,exponential,131072,fixed_ref,reference_p0,3.4850599226598504,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,exponential,131072,mixture,dirichlet_a20_19,3.483923347325088,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0019727623476675227,1,True,False
mixture_l1,0.0,1e+19,logarithmic,2048,fixed_ref,reference_p0,3.1378169416872645,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,logarithmic,2048,mixture,dirichlet_a20_19,3.1322186041584374,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.01035409787034558,1,True,False
mixture_l1,0.0,1e+19,logarithmic,4096,fixed_ref,reference_p0,3.148193680538305,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,logarithmic,4096,mixture,dirichlet_a20_19,3.1426550389632872,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.010244688758882514,1,True,False
mixture_l1,0.0,1e+19,logarithmic,8192,fixed_ref,reference_p0,3.1675507884615346,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,logarithmic,8192,mixture,dirichlet_a20_19,3.1621218503809407,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.010043586382907588,1,True,False
mixture_l1,0.0,1e+19,logarithmic,32768,fixed_ref,reference_p0,3.2579055861422845,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,logarithmic,32768,mixture,dirichlet_a20_19,3.2529608872715605,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.009155240933095055,1,True,False
mixture_l1,0.0,1e+19,logarithmic,131072,fixed_ref,reference_p0,3.4563929533589386,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,logarithmic,131072,mixture,dirichlet_a20_19,3.452361792281061,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.007475964954934966,1,True,False
mixture_l1,0.0,1e+19,power,2048,fixed_ref,reference_p0,3.144776393094138,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,power,2048,mixture,dirichlet_a20_19,3.138592489300019,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.010377307078027087,1,True,False
mixture_l1,0.0,1e+19,power,4096,fixed_ref,reference_p0,3.157956094805795,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,power,4096,mixture,dirichlet_a20_19,3.152035529197699,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.009952318655048309,1,True,False
mixture_l1,0.0,1e+19,power,8192,fixed_ref,reference_p0,3.1822819379431824,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,power,8192,mixture,dirichlet_a20_19,3.176801107740833,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.009238269732703142,1,True,False
mixture_l1,0.0,1e+19,power,32768,fixed_ref,reference_p0,3.2920403920010926,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,power,32768,mixture,dirichlet_a20_19,3.288022668441628,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.006826965653917494,1,True,False
mixture_l1,0.0,1e+19,power,131072,fixed_ref,reference_p0,3.5175301707482776,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+19,power,131072,mixture,dirichlet_a20_19,3.515146744752241,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.004079617536919322,1,True,False
mixture_l1,0.0,1e+22,exponential,2048,fixed_ref,reference_p0,2.1509865641797186,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+22,exponential,2048,mixture,dirichlet_a20_19,2.150955307672904,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,5.439799943074419e-05,1,True,False
mixture_l1,0.0,1e+22,exponential,4096,fixed_ref,reference_p0,2.155148529080297,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+22,exponential,4096,mixture,dirichlet_a20_19,2.155117889001272,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,5.332547309944147e-05,1,True,False
mixture_l1,0.0,1e+22,exponential,8192,fixed_ref,reference_p0,2.1628865766765566,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+22,exponential,8192,mixture,dirichlet_a20_19,2.16285704050283,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,5.1404643108377e-05,1,True,False
mixture_l1,0.0,1e+22,exponential,32768,fixed_ref,reference_p0,2.198591790044161,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,0.0,14,True,False
mixture_l1,0.0,1e+22,exponential,32768,mixture,dirichlet_a20_19,2.198566747022271,reference_p0,1.0,1.0,False,dirichlet_a20_19,0.43829657372764846,4.3588492729895734e-05,1,True,False
