candidate,trust_status,sum_minus_1,min_p,box_violation_max,in_trust_box_declared,pass_simplex,pass_box,pass
reference_p0,in,0.0,0.002211033043406226,0.0,True,True,True,True
shift_arxiv_up__github_down,in,2.220446049250313e-16,0.0022110330434062264,0.0,True,True,True,True
shift_stackexchange_up__github_down,in,2.220446049250313e-16,0.0022110330434062264,0.0,True,True,True,True
shift_gutenberg_pg_19_up__stackexchange_down,in,0.0,0.002211033043406226,0.0,True,True,True,True
dirichlet_a200_12,in,0.0,0.0008571645645320805,0.0,True,True,True,True
dirichlet_a50_0,in,-1.1102230246251565e-16,2.2949196706147332e-08,0.0,True,True,True,True
dirichlet_a50_3,in,-1.1102230246251565e-16,9.33580954715254e-12,0.0,True,True,True,True
dirichlet_a50_6,in,0.0,4.010972912398717e-06,0.0,True,True,True,True
dirichlet_a50_11,in,0.0,6.410135839738102e-08,0.0,True,True,True,True
dirichlet_a50_18,in,-1.1102230246251565e-16,5.422443916625847e-07,0.0,True,True,True,True
dirichlet_a20_1,in,0.0,6.100857989063662e-06,0.0,True,True,True,True
dirichlet_a20_3,in,2.220446049250313e-16,4.571613384598686e-09,0.0,True,True,True,True
dirichlet_a20_6,in,0.0,2.067704480436339e-09,0.0,True,True,True,True
dirichlet_a20_19,in,2.220446049250313e-16,2.4921988098818152e-08,0.0,True,True,True,True
