quality_domain,set,n,Q_base_mean,Q_base_median,Q_base_std,conflict_mean,conflict_rate,min_group_mean,missing_metric_rate,z_educational_mean,z_fluency_mean,z_naturalness_mean,z_relevance_mean,z_alignment_mean,z_repetition_mean,z_length_format_mean,Q_resolved_lambda_0.0,Q_resolved_lambda_0.1,Q_resolved_lambda_0.25,Q_resolved_lambda_0.5,Q_resolved_lambda_1.0,Q_resolved_selected,lambda_selected,Q_resolved_ci_low,Q_resolved_ci_high
arxiv,A1,1419,0.6487604643047503,0.6487538838628285,0.04595086579608247,0.9604795687430153,0.86892177589852,0.03221906683817553,0.0,0.7798662840656854,0.9727937284530525,0.9123505157222231,0.037231025848975266,0.9701429839628622,0.7005383941569129,0.5173641669123917,0.6487604643047503,0.5871063245580928,0.4946251149381066,0.34048976557146293,0.03221906683817553,0.5871063245580928,0.1,0.5844895840554207,0.589814288882539
arxiv,A2,16104,0.647521296106443,0.6478373295221902,0.04401076236339481,0.9633857072285926,0.8725782414307004,0.028974850424092036,0.0,0.7714286519402667,0.971322663968699,0.9117379988745644,0.03498013753397815,0.9710743956831169,0.7011384898421272,0.515397340120547,0.647521296106443,0.585666651538208,0.4928846846858553,0.33824807326526757,0.028974850424092036,0.585666651538208,0.1,0.5849531373059975,0.5864179507829576
arxiv,merged,17523,0.647621643060355,0.6478867165326568,0.044170980268994145,0.9631503702137529,0.8722821434685841,0.029237564747643056,0.0,0.7721119253515529,0.971441789717903,0.9117876000505519,0.03516241285892142,0.9709989706285578,0.7010898945229858,0.5155566123466286,0.647621643060355,0.5857832352290838,0.4930256234821769,0.338429603903999,0.029237564747643056,0.5857832352290838,0.1,0.5851239133342118,0.58648811084493
book,A1,171,0.5195865127295509,0.5256756314324806,0.06707318557486479,0.8674206010962283,0.4327485380116959,0.0180471378676923,0.0,0.4926811858604416,0.7154148418968357,0.7400424793876975,0.025005944927260652,0.7126902889618747,0.7267924879028521,0.3525044151729029,0.5195865127295509,0.46943257524336507,0.39420166901408626,0.26881682529862166,0.0180471378676923,0.46943257524336507,0.1,0.4600344414121069,0.4790838354099375
book,merged,171,0.5195865127295509,0.5256756314324806,0.06707318557486479,0.8674206010962283,0.4327485380116959,0.0180471378676923,0.0,0.4926811858604416,0.7154148418968357,0.7400424793876975,0.025005944927260652,0.7126902889618747,0.7267924879028521,0.3525044151729029,0.5195865127295509,0.46943257524336507,0.39420166901408626,0.26881682529862166,0.0180471378676923,0.46943257524336507,0.1,0.4600344414121069,0.4790838354099375
c4,A1,10000,0.6843247585626852,0.6899528418080185,0.08587622156197307,0.6994851097660341,0.1771,0.27342738129472,0.0,0.33806359616764475,0.8651950045312519,0.61522505704892,0.8915963930276659,0.6120202137251746,0.639726998949154,0.7196705333509357,0.6843247585626852,0.6432350208358887,0.5816004142456939,0.4788760699287026,0.27342738129472,0.6432350208358887,0.1,0.6414398206279263,0.6450181099519251
c4,merged,10000,0.6843247585626852,0.6899528418080185,0.08587622156197307,0.6994851097660341,0.1771,0.27342738129472,0.0,0.33806359616764475,0.8651950045312519,0.61522505704892,0.8915963930276659,0.6120202137251746,0.639726998949154,0.7196705333509357,0.6843247585626852,0.6432350208358887,0.5816004142456939,0.4788760699287026,0.27342738129472,0.6432350208358887,0.1,0.6414398206279263,0.6450181099519251
commoncrawl,A1,9640,0.7117725129055292,0.7255634984871595,0.081193338331856,0.5786732691981248,0.018775933609958505,0.3642741373532099,0.0,0.45679709318645095,0.8459134794361854,0.6821014187814861,0.7331547667960614,0.7112511889318851,0.6766838033510603,0.7695126209558968,0.7117725129055292,0.6770226753502974,0.6248979190174494,0.5380233251293696,0.3642741373532099,0.6770226753502974,0.1,0.6753122722727815,0.6787293386254791
commoncrawl,merged,9640,0.7117725129055292,0.7255634984871595,0.081193338331856,0.5786732691981248,0.018775933609958505,0.3642741373532099,0.0,0.45679709318645095,0.8459134794361854,0.6821014187814861,0.7331547667960614,0.7112511889318851,0.6766838033510603,0.7695126209558968,0.7117725129055292,0.6770226753502974,0.6248979190174494,0.5380233251293696,0.3642741373532099,0.6770226753502974,0.1,0.6753122722727815,0.6787293386254791
github,A1,10000,0.5737860064072702,0.5761614543125303,0.08537451267453862,0.643155455607887,0.0855,0.239803787623895,0.0,0.35683546292514773,0.5468386214878275,0.5012193114845495,0.7461555496933425,0.6420068679101847,0.5863336709914599,0.557617738376331,0.5737860064072702,0.5403877845289328,0.49029045171142643,0.40679489701558263,0.239803787623895,0.5403877845289328,0.1,0.538604833690248,0.542130943558314
github,A3,193752,0.5727733899934149,0.5753620704195088,0.0855150159045645,0.6442305656818184,0.08660039638300508,0.23993677569674457,0.0,0.35764487938596434,0.5474606312138953,0.5001468417667815,0.7478244693855871,0.6424033202606035,0.582957754263555,0.5558439657815285,0.5727733899934149,0.5394897285637478,0.48956423641924723,0.4063550828450797,0.23993677569674457,0.5394897285637478,0.1,0.539099870898081,0.5399066627764608
github,merged,203752,0.5728230884706742,0.5754061178838012,0.085508196113955,0.6441778000611653,0.08654638972868978,0.23993024873883254,0.0,0.35760515381464164,0.5474301034288397,0.500199477800674,0.747742560020661,0.6423838626675287,0.583123441801734,0.5559310212506675,0.5728230884706742,0.5395338044974901,0.48959987853771386,0.4063766686047534,0.23993024873883254,0.5395338044974901,0.1,0.5391513282628557,0.5399231672188868
stackexchange,A1,10000,0.7012700221457215,0.7112685916567956,0.07183466357454285,0.5117963917189973,0.0093,0.4124138395955001,0.0,0.535428193615703,0.782118137451027,0.6924521897745622,0.8262830419443159,0.700649379710691,0.5940756754281359,0.731947103383243,0.7012700221457215,0.6723844038906993,0.6290559765081661,0.5568419308706107,0.4124138395955001,0.6723844038906993,0.1,0.6709256600400805,0.6738904475392348
stackexchange,merged,10000,0.7012700221457215,0.7112685916567956,0.07183466357454285,0.5117963917189973,0.0093,0.4124138395955001,0.0,0.535428193615703,0.782118137451027,0.6924521897745622,0.8262830419443159,0.700649379710691,0.5940756754281359,0.731947103383243,0.7012700221457215,0.6723844038906993,0.6290559765081661,0.5568419308706107,0.4124138395955001,0.6723844038906993,0.1,0.6709256600400805,0.6738904475392348
wikipedia,A1,10000,0.6541313142577875,0.665695967012586,0.0911501550196586,0.6456046846834428,0.0916,0.29675433426610626,0.0,0.38266592574777253,0.6893546062770732,0.5796431359031481,0.861723620752271,0.6791485505291165,0.6109983547475096,0.6721985533042756,0.6541313142577875,0.6183936162586194,0.5647870692598672,0.47544282426194695,0.29675433426610626,0.6183936162586194,0.1,0.6165103737997881,0.6203144019778216
wikipedia,merged,10000,0.6541313142577875,0.665695967012586,0.0911501550196586,0.6456046846834428,0.0916,0.29675433426610626,0.0,0.38266592574777253,0.6893546062770732,0.5796431359031481,0.861723620752271,0.6791485505291165,0.6109983547475096,0.6721985533042756,0.6541313142577875,0.6183936162586194,0.5647870692598672,0.47544282426194695,0.29675433426610626,0.6183936162586194,0.1,0.6165103737997881,0.6203144019778216
