,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv*freelaw,-0.584339,-0.447225,-0.097766,-0.0214703,-0.317299,-0.0452779,-0.0173177,-0.0826705,-0.028047,-0.122251,-0.000644141,-0.00649987,-0.0142355
arxiv*nih_exporter,0.507374,-0.441458,-0.0577494,0.674436,1.56109,0.225765,0.230985,-0.0645364,0.277797,1.33713,0.211152,-0.284785,0.290128
arxiv*pubmed_central,-0.362654,-0.0399548,-0.337383,-0.0303256,-0.0673559,-0.208989,-0.121196,0.00125922,-0.00373477,-0.20206,-0.00097221,-0.132208,-0.0397776
arxiv*wikipedia_en,-0.526028,-0.0763367,-0.121735,-0.407948,-0.231287,-0.073567,-0.0534069,-0.0144172,-0.0593473,0.0223435,0.0145093,0.000460197,0.0160179
arxiv*dm_mathematics,-0.10933,0.424194,0.0473855,0.397112,-2.61967,0.590494,0.438966,0.324545,0.371166,0.725009,0.197447,0.305794,0.298765
arxiv*github,-0.508268,-0.308763,-0.249489,-0.0680501,-0.253175,-0.597858,-0.28782,-0.0625444,-0.0500608,-0.187485,0.00507514,-0.094785,-0.0596144
arxiv*philpapers,0.854107,0.146548,0.572697,0.193638,-1.25694,0.24696,0.574752,-0.313438,0.259995,0.192969,-0.341818,0.278766,0.687776
arxiv*stackexchange,-0.189355,-0.0466024,-0.0486704,-0.0645683,-0.495466,-0.291346,-0.351633,-0.0285348,-0.0352724,-0.0504004,-0.0667114,-0.0401385,0.0274479
arxiv*enron_emails,0.538922,-1.86335,-0.297928,-0.0490342,-2.42735,2.12928,1.56665,0.168994,0.111796,-1.54224,0.670106,-0.115244,0.523254
arxiv*gutenberg_pg_19,-0.544449,0.222786,-0.0141088,0.0886797,-0.18164,-0.126348,-0.156342,-0.596723,0.0320651,-0.284722,0.0346332,0.150673,0.101806
arxiv*pile_cc,-0.6188,-0.149559,-0.147922,-0.110592,-0.335229,-0.126916,-0.146111,-0.111305,-0.150321,-0.0749217,-0.0986229,-0.029277,-0.0662407
arxiv*ubuntu_irc,-0.225947,0.376542,0.292651,0.495217,-0.584603,-0.123008,-0.21053,0.356676,0.251134,-2.19627,0.134259,0.41885,0.225116
arxiv*europarl,0.10147,0.354036,0.130499,0.284292,0.423465,-0.0908381,0.196148,0.211625,0.244591,-0.393297,0.142504,0.339049,0.226674
arxiv*hackernews,0.0671328,0.461739,-0.158413,0.109888,0.609587,0.421626,0.177157,0.262336,0.219068,0.0554418,-0.330622,0.286008,0.156038
arxiv*pubmed_abstracts,-0.397852,0.202433,-0.159268,0.120761,0.188654,-0.118614,-0.108918,0.131266,0.0820194,-0.0112545,0.0418442,-0.482211,-0.00873237
arxiv*uspto_backgrounds,-0.453525,-0.00342488,-0.0379864,0.0556216,-0.111361,-0.370525,-0.229658,0.0862482,0.0179054,-0.104254,0.0223061,-0.0212183,-0.492362
freelaw*nih_exporter,0.571895,0.637241,-0.108298,0.245535,-0.783006,0.786532,0.213308,0.571787,0.450948,1.55505,0.395596,-0.3974,0.367641
freelaw*pubmed_central,-0.200358,-0.426669,-0.420117,-0.0189691,-0.279466,-0.0852562,-0.0740125,-0.0729149,-0.0622815,-0.174529,-0.0655951,-0.124266,-0.0574989
freelaw*wikipedia_en,-0.199265,-0.332557,-0.0278249,-0.461818,-0.552835,-0.249698,-0.148996,-0.0657639,-0.0655769,0.0630134,-0.0628809,0.0366229,0.0447522
freelaw*dm_mathematics,-0.0116542,0.0977608,0.246857,0.336625,-2.61895,0.0732143,0.0514474,0.352627,0.313497,0.342755,0.231525,0.32005,0.360174
freelaw*github,-0.169635,-0.404633,-0.113776,-0.0206577,0.0731721,-0.487628,-0.217609,-0.0478483,-0.0360223,-0.0395753,-0.0291902,-0.0208277,-0.0461917
freelaw*philpapers,0.159996,-0.179622,0.630047,0.301486,1.25564,-0.244751,0.155723,0.0845341,0.346669,0.158085,0.245014,0.200153,0.603342
freelaw*stackexchange,-0.492206,-0.410323,-0.135261,-0.108535,0.0332322,-0.493082,-0.562683,-0.0736705,-0.0687564,-0.223695,-0.0693319,-0.0417682,-0.0253616
