,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv*freelaw,0.0802168,0.0479893,0.0670438,0.0359254,0.16206,0.0893939,0.0566805,0.028247,0.0192178,0.0987505,0.0269409,0.0400251,0.0257204
arxiv*nih_exporter,0.481502,0.318769,0.499118,0.200849,0.947057,0.655413,0.541724,0.270717,0.165154,0.736385,0.209572,0.17234,0.14493
arxiv*pubmed_central,0.0455523,0.0579973,0.049613,0.0322709,0.130962,0.0768363,0.0542612,0.031256,0.0162159,0.102334,0.0204776,0.0197144,0.0260071
arxiv*wikipedia_en,0.111349,0.0757377,0.0958798,0.0420998,0.2335,0.109832,0.0906175,0.0432688,0.0180159,0.133205,0.0338245,0.0412524,0.0297871
arxiv*dm_mathematics,0.206537,0.151676,0.175463,0.141112,0.523337,0.231939,0.159231,0.0783765,0.0635744,0.168021,0.0592955,0.0869574,0.111986
arxiv*github,0.111554,0.0749067,0.0787178,0.0497571,0.237556,0.112817,0.059482,0.0412659,0.0271374,0.140282,0.0324626,0.0423088,0.0471459
arxiv*philpapers,0.595196,0.65214,0.652026,0.359711,1.89099,0.859562,0.529648,0.291945,0.230562,1.2256,0.273775,0.363617,0.271304
arxiv*stackexchange,0.047017,0.0740924,0.0712075,0.03573,0.144151,0.0611681,0.0531296,0.0305711,0.0186697,0.0960488,0.0279449,0.0359088,0.0289895
arxiv*enron_emails,0.952628,0.892157,1.1149,0.530766,3.14203,1.36995,0.997496,0.576962,0.279104,1.77076,0.439957,0.744384,0.422228
arxiv*gutenberg_pg_19,0.175243,0.111337,0.144368,0.0793623,0.385628,0.216733,0.149925,0.0768313,0.0450394,0.234561,0.0582013,0.070842,0.0636238
arxiv*pile_cc,0.105217,0.0547221,0.0661582,0.032335,0.158643,0.0831988,0.0583721,0.0279249,0.0183838,0.0939694,0.0190006,0.0265269,0.0324614
arxiv*ubuntu_irc,0.188502,0.235468,0.230335,0.162295,0.601892,0.27496,0.165564,0.164045,0.0990106,0.476013,0.115362,0.179939,0.140791
arxiv*europarl,0.28513,0.177521,0.295375,0.137322,0.57902,0.237078,0.184234,0.143215,0.0657232,0.388267,0.117382,0.113286,0.110554
arxiv*hackernews,0.223092,0.269631,0.269432,0.138846,0.880539,0.287826,0.224941,0.111439,0.0720507,0.434821,0.150414,0.136578,0.150015
arxiv*pubmed_abstracts,0.117923,0.0930166,0.106449,0.0589464,0.244934,0.125919,0.0849413,0.0599324,0.0283454,0.139638,0.0460967,0.0437093,0.0423497
arxiv*uspto_backgrounds,0.111085,0.0895453,0.103039,0.0654802,0.241839,0.144538,0.0920196,0.0489528,0.0307395,0.179331,0.0567131,0.0326539,0.0483876
freelaw*nih_exporter,0.835027,0.424084,0.907842,0.26019,1.77832,0.903376,0.726652,0.24854,0.209181,1.2489,0.394656,0.241839,0.240908
freelaw*pubmed_central,0.0691474,0.0449287,0.0593453,0.0232268,0.179098,0.093805,0.0772492,0.0184118,0.0164454,0.0881835,0.0245518,0.0238442,0.0262304
freelaw*wikipedia_en,0.24625,0.0799564,0.156874,0.0620197,0.304959,0.131881,0.114688,0.040961,0.0252127,0.16764,0.0585535,0.0371586,0.0370989
freelaw*dm_mathematics,0.244654,0.126232,0.182657,0.103657,0.412854,0.224537,0.136163,0.0619524,0.0544667,0.243254,0.0769868,0.0897666,0.0790669
freelaw*github,0.125813,0.0671619,0.121752,0.0416255,0.173395,0.0853997,0.0479105,0.0279394,0.0245744,0.10679,0.0338437,0.0798819,0.0639577
freelaw*philpapers,1.18617,0.656844,0.785216,0.393781,1.71945,0.937869,0.575476,0.269863,0.171636,1.11201,0.286677,0.476953,0.28658
freelaw*stackexchange,0.107168,0.058778,0.094063,0.0329256,0.157378,0.100141,0.0963812,0.0320432,0.0180633,0.114727,0.0354692,0.0498283,0.0327598
freelaw*enron_emails,1.80297,0.944413,1.51092,0.603681,3.31058,1.61881,1.08138,0.377506,0.355978,2.29612,0.644302,0.656614,0.53041
freelaw*gutenberg_pg_19,0.29935,0.107897,0.213593,0.0760254,0.416524,0.193304,0.145262,0.0607838,0.0461507,0.244914,0.0651454,0.0790968,0.0825049
freelaw*pile_cc,0.202225,0.0730928,0.128122,0.0428521,0.257633,0.134906,0.0896705,0.0268191,0.0260212,0.109169,0.0378285,0.0454869,0.0410587
freelaw*ubuntu_irc,0.656005,0.201964,0.447543,0.121857,0.693975,0.410098,0.258426,0.0949566,0.0850674,0.631829,0.111175,0.162891,0.147823
freelaw*europarl,0.637553,0.23806,0.390818,0.0995351,0.79306,0.423399,0.356941,0.104269,0.0619426,0.395636,0.130722,0.180871,0.140408
freelaw*hackernews,0.419739,0.278556,0.413253,0.162146,0.852352,0.45284,0.262434,0.133361,0.0705358,0.459489,0.162802,0.219241,0.156879
freelaw*pubmed_abstracts,0.160391,0.0911875,0.111845,0.0494256,0.306917,0.15233,0.122989,0.0403059,0.0242517,0.129169,0.0445739,0.0520212,0.0434355
freelaw*uspto_backgrounds,0.180988,0.0816043,0.131619,0.0511408,0.253718,0.121158,0.0878882,0.0336749,0.0313879,0.185725,0.050372,0.0473143,0.0462934
nih_exporter*pubmed_central,0.599075,0.581311,0.548056,0.367116,1.53333,1.02178,0.676754,0.446146,0.209045,1.42668,0.269984,0.178977,0.335385
nih_exporter*wikipedia_en,1.37445,0.50783,0.83435,0.307186,2.15306,0.96142,0.724953,0.333045,0.18924,1.34293,0.379756,0.247804,0.272077
nih_exporter*dm_mathematics,2.0129,0.963081,1.24107,0.512291,3.0669,1.48542,1.12739,0.557625,0.324792,1.85647,0.528745,0.51005,0.499396
nih_exporter*github,0.853126,0.442582,0.956881,0.607194,2.29326,0.808835,0.419209,0.292078,0.283196,0.87141,0.20821,0.328655,0.438411
nih_exporter*philpapers,0.549273,0.403737,0.462433,0.325831,1.15825,0.534993,0.336841,0.211101,0.153185,0.65344,0.197556,0.22774,0.262826
nih_exporter*stackexchange,0.918659,0.793933,0.898274,0.475958,2.29991,0.877255,0.723136,0.468042,0.240856,1.20325,0.381561,0.383234,0.375108
nih_exporter*enron_emails,0.308369,0.14213,0.226104,0.0773128,0.54669,0.208186,0.174077,0.0828608,0.0469978,0.290698,0.0866581,0.0775573,0.0866404
nih_exporter*gutenberg_pg_19,1.90033,0.714975,1.3091,0.517546,2.60631,1.31146,0.932129,0.340221,0.263307,1.41506,0.436309,0.489067,0.470165
nih_exporter*pile_cc,0.870338,0.351204,0.551075,0.172958,1.33358,0.563343,0.507985,0.171094,0.131498,0.791817,0.182369,0.193926,0.185327
nih_exporter*ubuntu_irc,1.4179,0.871505,1.08173,0.549214,3.21014,1.23976,0.919504,0.492461,0.387267,2.09701,0.515555,0.434734,0.482687
