,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,4.81833,6.35106,5.98564,6.35726,5.75324,6.90194,6.4864,6.10179,6.27742,7.77199,6.02554,6.11601,5.70177
freelaw,7.35794,4.58831,6.64111,6.31547,5.99715,7.31524,6.88747,5.56993,6.05454,7.96574,5.81717,6.28839,5.61952
nih_exporter,0.286944,0.251096,0.200161,0.332803,-0.113103,0.115707,0.186448,0.26381,0.332759,0.390896,0.274255,0.158197,0.259493
pubmed_central,5.79151,6.40178,4.72849,6.41014,4.77107,7.45633,6.82773,6.13245,6.18974,8.23795,6.09808,5.05503,5.51464
wikipedia_en,7.01676,5.59726,5.86968,6.67086,8.02038,7.13685,6.41977,5.35554,5.64805,7.20875,5.80583,5.50607,5.06356
dm_mathematics,1.07985,1.20216,2.01271,1.47532,19.8295,1.01252,0.852477,1.08168,1.27447,1.66485,1.48194,1.18611,1.57977
github,6.37374,6.50289,6.3909,6.6497,4.95559,4.27899,5.10454,6.10301,6.33791,7.08059,5.81038,6.64503,6.14712
philpapers,0.0805154,0.217707,0.270155,0.15158,-0.0699713,0.175098,0.0977206,0.224162,0.254441,0.0665875,0.219945,0.254687,0.256364
stackexchange,5.18834,6.33796,6.27538,6.52348,4.78445,4.94545,4.23954,5.93851,6.04553,7.03523,5.43889,6.5997,5.86574
enron_emails,0.0336114,-0.0394791,0.339737,0.126975,-0.158877,-0.2609,-0.0542064,0.164949,0.111741,-0.239603,0.0771717,0.176953,0.225048
gutenberg_pg_19,6.39145,3.39063,4.6121,4.4235,7.21344,4.53963,4.48761,7.63551,4.42705,9.29817,4.15449,4.16537,3.70191
pile_cc,6.00742,5.23557,6.2911,5.65656,4.92131,6.24933,5.84927,5.18874,5.2424,7.1479,5.19904,5.72402,5.25357
ubuntu_irc,0.864884,1.49417,0.821412,0.745632,3.24203,1.14846,1.21065,0.962232,1.1287,7.9755,0.923946,1.08128,1.17079
europarl,0.31626,0.714082,0.002639,0.27096,-1.20174,0.322764,0.382742,0.338729,0.406203,0.876092,0.428691,0.316677,0.349086
hackernews,0.229493,0.545195,0.0570603,0.264895,0.499297,0.2553,0.365874,0.27455,0.33818,0.659084,0.787536,0.261091,0.394965
pubmed_abstracts,5.3596,3.74573,5.62971,5.34257,2.68806,5.47008,5.58078,4.72913,5.16386,5.56973,5.00809,6.92023,4.73392
uspto_backgrounds,5.89116,5.90256,5.68874,6.13003,6.96148,7.59428,6.68255,5.66953,5.83931,6.34318,5.54167,5.44589,6.45735
