regret_top1,hit_top1,regret_top5,hit_top5,regret_top10,hit_top10,oracle_min,mean_loss,baseline_regret,split,model,n
0.173275,False,0.259727,False,0.25482,False,4.75343,5.34466,0.591228,train,线性混料,512
0.0359353,False,0.155218,True,0.165464,True,4.75343,5.34466,0.591228,train,二次混料,512
0.708558,False,0.333211,False,0.262457,False,4.74878,5.28228,0.533506,test_1m,线性混料,256
0.414019,False,0.268245,False,0.267841,False,4.74878,5.28228,0.533506,test_1m,二次混料,256
0.617886,False,0.298998,False,0.216624,False,3.44263,3.82291,0.380284,test_60m,线性混料,256
0.287816,False,0.186135,False,0.175055,False,3.44263,3.82291,0.380284,test_60m,二次混料,256
0.115603,False,0.119743,False,0.102654,True,2.11131,2.22557,0.114261,test_1B,线性混料,64
0.332931,False,0.133507,True,0.101845,True,2.11131,2.22557,0.114261,test_1B,二次混料,64
0.358723,False,0.233688,False,0.253756,False,1.598,1.79746,0.199459,est_10b,线性混料,63
0.358723,False,0.262662,False,0.24743,False,1.598,1.79746,0.199459,est_10b,二次混料,63
0.407215,False,0.277051,False,0.294288,False,1.19029,1.41455,0.224254,est_70b,线性混料,63
0.407215,False,0.308814,False,0.290142,False,1.19029,1.41455,0.224254,est_70b,二次混料,63
