N_B,D_B,Q0,Q1,L_Q0,L_Q1,dL_Q,N_eq_B,N_eq_ratio,feasible
0.1,100,0.5,0.6,2.8834,2.86148,0.0219196,0.108813,0.0881287,True
0.1,100,0.7,0.8,2.84384,2.8292,0.0146431,0.105776,0.0577586,True
0.1,100,0.9,1,2.81675,2.80598,0.0107738,0.104207,0.042071,True
0.1,1000,0.5,0.6,2.68425,2.67274,0.0115068,0.104502,0.0450188,True
0.1,1000,0.7,0.8,2.66349,2.6558,0.00768695,0.102978,0.0297784,True
0.1,1000,0.9,1,2.64927,2.64361,0.00565576,0.10218,0.0217955,True
1,100,0.5,0.6,2.463,2.44108,0.0219196,1.20686,0.206862,True
1,100,0.7,0.8,2.42344,2.4088,0.0146431,1.13231,0.132315,True
1,100,0.9,1,2.39635,2.38558,0.0107738,1.09518,0.0951759,True
1,1000,0.5,0.6,2.26385,2.25234,0.0115068,1.10208,0.102085,True
1,1000,0.7,0.8,2.24308,2.2354,0.00768695,1.06671,0.0667088,True
1,1000,0.9,1,2.22886,2.22321,0.00565576,1.04852,0.0485159,True
10,100,0.5,0.6,2.27083,2.24891,0.0219196,15.3443,0.534433,True
10,100,0.7,0.8,2.23127,2.21663,0.0146431,13.2182,0.321817,True
10,100,0.9,1,2.20418,2.19341,0.0107738,12.2467,0.224671,True
10,1000,0.5,0.6,2.07168,2.06017,0.0115068,12.4232,0.242321,True
10,1000,0.7,0.8,2.05091,2.04323,0.00768695,11.5392,0.153917,True
10,1000,0.9,1,2.03669,2.03104,0.00565576,11.1032,0.110323,True
100,100,0.5,0.6,2.18298,2.16106,0.0219196,281.18,1.8118,True
100,100,0.7,0.8,2.14343,2.12878,0.0146431,191.345,0.913448,True
100,100,0.9,1,2.11634,2.10556,0.0107738,158.892,0.588918,True
100,1000,0.5,0.6,1.98383,1.97233,0.0115068,164.439,0.644393,True
100,1000,0.7,0.8,1.96307,1.95538,0.00768695,138.094,0.380944,True
100,1000,0.9,1,1.94885,1.94319,0.00565576,126.362,0.263617,True
