C,ell,N_analytic,N_numeric,D_analytic,D_numeric,L_analytic,L_numeric,rel_diff_N,L_gap
1e+19,2048,2.13478e+07,2.13478e+07,7.30829e+10,7.3083e+10,1.69232,1.69232,9.537e-07,0
1e+19,4096,2.0759e+07,2.0759e+07,7.06416e+10,7.06416e+10,1.69235,1.69235,7.13112e-07,2.22045e-16
1e+19,8192,1.97224e+07,1.97224e+07,6.638e+10,6.63801e+10,1.69239,1.69239,1.99726e-07,-2.22045e-16
1e+19,32768,1.57593e+07,1.57593e+07,5.05469e+10,5.05469e+10,1.6926,1.6926,1.39044e-08,-2.22045e-16
1e+19,131072,1.02976e+07,1.02976e+07,3.01448e+10,3.01448e+10,1.69303,1.69303,6.29482e-10,-2.22045e-16
1e+22,2048,4.82969e+08,4.82969e+08,3.23035e+12,3.23035e+12,1.69067,1.69067,4.72311e-08,-2.22045e-16
1e+22,4096,4.69648e+08,4.69648e+08,3.12244e+12,3.12244e+12,1.69068,1.69068,7.32354e-07,0
1e+22,8192,4.46197e+08,4.46197e+08,2.93407e+12,2.93407e+12,1.6907,1.6907,6.65885e-07,2.22045e-16
1e+22,32768,3.56536e+08,3.56536e+08,2.23423e+12,2.23423e+12,1.69077,1.69077,9.95968e-07,0
1e+22,131072,2.32972e+08,2.32972e+08,1.33244e+12,1.33244e+12,1.69092,1.69092,5.59629e-09,-2.22045e-16
1e+24,2048,3.86335e+09,3.86335e+09,4.03836e+13,4.03836e+13,1.69023,1.69023,3.7235e-07,-2.22045e-16
1e+24,4096,3.75679e+09,3.75679e+09,3.90346e+13,3.90346e+13,1.69023,1.69023,4.33744e-07,-2.22045e-16
1e+24,8192,3.5692e+09,3.5692e+09,3.66798e+13,3.66798e+13,1.69024,1.69024,8.35337e-07,0
1e+24,32768,2.85199e+09,2.85199e+09,2.79308e+13,2.79309e+13,1.69028,1.69028,1.1185e-06,2.22045e-16
1e+24,131072,1.86358e+09,1.86358e+09,1.66572e+13,1.66572e+13,1.69035,1.69035,1.00954e-06,0
