logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
19,1e+19,指数型,2048,2.13478e+07,7.3083e+10,0.5,1.69232,0.000292103,3423.45,True,0.936096,0.0639041,0
19.1,1.25893e+19,指数型,2048,2.36868e+07,8.29208e+10,0.5,1.69224,0.000285655,3500.72,True,0.936096,0.0639041,0
19.2,1.58489e+19,指数型,2048,2.6282e+07,9.4083e+10,0.5,1.69215,0.000279349,3579.76,True,0.936096,0.0639041,0
19.3,1.99526e+19,指数型,2048,2.91615e+07,1.06748e+11,0.5,1.69207,0.000273181,3660.57,True,0.936096,0.0639041,0
19.4,2.51189e+19,指数型,2048,3.23565e+07,1.21118e+11,0.5,1.69199,0.00026715,3743.22,True,0.936096,0.0639041,0
19.5,3.16228e+19,指数型,2048,3.59017e+07,1.37421e+11,0.5,1.69191,0.000261252,3827.72,True,0.936096,0.0639041,0
19.6,3.98107e+19,指数型,2048,3.98351e+07,1.5592e+11,0.5,1.69184,0.000255483,3914.15,True,0.936096,0.0639041,0
19.7,5.01187e+19,指数型,2048,4.41996e+07,1.76909e+11,0.5,1.69177,0.000249843,4002.51,True,0.936096,0.0639041,0
19.8,6.30957e+19,指数型,2048,4.90423e+07,2.00724e+11,0.5,1.6917,0.000244327,4092.87,True,0.936096,0.0639041,0
19.9,7.94328e+19,指数型,2048,5.44155e+07,2.27744e+11,0.5,1.69164,0.000238933,4185.27,True,0.936096,0.0639041,0
20,1e+20,指数型,2048,6.03775e+07,2.58401e+11,0.5,1.69157,0.000233658,4279.76,True,0.936096,0.0639041,0
20.1,1.25893e+20,指数型,2048,6.69926e+07,2.93185e+11,0.5,1.69151,0.000228499,4376.38,True,0.936096,0.0639041,0
20.2,1.58489e+20,指数型,2048,7.43326e+07,3.32652e+11,0.5,1.69145,0.000223455,4475.18,True,0.936096,0.0639041,0
20.3,1.99526e+20,指数型,2048,8.24768e+07,3.77431e+11,0.5,1.69139,0.000218522,4576.21,True,0.936096,0.0639041,0
20.4,2.51189e+20,指数型,2048,9.43283e+07,4.07787e+11,0.50918,1.69134,0.000231318,4323.06,False,0.918812,0.0627242,0.0184643
20.5,3.16228e+20,指数型,2048,1.14663e+08,4.00109e+11,0.540604,1.69128,0.000286579,3489.44,False,0.870469,0.059424,0.0701074
20.6,3.98107e+20,指数型,2048,1.35405e+08,4.12051e+11,0.566379,1.69123,0.000328612,3043.11,False,0.840884,0.0574043,0.101712
20.7,5.01187e+20,指数型,2048,1.57457e+08,4.35376e+11,0.589083,1.69118,0.000361658,2765.04,False,0.820688,0.0560256,0.123286
20.8,6.30957e+20,指数型,2048,1.81202e+08,4.68039e+11,0.609526,1.69113,0.000387151,2582.97,False,0.806485,0.055056,0.138459
20.9,7.94328e+20,指数型,2048,2.07524e+08,5.0727e+11,0.629405,1.69108,0.0004091,2444.39,False,0.795168,0.0542834,0.150549
21,1e+21,指数型,2048,2.36283e+08,5.55099e+11,0.647906,1.69103,0.000425659,2349.3,False,0.786962,0.0537233,0.159314
21.1,1.25893e+21,指数型,2048,2.68126e+08,6.10829e+11,0.665843,1.69098,0.000438954,2278.14,False,0.780565,0.0532866,0.166148
21.2,1.58489e+21,指数型,2048,3.03169e+08,6.76102e+11,0.682897,1.69094,0.000448408,2230.11,False,0.775977,0.0529733,0.17105
21.3,1.99526e+21,指数型,2048,3.42136e+08,7.50727e+11,0.699703,1.6909,0.000455739,2194.24,False,0.772381,0.0527278,0.174892
21.4,2.51189e+21,指数型,2048,3.85642e+08,8.35273e+11,0.71651,1.69085,0.000461696,2165.93,False,0.769422,0.0525259,0.178052
21.5,3.16228e+21,指数型,2048,4.33545e+08,9.33247e+11,0.732505,1.69081,0.000464556,2152.59,False,0.767684,0.0524072,0.179909
21.6,3.98107e+21,指数型,2048,4.872e+08,1.04344e+12,0.748747,1.69078,0.000466917,2141.71,False,0.766173,0.052304,0.181523
21.7,5.01187e+21,指数型,2048,5.46777e+08,1.16909e+12,0.764706,1.69074,0.000467694,2138.15,False,0.765263,0.0522419,0.182495
21.8,6.30957e+21,指数型,2048,6.1322e+08,1.31131e+12,0.780665,1.6907,0.000467639,2138.4,False,0.764669,0.0522014,0.183129
21.9,7.94328e+21,指数型,2048,6.86677e+08,1.47441e+12,0.796095,1.69067,0.00046573,2147.17,False,0.764754,0.0522072,0.183039
22,1e+22,指数型,2048,7.68863e+08,1.65802e+12,0.811772,1.69064,0.000463722,2156.46,False,0.764875,0.0522155,0.182909
22.1,1.25893e+22,指数型,2048,8.5965e+08,1.86869e+12,0.826884,1.6906,0.000460029,2173.77,False,0.765613,0.0522659,0.182121
22.2,1.58489e+22,指数型,2048,9.61675e+08,2.10429e+12,0.842561,1.69057,0.000457006,2188.15,False,0.766101,0.0522991,0.1816
22.3,1.99526e+22,指数型,2048,1.07495e+09,2.37251e+12,0.85799,1.69054,0.000453086,2207.09,False,0.766916,0.0523548,0.180729
22.4,2.51189e+22,指数型,2048,1.20054e+09,2.67843e+12,0.873102,1.69052,0.000448226,2231.02,False,0.768082,0.0524344,0.179483
22.5,3.16228e+22,指数型,2048,1.34108e+09,3.02269e+12,0.888532,1.69049,0.000443671,2253.92,False,0.769132,0.0525061,0.178362
22.6,3.98107e+22,指数型,2048,1.49691e+09,3.41526e+12,0.903644,1.69046,0.000438299,2281.55,False,0.770495,0.0525991,0.176906
22.7,5.01187e+22,指数型,2048,1.67043e+09,3.86013e+12,0.918756,1.69044,0.000432739,2310.86,False,0.771934,0.0526974,0.175368
22.8,6.30957e+22,指数型,2048,1.86454e+09,4.36098e+12,0.934185,1.69041,0.000427552,2338.9,False,0.773229,0.0527857,0.173986
