scenario,cost,N,D,Q,L,share_train,share_attn,share_quality
基准,指数型,7.15344e+08,1.49674e+12,0.825729,1.69066,0.642412,0.175421,0.182166
基准,幂函数型,7.3783e+08,1.38422e+12,0.785235,1.69067,0.612792,0.167333,0.219875
基准,对数渐进型,7.70939e+08,1.40825e+12,1,1.69063,0.651405,0.177877,0.170718
κ=0.8,指数型,6.72367e+08,1.6764e+12,0.772489,1.69065,0.676294,0.184673,0.139033
κ=0.8,幂函数型,6.54204e+08,1.70758e+12,0.695759,1.69066,0.670263,0.183027,0.14671
κ=0.8,对数渐进型,7.70939e+08,1.40825e+12,1,1.69063,0.651405,0.177877,0.170718
κ=1.3,指数型,7.65948e+08,1.32992e+12,0.871806,1.69066,0.611189,0.166895,0.221916
κ=1.3,幂函数型,8.58879e+08,1.08026e+12,0.880774,1.69068,0.55669,0.152013,0.291297
κ=1.3,对数渐进型,7.70939e+08,1.40825e+12,1,1.69063,0.651405,0.177877,0.170718
Q0=0.3,指数型,7.39494e+08,1.41282e+12,0.833991,1.69066,0.626862,0.171175,0.201963
Q0=0.3,幂函数型,7.93846e+08,1.22337e+12,0.80987,1.69068,0.582699,0.159116,0.258186
Q0=0.3,对数渐进型,8.50022e+08,1.17426e+12,1,1.69064,0.598887,0.163536,0.237576
Q0=0.7,指数型,6.23298e+08,1.90203e+12,0.792753,1.69065,0.71132,0.194238,0.0944428
Q0=0.7,幂函数型,5.23557e+08,2.50054e+12,0.7,1.69065,0.785505,0.214495,0
Q0=0.7,对数渐进型,7.06131e+08,1.65821e+12,1,1.69062,0.702546,0.191842,0.105612
α-10%,指数型,2.0805e+09,5.22496e+11,0.973831,1.69095,0.652231,0.178103,0.169666
α-10%,幂函数型,2.25521e+09,4.56335e+11,1,1.69096,0.61748,0.168613,0.213907
α-10%,对数渐进型,1.85572e+09,6.499e+11,1,1.69093,0.723618,0.197596,0.0787855
α+10%,指数型,2.60183e+08,4.16634e+12,0.686143,1.69046,0.650407,0.177604,0.171989
α+10%,幂函数型,2.1185e+08,5.64394e+12,0.552563,1.69047,0.7174,0.195898,0.0867025
α+10%,对数渐进型,3.70783e+08,2.47252e+12,1,1.69044,0.550061,0.150203,0.299736
β-10%,指数型,1.98514e+08,5.54557e+12,0.647877,1.69119,0.660523,0.180367,0.159111
β-10%,幂函数型,1.41992e+08,9.22005e+12,0.5,1.6912,0.785505,0.214495,0
β-10%,对数渐进型,3.21582e+08,2.7258e+12,1,1.69117,0.525942,0.143617,0.330441
β+10%,指数型,2.20201e+09,4.94238e+11,0.981671,1.69035,0.652992,0.17831,0.168697
β+10%,幂函数型,2.33982e+09,4.43263e+11,1,1.69035,0.622293,0.169927,0.20778
β+10%,对数渐进型,1.98094e+09,6.11866e+11,1,1.69033,0.72724,0.198585,0.0741747
