cost,ell,Q_leaves_bound_at_logC,slope_tokens_per_param_start,slope_tokens_per_param_end,Q_min,Q_max,share_quality_min,share_quality_max,share_train_min,share_train_max
对数渐进型,2048,20.6,0.0969404,0.115809,0.5,1,0,0.40011,0.561554,0.936096
对数渐进型,8192,20.5,0.0969642,0.114155,0.5,1,0,0.401383,0.470216,0.785505
对数渐进型,32768,20.3,0.0969623,0.11018,0.5,1,0,0.390808,0.291164,0.477951
对数渐进型,131072,19.8,0.0969616,0.104928,0.5,1,0,0.39129,0.113374,0.186252
幂函数型,2048,21.1,0.0969404,0.162275,0.5,1,0,0.245757,0.706044,0.936096
幂函数型,8192,21,0.0969642,0.15704,0.5,1,0,0.24558,0.5926,0.785505
幂函数型,32768,20.8,0.0969623,0.144212,0.5,1,0,0.244836,0.360931,0.477951
幂函数型,131072,20.3,0.0969616,0.126344,0.5,1,0,0.244844,0.140649,0.186252
指数型,2048,20.4,0.0969404,0.151799,0.5,1,0,0.183129,0.764669,0.936096
指数型,8192,20.3,0.0969642,0.147278,0.5,1,0,0.183073,0.6417,0.785505
指数型,32768,20.1,0.0969623,0.13628,0.5,1,0,0.183091,0.390442,0.477951
指数型,131072,19.6,0.0969616,0.121261,0.5,1,0,0.182988,0.15217,0.186252
