Model,BBH,bbh_macro,bbh_weighted,bbh_group,n_subtasks
0-hero/Matter-0.2-7B-DPO,10.0555,35.9625,35.8445,35.8445,24
01-ai/Yi-1.5-34B,42.7494,59.7639,59.5383,59.5383,24
01-ai/Yi-1.5-34B-32K,43.3818,60.1569,59.816,59.816,24
01-ai/Yi-1.5-34B-Chat,44.2628,60.8375,60.6492,60.6492,24
01-ai/Yi-1.5-34B-Chat-16K,44.5362,61.0022,60.7013,60.7013,24
01-ai/Yi-1.5-6B,22.0279,44.8835,44.8186,44.8186,24
01-ai/Yi-1.5-6B-Chat,23.6787,45.5486,45.0616,45.0616,24
01-ai/Yi-1.5-9B,30.5007,51.4294,51.3626,51.3626,24
01-ai/Yi-1.5-9B-32K,28.937,49.6332,49.4011,49.4011,24
01-ai/Yi-1.5-9B-Chat,36.9529,55.5906,55.2855,55.2855,24
01-ai/Yi-1.5-9B-Chat-16K,31.4976,51.5338,51.2411,51.2411,24
01-ai/Yi-34B,35.5424,54.571,54.5044,54.5044,24
01-ai/Yi-34B-200K,36.0221,54.4182,54.0184,54.0184,24
01-ai/Yi-34B-Chat,37.624,55.6087,55.2682,55.2682,24
01-ai/Yi-6B,19.4085,43.0923,42.6662,42.6662,24
01-ai/Yi-6B-200K,20.148,42.8929,42.4579,42.4579,24
01-ai/Yi-6B-Chat,17.0002,41.326,40.8783,40.8783,24
01-ai/Yi-9B,27.627,49.3961,49.2623,49.2623,24
01-ai/Yi-9B-200K,26.4925,47.933,47.8042,47.8042,24
01-ai/Yi-Coder-9B-Chat,25.9432,48.142,48.0299,48.0299,24
1-800-LLMs/Qwen-2.5-14B-Hindi,49.3299,65.239,64.9714,64.9714,24
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,46.5402,62.8432,62.5759,62.5759,24
1024m/PHI-4-Hindi,52.4618,67.1002,66.9675,66.9675,24
1024m/QWEN-14B-B100,49.7766,65.3271,65.1102,65.1102,24
152334H/miqu-1-70b-sf,43.8071,61.0236,60.8748,60.8748,24
1TuanPham/T-VisStar-7B-v0.1,30.2438,50.522,50.3211,50.3211,24
1TuanPham/T-VisStar-v0.1,30.2438,50.522,50.3211,50.3211,24
3rd-Degree-Burn/L-3.1-Science-Writer-8B,29.1993,50.4131,50.0781,50.0781,24
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,8.61806,34.6094,34.2475,34.2475,24
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,6.51514,33.4277,33.154,33.154,24
3rd-Degree-Burn/Llama-Squared-8B,21.2771,44.3103,44.1069,44.1069,24
4season/final_model_test_v2,47.4107,63.4205,63.2355,63.2355,24
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,30.8481,51.1989,50.946,50.946,24
AALF/FuseChat-Llama-3.1-8B-SFT-preview,32.5368,52.403,52.2132,52.2132,24
AALF/gemma-2-27b-it-SimPO-37K,15.3079,39.1134,38.8995,38.8995,24
AALF/gemma-2-27b-it-SimPO-37K-100steps,15.2611,39.3082,39.1772,39.1772,24
AELLM/gemma-2-aeria-infinity-9b,42.0902,59.8334,59.7639,59.7639,24
AELLM/gemma-2-lyco-infinity-9b,39.7875,58.3953,58.2885,58.2885,24
AGI-0/Art-v0-3B,8.02978,33.9811,33.8656,33.8656,24
AGI-0/Artificium-llama3.1-8B-001,19.3489,42.5622,42.3711,42.3711,24
AGI-0/smartllama3.1-8B-001,24.8577,46.7018,46.3982,46.3982,24
AI-MO/NuminaMath-7B-CoT,19.1524,43.1419,42.9786,42.9786,24
AI-MO/NuminaMath-7B-TIR,16.8735,41.4369,41.2776,41.2776,24
AI-Sweden-Models/Llama-3-8B-instruct,18.3881,41.7346,41.4685,41.4685,24
AI-Sweden-Models/gpt-sw3-40b,6.89493,32.6774,32.4596,32.4596,24
AI4free/Dhanishtha,7.93648,34.0394,33.7615,33.7615,24
AI4free/t2,2.13315,29.1011,28.745,28.745,24
AIDC-AI/Marco-o1,34.8425,53.6436,53.3414,53.3414,24
Aashraf995/Creative-7B-nerd,37.0802,56.0679,55.841,55.841,24
Aashraf995/Gemma-Evo-10B,43.4246,60.4435,60.3541,60.3541,24
Aashraf995/Qwen-Evo-7B,38.5853,57.0936,56.8131,56.8131,24
Aashraf995/QwenStock-14B,50.4339,65.5013,65.2838,65.2838,24
AbacusResearch/Jallabi-34B,43.6158,60.2338,59.8681,59.8681,24
Ahdoot/StructuredThinker-v0.3-MoreStructure,27.2585,48.3769,48.134,48.134,24
Ahdoot/Test_StealthThinker,25.3666,46.4664,46.1031,46.1031,24
AicoresSecurity/Cybernet-Sec-3B-R1-V0,22.3221,44.9743,44.8707,44.8707,24
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,22.6515,44.775,44.5235,44.5235,24
AicoresSecurity/Cybernet-Sec-3B-R1-V1,19.1251,42.8234,42.6315,42.6315,24
