dataset,kind,variant,mode,target,n,spearman,regret,expected_regret_random_pick,rmse_uncalibrated,mae_uncalibrated,y_min,y_max,y_range,topk1_hit,topk3_hit,topk5_hit,topk10_hit,note
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,arxiv,63,0.8516225038402457,0.07650000000000001,0.6502952380952383,3.524669887094763,3.4297263926329915,1.0486,2.3615,1.3129,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,freelaw,63,0.7633928571428571,0.11360000000000003,0.7707428571428568,3.475138395437001,3.4463599169796137,0.9749,2.4423,1.4674,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,pubmed_central,63,0.7440476190476191,0.0,0.7131380952380946,3.51419696177204,3.4586479953688554,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,wikipedia_en,63,0.30252262207787706,0.2594000000000001,0.5561936507936507,3.8635326947736273,3.8488157044928633,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,dm_mathematics,63,0.8332853302611367,0.0029000000000000137,0.7211063492063489,2.9386105167739482,2.7276278068284463,0.6258,1.9448,1.319,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,github,63,0.7935867895545314,0.0,0.6725555555555556,3.660262331631871,3.5760620659449027,1.1153,2.2485,1.1332,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,stackexchange,63,0.6520575564212397,0.10089999999999999,0.4341111111111111,3.5747346318018156,3.5193019693194962,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,gutenberg_pg_19,63,0.4050979262672811,0.06570000000000009,0.502990476190476,3.603475183266637,3.5899364165179644,1.3043,2.2052,0.9009,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,pile_cc,63,0.0697484639016897,0.09349999999999992,0.4624015873015874,3.8051454077558997,3.794151461002652,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,ubuntu_irc,63,0.6081029185867896,0.058499999999999996,0.615215873015873,4.548245358386363,4.478844699739846,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,hackernews,63,-0.02304147465437788,0.5118,0.38035873015873034,3.6077487566131423,3.5935339685544228,1.4418,2.2718,0.8299999999999998,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,pubmed_abstracts,63,0.3424539170506912,0.0,0.6093492063492063,3.621267129207062,3.6033077264492195,1.2101,2.2223,1.0122000000000002,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,uspto_backgrounds,63,0.4031826419098165,0.0,0.5972079365079366,3.4268665445570328,3.412851418254237,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_entropy_proxyQ,entropy_proxy,__composite_equal_v__,63,-0.7231182795698925,0.3587230769230767,0.1994589743589743,3.599941564871124,3.5753205801604238,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,arxiv,63,0.6718509984639017,0.0,0.6502952380952383,3.400854111416305,3.3478978031414597,1.0486,2.3615,1.3129,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,freelaw,63,0.7125576036866359,0.0,0.7707428571428568,3.454000025997524,3.4150551688404973,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,pubmed_central,63,0.6806355606758833,0.0,0.7131380952380946,3.474460511899464,3.4420838187727663,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,wikipedia_en,63,0.4125723064818017,0.2594000000000001,0.5561936507936507,3.885306735549735,3.8702168439326092,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,dm_mathematics,63,0.6416090629800307,0.13,0.7211063492063489,2.824760891514594,2.7519155282077006,0.6258,1.9448,1.319,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,github,63,0.6070948540706606,0.12149999999999994,0.6725555555555556,3.696816891634556,3.6552204094940457,1.1153,2.2485,1.1332,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,stackexchange,63,0.5261439869808958,0.10089999999999999,0.4341111111111111,3.5966441832396923,3.574458170276956,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,gutenberg_pg_19,63,0.505184331797235,0.31919999999999993,0.502990476190476,3.585222792281922,3.5709864683299384,1.3043,2.2052,0.9009,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,pile_cc,63,0.153465821812596,0.09349999999999992,0.4624015873015874,3.8059243319106315,3.7951971436547183,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,ubuntu_irc,63,0.49980798771121354,0.058499999999999996,0.615215873015873,4.466478109032229,4.440948141399236,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,hackernews,63,0.19292434715821813,0.16549999999999998,0.38035873015873034,3.5825685800299945,3.5687327486965765,1.4418,2.2718,0.8299999999999998,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,pubmed_abstracts,63,0.3255568356374808,0.41480000000000006,0.6093492063492063,3.6533039490217996,3.631855586433763,1.2101,2.2223,1.0122000000000002,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,uspto_backgrounds,63,0.44352970828976657,0.0,0.5972079365079366,3.449840116412678,3.4335453351621474,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,__composite_equal_v__,63,-0.4509888632872504,0.3587230769230767,0.1994589743589743,3.582231372520336,3.5752436576951596,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,arxiv,63,0.7084773425499232,0.0,0.6502952380952383,3.409059510207525,3.3512792323094542,1.0486,2.3615,1.3129,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,freelaw,63,0.7104934715821812,0.0,0.7707428571428568,3.454211656990652,3.414838824457975,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,pubmed_central,63,0.6643625192012289,0.0,0.7131380952380946,3.4764339611756854,3.442827753789554,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,wikipedia_en,63,0.38172959231407144,0.2594000000000001,0.5561936507936507,3.886394825904569,3.8708847186239193,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
