dataset,is_extrapolation,concentration,unperturbed_pick,true_best_row,unperturbed_pick_is_true_best,selection_unchanged_rate,n_distinct_picks
same_scale_1m,False,200.0,238,238,True,0.945,6
same_scale_1m,False,50.0,238,238,True,0.63,10
same_scale_1m,False,20.0,238,238,True,0.39,18
cross_scale_60m,False,200.0,238,218,False,0.955,6
cross_scale_60m,False,50.0,238,218,False,0.63,12
cross_scale_60m,False,20.0,238,218,False,0.405,17
cross_scale_1B,False,200.0,29,45,False,0.47,6
cross_scale_1B,False,50.0,29,45,False,0.58,5
cross_scale_1B,False,20.0,29,45,False,0.495,5
est_10b,True,200.0,15,31,False,0.865,3
est_10b,True,50.0,15,31,False,0.865,5
est_10b,True,20.0,15,31,False,0.855,4
est_70b,True,200.0,15,31,False,0.89,3
est_70b,True,50.0,15,31,False,0.88,6
est_70b,True,20.0,15,31,False,0.9,5
