operating_point,N,D,Q,dQ,delta_L_Q,N_eq,N_eq_over_N_minus_1,status
B1_median,1.2285255,146.801,1.0,0.05,,,,Q+dQ>1 截断跳过
B1_median,1.2285255,146.801,1.0,0.1,,,,Q+dQ>1 截断跳过
B1_median,1.2285255,146.801,1.0,0.2,,,,Q+dQ>1 截断跳过
B6_median,1.0,150.0,0.5,0.05,0.010286394186920234,1.0792482869210496,0.07924828692104957,ok
B6_median,1.0,150.0,0.5,0.1,0.019542499761803,1.1579174266064969,0.15791742660649688,ok
B6_median,1.0,150.0,0.5,0.2,0.0356310822396364,1.3139932344932674,0.31399323449326744,ok
B6_Q_low,1.0,150.0,0.1,0.05,0.055183645727444386,1.3734051852776794,0.3734051852776794,ok
B6_Q_low,1.0,150.0,0.1,0.1,0.09222097558193898,1.7353688235527471,0.7353688235527471,ok
B6_Q_low,1.0,150.0,0.1,0.2,0.14161719721087973,2.4480962768051935,1.4480962768051935,ok
B6_Q_high,1.0,150.0,1.0,0.05,,,,Q+dQ>1 截断跳过
B6_Q_high,1.0,150.0,1.0,0.1,,,,Q+dQ>1 截断跳过
B6_Q_high,1.0,150.0,1.0,0.2,,,,Q+dQ>1 截断跳过
anchor_1B_100B,1.0,100.0,0.8,0.05,0.0063335270729232285,1.0522804464954967,0.05228044649549668,ok
anchor_1B_100B,1.0,100.0,0.8,0.1,0.012250365363260851,1.1044834488619435,0.1044834488619435,ok
anchor_1B_100B,1.0,100.0,0.8,0.2,0.023019807396616354,1.2087712459214999,0.20877124592149987,ok
anchor_7B_300B,7.0,300.0,0.8,0.05,0.003764371052795923,7.4237251197710945,0.060532159967299215,ok
anchor_7B_300B,7.0,300.0,0.8,0.1,0.007282418057442452,7.851372297388709,0.12162461391267265,ok
anchor_7B_300B,7.0,300.0,0.8,0.2,0.013689097073285694,8.719009279679238,0.2455727542398911,ok
