source,check,label,n,N_min,N_max,Q_min,Q_max,L_std,M2_rmse,M2_E,M2_alpha,M2_beta,M2_kappa,M2_rho,M2_boundary_hits,M2_n_clusters,M0_rmse,M0_E,M0_alpha,M0_beta,rmse_gain_M0_to_M2,r2_vs_constant,quality_channel_informative,orientation,E,kappa,rho,rmse,boundary_hits,corr_Q_residual,residual_mean,residual_std,residual_min,residual_max,quintile_residual_means_lowQ_to_highQ,monotone_direction
b6_quality_main,per_set_fit,all,360,0.07,11.97,0.1,1.0,0.34553641526851714,0.06440460621117573,1.5159060111206493,0.2611261024133242,0.22703968692530185,0.4332534778784921,0.5394074274470574,{},1.0,0.12898025974840666,1.6568054625044701,0.2790538973871927,0.2828029415269238,0.06457565353723092,0.8606654409169843,True,,,,,,,,,,,,,
b6_quality_main,orientation_test,all,360,,,,,,,,,,,,,,,,,,,,,original_Q,1.7492296817193498,0.38210121757313825,0.5386701487331776,0.06750336134334013,{},,,,,,,
b6_quality_main,orientation_test,all,360,,,,,,,,,,,,,,,,,,,,,reverse_2_minus_Q,1.8580343228813407,5.43873621204354e-19,6.100202522215313e-20,0.1374349664363704,"{'kappa': 'lower', 'rho': 'lower'}",,,,,,,
b6_quality_main,residual_vs_quality,all,360,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8328533187364381,0.16823675995422893,0.1374349664363704,-0.13219862095624224,0.5315093392793915,"[0.30444037106534005, 0.24067814884311778, 0.1467181488431178, 0.05269259328756226, 0.003553704398673367]",Q↑→残差↓（质量提升降损失）
b7_quality_expanded,per_set_fit,all,450,0.07,11.97,0.1,1.0,0.34101890490535247,0.062018957491837313,1.5648037014069192,0.2642763624954662,0.2489462875448049,0.40131298515871056,0.5366444071475235,{},1.0,0.11823877449064982,1.6845719085857838,0.28321756494588163,0.2995752965497573,0.056219816998812504,0.8797838186343927,True,,,,,,,,,,,,,
b7_quality_expanded,orientation_test,all,450,,,,,,,,,,,,,,,,,,,,,original_Q,1.7551641840135563,0.36652116454714756,0.5426557042541015,0.06480000157777907,{},,,,,,,
b7_quality_expanded,orientation_test,all,450,,,,,,,,,,,,,,,,,,,,,reverse_2_minus_Q,1.8535879339708115,6.621281959310262e-23,1.181711270979104e-25,0.12707689205011316,"{'kappa': 'lower', 'rho': 'lower'}",,,,,,,
b7_quality_expanded,residual_vs_quality,all,450,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8182072152347826,0.16379037106534006,0.1270768920501132,-0.13219862095624224,0.5315093392793915,"[0.30444037106534005, 0.24067814884311778, 0.1640559266208956, 0.09381148217645115, 0.015965926620895587]",Q↑→残差↓（质量提升降损失）
b8_quality_large,per_set_fit,calibrated,984,0.07,12.0,0.05,1.0,0.7103522816669302,0.6669527717423374,0.870778666756785,0.3354859087240107,0.2747541823194712,2.87652965835079e-47,2.5540999665050304e-38,"{'kappa': 'lower', 'rho': 'lower'}",1.0,0.6669527717423374,0.8707785437528639,0.33548591200071537,0.27475402445314556,0.0,0.11845882125920293,False,,,,,,,,,,,,,
b8_quality_large,per_set_fit,extrapolated,720,20.0,700.0,0.05,1.0,0.6371359949847595,0.6282355354539856,0.8132665337619183,0.22818528334158963,0.27482941806699135,3.886212139632457e-43,2.661268411474152e-38,"{'kappa': 'lower', 'rho': 'lower'}",1.0,0.6282355354539211,0.8132621136853774,0.22817916000229346,0.27482924588817376,-6.45039577307216e-14,0.02774381669778425,False,,,,,,,,,,,,,
b8_quality_large,orientation_test,calibrated,984,,,,,,,,,,,,,,,,,,,,,original_Q,0.7172672983229769,4.917952471339562e-22,7.67470053456935e-22,0.6727389550079164,"{'kappa': 'lower', 'rho': 'lower'}",,,,,,,
b8_quality_large,orientation_test,calibrated,984,,,,,,,,,,,,,,,,,,,,,reverse_2_minus_Q,0.9145092335895582,2.9999999999999996,2.9999999999999996,0.5555505806529718,"{'kappa': 'upper', 'rho': 'upper'}",,,,,,,
b8_quality_large,orientation_test,extrapolated,720,,,,,,,,,,,,,,,,,,,,,original_Q,0.6941530266226882,2.9760616564331885e-21,6.34459560218287e-21,0.6376683318184297,"{'kappa': 'lower', 'rho': 'lower'}",,,,,,,
b8_quality_large,orientation_test,extrapolated,720,,,,,,,,,,,,,,,,,,,,,reverse_2_minus_Q,0.809485851227066,2.9999999999999996,2.9999999999999996,0.5616989633817727,"{'kappa': 'upper', 'rho': 'upper'}",,,,,,,
b8_quality_large,residual_vs_quality,calibrated,984,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9815815732676665,-0.97253026464493,0.6727389550079164,-2.365113650834415,0.07857591904079131,"[-1.8241815857831414, -1.421616027283262, -0.8720739915543498, -0.32788525805249275, -0.061332261753323444]",Q↑→残差↑（与质量假设相反）
b8_quality_large,residual_vs_quality,extrapolated,720,,,,,,,,,,,,,,,,,,,,,,,,,,,0.946843490576543,-0.9956445365069729,0.6376683318184297,-2.1081361344363563,0.0792321904820672,"[-1.6519063420625284, -1.5647805087291953, -0.9996441198403062, -0.37238300872919516, -0.059378008729195145]",Q↑→残差↑（与质量假设相反）
