solution,sse,rmse,E,A,alpha,B,beta,kappa,rho,delta,dist_to_best
0,0.4873983410279677,0.017813383403312705,1.678683354774815,0.3699439439746307,0.3287740372683274,1.235528979310248,0.2811093994384272,0.37531433948811566,0.5499554374490053,0.05876921022409885,0.0
1,0.48739834102798046,0.017813383403312937,1.6786833414263538,0.36994396548856495,0.3287740206373405,1.2355289735535897,0.28110940194381523,0.37531423308768797,0.5499555758307463,0.05876920094479112,1.7752098294515936e-07
2,0.4873983410282782,0.017813383403318377,1.678683332942873,0.3699439816436639,0.3287740139449651,1.2355289615296483,0.28110940470705165,0.3753146501951934,0.5499551771171048,0.058769218852728906,4.0886368991083916e-07
3,0.4873983410284938,0.01781338340332232,1.678683358163375,0.36994399500188146,0.32877400341783886,1.2355289152648152,0.2811094207200846,0.3753148805234081,0.5499552264025115,0.058769189872408305,5.882090157247182e-07
4,0.4873983410286415,0.017813383403325018,1.6786833494406168,0.3699439873682353,0.32877401100029513,1.2355289328618189,0.28110941407784734,0.3753149337645923,0.5499550517687363,0.058769209835300096,7.11960103577754e-07
5,0.48739834102866847,0.01781338340332551,1.6786833647126884,0.3699439866505246,0.3287740107030252,1.235528914944667,0.28110942036457665,0.37531499673982666,0.5499550985646323,0.058769197026807635,7.444482108468744e-07
6,0.48739834102869034,0.01781338340332591,1.6786833733037037,0.36994398402929624,0.3287740121410487,1.2355289072332756,0.2811094230277813,0.37531502478355744,0.5499551204277213,0.0587691911207685,7.608073987046274e-07
7,0.48739834102869145,0.01781338340332593,1.6786833424068397,0.3699440104891566,0.32877398446860057,1.2355289257542041,0.2811094195960538,0.375314199386767,0.5499559288918986,0.058769154011387346,5.24350945480134e-07
8,0.4873983410287716,0.017813383403327394,1.6786833070822256,0.36994393100567385,0.3287740400908648,1.2355290613201673,0.28110937361862626,0.375313317562879,0.5499560610496105,0.058769217870594276,1.2012953032393112e-06
9,0.48739834102877366,0.017813383403327433,1.6786833304898465,0.3699438720716676,0.3287740840684599,1.235529095424009,0.28110936100438866,0.3753133188907699,0.5499558431167114,0.05876924810907308,1.1092926260509347e-06
10,0.4873983410288453,0.01781338340332874,1.67868336831647,0.3699439889488035,0.32877400959772823,1.2355289072767426,0.28110942284353013,0.3753150946745991,0.549955044766514,0.05876919542394111,8.564073492645111e-07
11,0.4873983410288622,0.01781338340332905,1.6786833841424604,0.3699439653295883,0.3287740267624396,1.2355289131009695,0.28110942054693544,0.37531511411446505,0.549954987823411,0.05876920134467204,8.991919175742539e-07
