solution,sse,rmse,kappa,rho,delta,dist_to_best
0,1.640438603613106,0.03268017568129975,0.38210158532238303,0.5386698298528939,0.05943212983394822,0.0
1,1.6404386036131993,0.03268017568130068,0.3821004004314342,0.5386703764040006,0.05943216843062333,1.3054402997669256e-06
2,1.6404386036134977,0.03268017568130366,0.38210160306570484,0.5386696903143007,0.0594321495505567,1.4203728074339264e-07
3,1.6404386036137533,0.0326801756813062,0.3821016674216961,0.5386696663884762,0.059432146564599185,1.836867652605443e-07
4,1.640438603613773,0.0326801756813064,0.38210026580748446,0.5386704386653572,0.05943217279121826,1.4538285697082849e-06
5,1.6404386036139262,0.032680175681307926,0.3821002380206812,0.5386704583355054,0.05943217263761175,1.4872943294097384e-06
6,1.6404386036149972,0.03268017568131859,0.3821000742561727,0.538670578495845,0.05943217107893316,1.6868575840784386e-06
7,1.6404386036150782,0.032680175681319396,0.38210005688459225,0.5386705818925426,0.059432172358002675,1.703964204039033e-06
8,1.6404386036151157,0.03268017568131977,0.38210005572745914,0.538670588010489,0.059432171533034206,1.707689194165395e-06
9,1.640438603615167,0.032680175681320284,0.38210193519831,0.5386695468324477,0.05943213723136913,4.5007605919298895e-07
10,1.6404386036154135,0.03268017568132274,0.38210196969734644,0.5386695256406985,0.05943213692341771,4.902442584342911e-07
11,1.6404386036155396,0.032680175681323996,0.3821019888561966,0.5386695161945833,0.059432136393510575,5.111400027494187e-07
12,1.6404386036156153,0.03268017568132475,0.38209998250137467,0.538670628279128,0.059432172915686636,1.7911939237207033e-06
13,1.6404386036156329,0.032680175681324926,0.3821020023647685,0.5386695093471877,0.0594321360487232,5.260103443870751e-07
14,1.640438603615839,0.03268017568132697,0.3821020286358276,0.5386694916285715,0.059432136058483284,5.576389936664166e-07
15,1.6404386036161485,0.03268017568133006,0.382102072133322,0.5386694707635763,0.059432134765690946,6.049416090757728e-07
16,1.6404386036162013,0.03268017568133059,0.38210207661853757,0.5386694650202511,0.05943213518729505,6.119668512347977e-07
17,1.6404386036162757,0.03268017568133133,0.38210208850392363,0.5386694612908935,0.059432134529351144,6.237400562109559e-07
18,1.6404386036164682,0.032680175681333246,0.38210211084306794,0.5386694455936485,0.05943213463521539,6.510377947023229e-07
19,1.640438603617504,0.032680175681343564,0.3820997482371723,0.5386707623386978,0.05943217653121628,2.060726202293876e-06
20,1.6404386036183938,0.032680175681352425,0.3820996412534537,0.5386708085363435,0.05943218050383615,2.177106504999419e-06
21,1.6404386036198388,0.03268017568136682,0.3820999109814943,0.5386710131360751,0.05943212088795189,2.050282060941117e-06
22,1.64043860362328,0.0326801756814011,0.3821029119554064,0.5386693387648794,0.05943206796407097,1.4159627461183644e-06
23,1.6404386036265624,0.03268017568143379,0.38210301288192083,0.5386689386558885,0.05943211929880167,1.6829347360329752e-06
24,1.640438603627423,0.03268017568144236,0.38209889646488665,0.5386712222199511,0.05943219393670213,3.0286547873425222e-06
25,1.6404386036278193,0.03268017568144631,0.3821032597855434,0.538669142558296,0.059432062164046714,1.8112923439480342e-06
26,1.6404386036285907,0.032680175681453996,0.3821031416066992,0.5386688567848678,0.05943211858323865,1.835485994179116e-06
27,1.6404386036332956,0.03268017568150086,0.38210361816681804,0.5386689671552252,0.05943205205616598,2.209695261344954e-06
28,1.6404386036339529,0.032680175681507405,0.382098493609215,0.5386714468888029,0.05943220106376736,3.4897806709558187e-06
29,1.6404386036401528,0.03268017568156916,0.3820981693040983,0.5386716348818382,0.05943220570045183,3.864332560463808e-06
30,1.6404386036435838,0.03268017568160334,0.3820979957984455,0.5386717225699895,0.059432210172768306,4.058757744449094e-06
31,1.640438603654873,0.03268017568171579,0.38209763093441124,0.5386720821101595,0.05943219252048466,4.551239020713894e-06
32,1.6404386036579917,0.03268017568174685,0.3821046014010616,0.5386680704626764,0.05943208851280166,3.4919753679059207e-06
33,1.6404386036626775,0.03268017568179352,0.38209719964526784,0.5386721664866406,0.05943222427778015,4.970205293787782e-06
34,1.6404386036644454,0.032680175681811134,0.38209712892564945,0.5386721985991644,0.05943222666171669,5.047752604636846e-06
35,1.6404386036685799,0.03268017568185232,0.3821049785191222,0.5386678390221453,0.0594320851211034,3.93436022989109e-06
36,1.6404386036702399,0.03268017568186885,0.38209692450735283,0.5386723159091328,0.05943222976918642,5.283337905187975e-06
37,1.6404386036790655,0.03268017568195677,0.3820966251202637,0.5386724786287407,0.05943223572604978,5.62412941601682e-06
38,1.640438603681836,0.032680175681984364,0.38210546264917034,0.5386676240447905,0.05943206807513002,4.461285303158809e-06
39,1.6404386036874092,0.032680175682039875,0.3820963663562263,0.5386726282158611,0.05943223949192395,5.922876658621093e-06
40,1.6404386036877583,0.03268017568204335,0.38209635495047906,0.5386726334715021,0.05943223986442612,5.935416940702473e-06
41,1.640438603696518,0.03268017568213061,0.3821058934454135,0.5386673653480037,0.059432063323603505,4.963681297724587e-06
42,1.6404386036986345,0.03268017568215169,0.3821059348785169,0.538667316310376,0.05943206659950048,5.023995735111131e-06
43,1.6404386037021068,0.03268017568218627,0.3821060753097831,0.5386672956664205,0.05943205521109126,5.156321993975982e-06
44,1.6404386037022871,0.03268017568218807,0.3820959314159471,0.5386728700476882,0.05943224730719533,6.420532870166777e-06
45,1.6404386037087084,0.03268017568225203,0.38209586702445314,0.5386730473831535,0.05943222659876066,6.562072509130995e-06
46,1.6404386037112741,0.03268017568227759,0.3820957473948306,0.5386730520101849,0.05943223830974493,6.668992631106572e-06
47,1.6404386037175354,0.032680175682339954,0.3820955523448764,0.5386731215392635,0.05943224782786655,6.873568164780515e-06
48,1.6404386037182455,0.03268017568234703,0.38209550320039604,0.5386731081791343,0.059432254996693655,6.910520712347296e-06
49,1.640438603725858,0.03268017568242286,0.38210690579407175,0.5386671651206495,0.05943198917491279,5.95214263010778e-06
50,1.6404386037269048,0.03268017568243328,0.3820952867462938,0.5386732318867068,0.05943225836833129,7.159777643451523e-06
