C,cost_form,ell,q0_mode,enum_candidate,enum_L,enum_N_B,enum_Q,slsqp_L,slsqp_N_B,slsqp_Q,dL_slsqp_minus_enum,slsqp_Q_cand,enum_Q_cand,verdict
1e+19,exponential,4096,fixed_ref,lp_vertex_box,1.689979583461657,49.83028066810549,1.0,1.6900765700543947,14.828949167883053,0.9999999984360733,9.698659273760235e-05,0.47537191518105626,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+19,power,4096,fixed_ref,lp_vertex_box,1.6899796598468881,50.00191835850845,1.0,1.6900769564096925,14.943891506505498,0.9999999590427079,9.729656280432764e-05,0.47537191362360537,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+19,logarithmic,4096,fixed_ref,lp_vertex_box,1.6899793862254853,49.44017507673947,1.0,1.6900755558110792,14.414087710311032,0.9999999761328189,9.6169585593886e-05,0.4753719118100729,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+22,exponential,4096,fixed_ref,lp_vertex_box,1.6898604937862003,1113.3028820207708,1.0,1.689893636320697,320.78361105229027,0.9999999343059947,3.314253449659965e-05,0.4753719140526356,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+22,power,4096,fixed_ref,lp_vertex_box,1.689860494977943,1113.3028820207708,1.0,1.6898936427888662,319.48578410470003,0.9999999572321829,3.3147810923228604e-05,0.4753719143744174,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+22,logarithmic,4096,fixed_ref,lp_vertex_box,1.6898604907309605,1112.7561417305162,1.0,1.6898936203533297,320.65611183717954,0.9999861829157296,3.3129622369232337e-05,0.4753719035625155,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+24,exponential,4096,fixed_ref,lp_vertex_box,1.6898285956310846,8900.478046834984,1.0,1.6898449309704415,2577.339987361589,0.9999992372710724,1.6335339356965406e-05,0.4753719083712859,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+24,power,4096,fixed_ref,lp_vertex_box,1.6898285957046133,8900.478046834984,1.0,1.6898449315104236,2543.820714365428,0.9999973137122609,1.633580581028582e-05,0.4753719045876681,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+24,logarithmic,4096,fixed_ref,lp_vertex_box,1.6898285954426375,8900.478046834984,1.0,1.6898449299841285,2552.341761533237,1.0,1.633454149096991e-05,0.47537191083793867,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+19,exponential,4096,mixture,lp_vertex_box,1.6899795782184137,49.83028066810549,1.0,1.6900765487031517,14.797104511375263,1.0,9.697048473800152e-05,0.47537191306443455,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+19,power,4096,mixture,lp_vertex_box,1.689979649187794,49.977362540143,1.0,1.6900769134734686,14.94647452492598,1.0,9.726428567446987e-05,0.47537191364617865,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
1e+19,logarithmic,4096,mixture,lp_vertex_box,1.6899793650737112,49.39162710530183,1.0,1.6900754629887587,14.396409394384573,0.9999999858124915,9.609791504749943e-05,0.4753719150142129,0.4871620101591301,SLSQP 未优于枚举（枚举已取到该族最优）
