C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+19,2048,exponential,fixed_ref,0.0,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,exponential,mixture,0.0,0.0,0.9360958562156763,0.0639041437843235,0.0,2.048e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,4096,exponential,fixed_ref,0.0,0.0,0.8798686062881278,0.12013139371187238,0.0,-2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,exponential,mixture,0.0,0.0,0.8798686062881275,0.12013139371187236,0.0,2.048e-16,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+19,8192,exponential,fixed_ref,0.0,1.1623380929555949e-16,0.7855048177628823,0.21449518223711775,0.0,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+19,8192,exponential,mixture,0.0,0.0,0.7855048177628824,0.21449518223711775,0.0,0.0,1.0000000000000002,0.2730666666666667,0.0,True,True,True,True,True
1e+19,32768,exponential,fixed_ref,0.0,1.5261774305694442e-16,0.4779505480499618,0.5220494519500383,0.0,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+19,32768,exponential,mixture,0.0,0.0,0.4779505480499617,0.5220494519500383,0.0,0.0,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+19,131072,exponential,fixed_ref,0.0,0.0,0.18625211085725638,0.8137478891427435,0.0,0.0,0.9999999999999999,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+19,131072,exponential,mixture,0.0,0.0,0.1862521108572564,0.8137478891427437,0.0,0.0,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+19,2048,power,fixed_ref,0.0,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,power,mixture,0.0,0.0,0.9360958562156763,0.0639041437843235,0.0,2.048e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,4096,power,fixed_ref,0.0,0.0,0.8798686062881278,0.12013139371187238,0.0,-2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,power,mixture,0.0,0.0,0.8798686062881275,0.12013139371187236,0.0,2.048e-16,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+19,8192,power,fixed_ref,0.0,1.1623380929555949e-16,0.7855048177628823,0.21449518223711775,0.0,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+19,8192,power,mixture,0.0,0.0,0.7855048177628824,0.21449518223711775,0.0,0.0,1.0000000000000002,0.2730666666666667,0.0,True,True,True,True,True
1e+19,32768,power,fixed_ref,0.0,1.5261774305694442e-16,0.4779505480499618,0.5220494519500383,0.0,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+19,32768,power,mixture,0.0,0.0,0.4779505480499617,0.5220494519500383,0.0,0.0,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+19,131072,power,fixed_ref,0.0,0.0,0.18625211085725638,0.8137478891427435,0.0,0.0,0.9999999999999999,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+19,131072,power,mixture,0.0,0.0,0.1862521108572564,0.8137478891427437,0.0,0.0,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+19,2048,logarithmic,fixed_ref,0.0,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,logarithmic,mixture,0.0,0.0,0.9360958562156763,0.0639041437843235,0.0,2.048e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,4096,logarithmic,fixed_ref,0.0,0.0,0.8798686062881278,0.12013139371187238,0.0,-2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,logarithmic,mixture,0.0,0.0,0.8798686062881275,0.12013139371187236,0.0,2.048e-16,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+19,8192,logarithmic,fixed_ref,0.0,1.1623380929555949e-16,0.7855048177628823,0.21449518223711775,0.0,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+19,8192,logarithmic,mixture,0.0,0.0,0.7855048177628824,0.21449518223711775,0.0,0.0,1.0000000000000002,0.2730666666666667,0.0,True,True,True,True,True
1e+19,32768,logarithmic,fixed_ref,0.0,1.5261774305694442e-16,0.4779505480499618,0.5220494519500383,0.0,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+19,32768,logarithmic,mixture,0.0,0.0,0.4779505480499617,0.5220494519500383,0.0,0.0,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+19,131072,logarithmic,fixed_ref,0.0,0.0,0.18625211085725638,0.8137478891427435,0.0,0.0,0.9999999999999999,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+19,131072,logarithmic,mixture,0.0,0.0,0.1862521108572564,0.8137478891427437,0.0,0.0,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,2048,exponential,fixed_ref,0.0,0.0,0.7922474132314083,0.05408409007659748,0.153668496691994,2.097152e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,2048,exponential,mixture,0.0,0.0,0.8030394989136187,0.05482082979250303,0.14213967129387842,0.0,1.0000000000000002,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+22,4096,exponential,fixed_ref,0.0,0.0,0.7449646484390494,0.10171250666687821,0.1533228448940723,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,4096,exponential,mixture,0.0,0.0,0.7547297193123693,0.10304576434344881,0.14222451634418193,0.0,1.0,0.1365333333333333,2.7755575615628914e-17,True,True,True,True,True
1e+22,8192,exponential,fixed_ref,0.0,0.0,0.66559204540717,0.18175100119918455,0.15265695339364543,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,8192,exponential,mixture,0.0,0.0,0.6737439931336433,0.18397702639169353,0.14227898047466303,2.097152e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,32768,exponential,fixed_ref,0.0,0.0,0.4065979922814554,0.4441134337026243,0.14928857401592055,-2.097152e-16,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+22,32768,exponential,mixture,0.0,0.0,0.41028466359634,0.448140261890829,0.14157507451283105,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+22,131072,exponential,fixed_ref,0.0,0.0,0.15984121651141087,0.6983569310194547,0.1418018524691345,-2.097152e-16,0.9999999999999998,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,131072,exponential,mixture,0.0,0.0,0.160677148378528,0.7020091730756809,0.13731367854579127,-2.097152e-16,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+22,2048,power,fixed_ref,0.0,0.0,0.7725072822116583,0.05273649713231588,0.17475622065602564,2.097152e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,2048,power,mixture,0.0,0.0,0.7976645186558942,0.05445389780690905,0.14788158353719688,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,4096,power,fixed_ref,0.0,0.0,0.7251896688965659,0.09901256279334447,0.17579776831008967,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,4096,power,mixture,0.0,0.0,0.7477370090446611,0.10209102630156441,0.15017196465377441,0.0,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+22,8192,power,fixed_ref,0.0,0.0,0.6459927069504335,0.17639907517793174,0.1776082178716348,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,8192,power,mixture,0.0,0.0,0.6644943134972143,0.18145124720563938,0.15405443929714627,0.0,0.9999999999999999,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+22,32768,power,fixed_ref,0.0,0.0,0.38998900123932656,0.42597198642034184,0.1840390123403315,2.097152e-16,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+22,32768,power,mixture,0.0,0.0,0.3978582387735508,0.43456729227105717,0.16757446895539216,-2.097152e-16,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+22,131072,power,fixed_ref,0.0,0.0,0.15055110672547464,0.6577678220240472,0.19168107125047837,-2.097152e-16,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+22,131072,power,mixture,0.0,0.0,0.1521737494711525,0.6648572563560967,0.18296899417275092,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+22,2048,logarithmic,fixed_ref,0.0,0.0,0.7389326101778275,0.05044446618813969,0.21062292363403276,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,2048,logarithmic,mixture,0.0,0.0,0.7613936042565669,0.05197780338391496,0.18662859235951826,-2.097152e-16,1.0,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+22,4096,logarithmic,fixed_ref,0.0,0.0,0.6985122926190993,0.09537021168559438,0.20611749569530613,2.097152e-16,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
