functional,omega,C,cost_form,ell,q0_mode,argmin_L_candidate,L_min,argmax_h_candidate,h_max,h_min,h_identifiable,argmax_Q_candidate,Q_cand_max,L_spread,n_tied_at_L_min,argmin_L_is_argmax_h,argmax_h_is_argmax_Q
mixture_l1,0.0,1e+19,exponential,2048,fixed_ref,reference_p0,1.6923142614993059,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,exponential,2048,mixture,lp_vertex_box,1.6922661084626793,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,7.824065479744569e-05,2,True,False
mixture_l1,0.0,1e+19,exponential,4096,fixed_ref,reference_p0,1.6923383070141473,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,exponential,4096,mixture,lp_vertex_box,1.6922896939053464,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,7.898819517104805e-05,2,True,False
mixture_l1,0.0,1e+19,exponential,8192,fixed_ref,reference_p0,1.6923829409505353,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,exponential,8192,mixture,lp_vertex_box,1.692333473844469,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,8.037579760444835e-05,2,True,False
mixture_l1,0.0,1e+19,exponential,32768,fixed_ref,reference_p0,1.6925878289987635,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,exponential,32768,mixture,lp_vertex_box,1.692534441686993,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,8.674547585951764e-05,2,True,False
mixture_l1,0.0,1e+19,exponential,131072,fixed_ref,reference_p0,1.6930221433704056,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,exponential,131072,mixture,lp_vertex_box,1.6929604461348704,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,9.653983472435179e-05,2,True,False
mixture_l1,0.0,1e+19,logarithmic,2048,fixed_ref,reference_p0,1.6923142614993059,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,logarithmic,2048,mixture,lp_vertex_box,1.6922661084626793,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,7.824065479744569e-05,2,True,False
mixture_l1,0.0,1e+19,logarithmic,4096,fixed_ref,reference_p0,1.6923383070141473,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,logarithmic,4096,mixture,lp_vertex_box,1.6922896939053464,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,7.898819517104805e-05,2,True,False
mixture_l1,0.0,1e+19,logarithmic,8192,fixed_ref,reference_p0,1.6923829409505353,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,logarithmic,8192,mixture,lp_vertex_box,1.692333473844469,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,8.037579760444835e-05,2,True,False
mixture_l1,0.0,1e+19,logarithmic,32768,fixed_ref,reference_p0,1.6925878289987635,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,logarithmic,32768,mixture,lp_vertex_box,1.692534441686993,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,8.674547585951764e-05,2,True,False
mixture_l1,0.0,1e+19,logarithmic,131072,fixed_ref,reference_p0,1.6930221433704056,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,logarithmic,131072,mixture,lp_vertex_box,1.6929604461348704,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.00010024771528582832,2,True,False
mixture_l1,0.0,1e+19,power,2048,fixed_ref,reference_p0,1.6923142614993059,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,power,2048,mixture,lp_vertex_box,1.6922661084626793,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,7.824065479744569e-05,2,True,False
mixture_l1,0.0,1e+19,power,4096,fixed_ref,reference_p0,1.6923383070141473,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,power,4096,mixture,lp_vertex_box,1.6922896939053464,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,7.898819517104805e-05,2,True,False
mixture_l1,0.0,1e+19,power,8192,fixed_ref,reference_p0,1.6923829409505353,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,power,8192,mixture,lp_vertex_box,1.692333473844469,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,8.037579760444835e-05,2,True,False
mixture_l1,0.0,1e+19,power,32768,fixed_ref,reference_p0,1.6925878289987635,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,power,32768,mixture,lp_vertex_box,1.692534441686993,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,8.674547585951764e-05,2,True,False
mixture_l1,0.0,1e+19,power,131072,fixed_ref,reference_p0,1.6930221433704056,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+19,power,131072,mixture,lp_vertex_box,1.6929604461348704,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.00010024771528582832,2,True,False
mixture_l1,0.0,1e+22,exponential,2048,fixed_ref,reference_p0,1.690630005622433,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+22,exponential,2048,mixture,lp_vertex_box,1.6906284131378808,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,2.201874021778849e-06,2,True,False
mixture_l1,0.0,1e+22,exponential,4096,fixed_ref,reference_p0,1.690637236516379,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+22,exponential,4096,mixture,lp_vertex_box,1.690635686986963,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,2.1428417111835074e-06,2,True,False
mixture_l1,0.0,1e+22,exponential,8192,fixed_ref,reference_p0,1.690650647113936,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+22,exponential,8192,mixture,lp_vertex_box,1.6906491730391353,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,2.0390894739374943e-06,2,True,False
mixture_l1,0.0,1e+22,exponential,32768,fixed_ref,reference_p0,1.6907120322117328,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+22,exponential,32768,mixture,lp_vertex_box,1.6907108451281865,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,1.643818677399267e-06,2,True,False
mixture_l1,0.0,1e+22,exponential,131072,fixed_ref,reference_p0,1.690841381768011,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,0.0,21,True,False
mixture_l1,0.0,1e+22,exponential,131072,mixture,lp_vertex_box,1.6908405892385414,reference_p0,1.0,1.0,False,slsqp_maxQ_nol1,0.48716201015913013,1.0988689549407127e-06,2,True,False
