line,dataset,variant,n,rmse,r2,spearman,top1_regret,random_expected_regret
A,same_scale_1m,ridge_A,256,0.22776116608112115,0.32730205818245295,0.6245672636758982,0.7085578808417692,0.5335057505334797
C,same_scale_1m,best_entropy_proxyQ,256,0.11749914973830085,0.8209681944765396,0.9228506237125199,0.0,0.5335057505334797
C,same_scale_1m,forest_none,256,0.11873852364035359,0.8171714423291659,0.922121051728084,0.0,0.5335057505334797
C,same_scale_1m,forest_pertarget_none,256,0.04773199171938237,0.9704552814672844,0.9873240444037535,0.0,0.5335057505334797
C,same_scale_1m,ridge_none,256,0.22765452617213322,0.3279318376544139,0.6244485294117645,0.7085578808417692,0.5335057505334797
A,cross_scale_60m,ridge_A,256,1.520559116608641,-47.260904326410845,0.5585710402838178,0.6178860847766594,0.3802835550875625
C,cross_scale_60m,best_entropy_proxyQ,256,1.5076043543306765,-46.44206705767638,0.8424882696269168,0.007963822438166623,0.38028355508756206
C,cross_scale_60m,forest_none,256,1.5115497301572152,-46.69070218966838,0.8412537193865871,0.007963822438166623,0.38028355508756206
C,cross_scale_60m,forest_pertarget_none,256,1.482277570674226,-44.86146364568916,0.9465159361409932,0.007963822438166623,0.38028355508756206
C,cross_scale_60m,ridge_none,256,1.520393499389993,-47.25039187559949,0.5579537651636529,0.6178860847766585,0.38028355508756206
A,cross_scale_1B,ridge_A,64,3.194228124758537,-3781.0164180787715,0.3684523809523809,0.11560340569230787,0.11426107478004877
C,cross_scale_1B,best_entropy_proxyQ,64,2.9312781184294243,-3183.9718881467797,0.6499542124542124,0.06956565961538441,0.11426107478004832
C,cross_scale_1B,forest_none,64,2.92856266943056,-3178.0736946220354,0.6555860805860805,0.06956565961538441,0.11426107478004832
C,cross_scale_1B,forest_pertarget_none,64,2.8066506660956856,-2918.901983289275,0.7260531135531135,0.0,0.11426107478004832
C,cross_scale_1B,ridge_none,64,3.190582209945706,-3772.3877041843616,0.378113553113553,0.11560340569230743,0.11426107478004832
A,est_10b,ridge_A,63,3.584205710066392,-1389.6102246332832,-0.449404761904762,0.3587230769230769,0.1994589743589743
C,est_10b,best_entropy_proxyQ,63,3.599941564871124,-1401.8475111920425,-0.7231182795698925,0.3587230769230767,0.19945897435897408
C,est_10b,forest_none,63,3.6016105601386625,-1403.1485815340495,-0.7192780337941629,0.3587230769230767,0.19945897435897408
C,est_10b,forest_pertarget_none,63,3.590497518263836,-1394.4967367523,-0.7378072196620584,0.3587230769230767,0.19945897435897408
C,est_10b,ridge_none,63,3.582231372520336,-1388.078628502789,-0.4509888632872504,0.3587230769230767,0.19945897435897408
A,est_70b,ridge_A,63,3.9670592138299274,-1449.654028570108,-0.5121927803379417,0.40721538461538453,0.22425360195360167
C,est_70b,best_entropy_proxyQ,63,3.981956897612795,-1460.5699050183532,-0.8009312596006145,0.4072153846153843,0.22425360195360122
C,est_70b,forest_none,63,3.9836239707102785,-1461.7939533790807,-0.7974750384024578,0.4072153846153843,0.22425360195360122
C,est_70b,forest_pertarget_none,63,3.9723709836159276,-1453.541391255412,-0.8129320276497696,0.4072153846153843,0.22425360195360122
C,est_70b,ridge_none,63,3.96508589816616,-1448.2112034452005,-0.5138728878648234,0.4072153846153843,0.22425360195360122
