dataset,stage,sse,rel_decrease_vs_M0,share_of_total_nested_drop
C nested B1uB6 (n=1536),M0,16.989137101993446,0.0,0.0
C nested B1uB6 (n=1536),+delta,6.799838438030585,0.599753748691997,0.663854245689827
C nested B1uB6 (n=1536),+kappa,3.4197787643836213,0.7987079188393649,0.22021799920062554
C nested B1uB6 (n=1536),+rho,1.640438603613106,0.9034419115129383,0.11592775510954749
B6 (n=360),M0,16.9891118637504,0.0,0.0
B6 (n=360),+delta,6.799813199785302,0.5997546396587077,0.6835724531710273
B6 (n=360),+delta+gamma,2.083159149158237,0.8773826927584681,0.31642754682897284
B7 (n=450),M0,19.339119966095367,0.0,0.0
B7 (n=450),+delta,7.266841421917848,0.6242413597589855,0.7127687462520615
B7 (n=450),+delta+gamma,2.4019596210929315,0.8757978840141661,0.2872312537479385
B8 (n=1704),M0,2382.5273721924896,0.0,0.0
B8 (n=1704),+delta,738.3256431108966,0.690108222164322,1.0
B8 (n=1704),+delta+gamma,738.3256431108966,0.690108222164322,0.0
