source,subset,model,n,n_params,delta,gamma,gamma_ci_lo,gamma_ci_hi,gamma_boundary,gamma_boundary_frac,sse,rmse,rmse_rel_m0,resid_corr_1mQ,design_cond,delta_gamma_separable,identifiable,notes
B6,full,M0,360,0,,,,,False,,16.9891118637504,0.2172371455329559,0.0,0.8328533187356152,3.9013716341861073,True,False,classical frozen L0
B6,full,M1,360,1,0.1682367599542474,,,,False,,6.799813199785302,0.13743496643650632,-0.36735052332172724,0.8328533187356152,3.9013716341861073,True,False,source offset only
B6,full,M2,360,2,0.0006973211609940522,0.3622474352286558,0.33683241006095077,0.3890829706443513,False,0.0,2.083159149158237,0.07606939721140306,-0.6498324583266862,0.8328533187356152,3.9013716341861073,True,True,gamma>=0
B6,full,M3,360,2,0.0006973211609940522,0.3622474352286558,,,False,,2.083159149158237,0.07606939721140306,-0.6498324583266862,0.8328533187356152,3.9013716341861073,True,True,diagnostic UNCONSTRAINED (not a deployable sign)
B7,full,M0,450,0,,,,,False,,19.339119966095367,0.20730610735547228,0.0,0.8182072152339047,4.237825694123533,True,False,classical frozen L0
B7,full,M1,450,1,0.16379037106535846,,,,False,,7.266841421917848,0.12707689205024952,-0.387008450106354,0.8182072152339047,4.237825694123533,True,False,source offset only
B7,full,M2,450,2,0.0008924922774797006,0.36199528619528615,0.3360748745078039,0.3860393889707081,False,0.0,2.4019596210929315,0.07305948293598293,-0.6475767942007311,0.8182072152339047,4.237825694123533,True,True,gamma>=0
B7,full,M3,450,2,0.0008924922774797006,0.36199528619528615,,,False,,2.4019596210929315,0.07305948293598293,-0.6475767942007311,0.8182072152339047,4.237825694123533,True,True,diagnostic UNCONSTRAINED (not a deployable sign)
B8,full,M0,1704,0,,,,,False,,2382.5273721924896,1.1824537262265082,0.0,-0.9669147490939961,3.829300712961463,True,False,classical frozen L0
B8,full,M1,1704,1,-0.9822968583914078,,,,False,,738.3256431108966,0.658247443338236,-0.44332075857305586,-0.9669147490939961,3.829300712961463,True,False,source offset only
B8,full,M2,1704,2,-0.9822968583914078,0.0,0.0,0.0,True,1.0,738.3256431108966,0.658247443338236,-0.44332075857305586,-0.9669147490939961,3.829300712961463,True,False,gamma>=0 BOUNDARY (censored from negative unconstrained)
B8,full,M3,1704,2,-0.07387986778815325,-1.9830163361362358,,,True,,48.047182080652874,0.1679187395705872,-0.8579912804651935,-0.9669147490939961,3.829300712961463,True,False,diagnostic UNCONSTRAINED (not a deployable sign)
B6::B1_support,B1_support,M0,168,0,,,,,False,,7.982274464653027,0.21797600436763112,0.0,0.8556724154079413,3.9013716341861078,True,False,classical frozen L0
B6::B1_support,B1_support,M1,168,1,0.16957660927692414,,,,False,,3.1512284271247806,0.13695733666444793,-0.3716861768258666,0.8556724154079413,3.9013716341861078,True,False,source offset only
B6::B1_support,B1_support,M2,168,2,-0.0019549867809042776,0.37087912661152095,0.33489676290464393,0.4037565702741251,False,0.0,0.8439768633039859,0.07087786541213603,-0.6748363856941071,0.8556724154079413,3.9013716341861078,True,True,gamma>=0
B6::B1_support,B1_support,M3,168,2,-0.0019549867809042776,0.37087912661152095,,,False,,0.8439768633039859,0.07087786541213603,-0.6748363856941071,0.8556724154079413,3.9013716341861078,True,True,diagnostic UNCONSTRAINED (not a deployable sign)
B8::calibrated,calibrated,M0,984,0,,,,,False,,1376.018532159826,1.1825366029157809,0.0,-0.9815815732674776,3.826567703024567,True,False,classical frozen L0
B8::calibrated,calibrated,M1,984,1,-0.9725302646448992,,,,False,,445.33645835995276,0.672738955008046,-0.43110517395463843,-0.9815815732674776,3.826567703024567,True,False,source offset only
B8::calibrated,calibrated,M2,984,2,-0.9725302646448992,0.0,0.0,0.0,True,1.0,445.33645835995276,0.672738955008046,-0.43110517395463843,-0.9815815732674776,3.826567703024567,True,False,gamma>=0 BOUNDARY (censored from negative unconstrained)
B8::calibrated,calibrated,M3,984,2,-0.030946635317782634,-2.0561879521923716,,,True,,16.253718612368267,0.12852239773629517,-0.8913163470632558,-0.9815815732674776,3.826567703024567,True,False,diagnostic UNCONSTRAINED (not a deployable sign)
B8::extrapolated,extrapolated,M0,720,0,,,,,False,,1006.5088400326638,1.1823404520229404,0.0,-0.9468434905762616,3.833045215428076,True,False,classical frozen L0
B8::extrapolated,extrapolated,M1,720,1,-0.9956445365116366,,,,False,,292.76704901112424,0.637668331818618,-0.4606728284331376,-0.9468434905762616,3.833045215428076,True,False,source offset only
B8::extrapolated,extrapolated,M2,720,2,-0.9956445365116366,0.0,0.0,0.0,True,1.0,292.76704901112424,0.637668331818618,-0.4606728284331376,-0.9468434905762616,3.833045215428076,True,False,gamma>=0 BOUNDARY (censored from negative unconstrained)
B8::extrapolated,extrapolated,M3,720,2,-0.13274903000327154,-1.8826811051091603,,,True,,30.297701982353807,0.20513444772187353,-0.8265013707592461,-0.9468434905762616,3.833045215428076,True,False,diagnostic UNCONSTRAINED (not a deployable sign)
