scenario,C,ell,kappa,N_B,D_B,Q,L,regime,regime_changed_vs_baseline,N_rel_change_vs_baseline
baseline,1e+19,2048,0.8047071577351047,0.2218143113590233,5.982821058266246,0.6024991750156958,3.2913321124171615,interior,False,0.0
baseline,1e+19,8192,0.8047071577351047,0.20877811073871222,5.3169994128083555,0.6180440770851444,3.3269279198269754,interior,False,0.0
baseline,1e+22,2048,0.8047071577351047,5.651386447377781,249.15527532483043,1.0,2.319223778256409,upper_bound_Q1,False,0.0
baseline,1e+22,8192,0.8047071577351047,5.179787513023199,230.00256212691966,1.0,2.3311239712894736,upper_bound_Q1,False,0.0
baseline,1e+24,2048,0.8047071577351047,40.84531500118385,3763.4361449301828,1.0,2.082140824845693,upper_bound_Q1,False,0.0
baseline,1e+24,8192,0.8047071577351047,37.60298012645622,3434.7843725392227,1.0,2.088208299990602,upper_bound_Q1,False,0.0
quality_off_kappa0,1e+19,2048,0.0,0.22083427830268249,7.0648441553129535,0.416633,3.1671723656403024,lower_bound_Q0,True,-0.004418258904649974
quality_off_kappa0,1e+19,8192,0.0,0.20511274916300112,6.382707567490513,0.416633,3.202898439617661,lower_bound_Q0,True,-0.017556254162575113
quality_off_kappa0,1e+22,2048,0.0,4.999508705628432,312.0626149931568,0.416633,2.3114168381315254,lower_bound_Q0,True,-0.11534828626908311
quality_off_kappa0,1e+22,8192,0.0,4.623069489037681,283.18300198078634,0.416633,2.323789370163164,lower_bound_Q0,True,-0.1074789308607349
quality_off_kappa0,1e+24,2048,0.0,40.12822426967262,3887.9362063837193,0.416633,2.0816237529004464,lower_bound_Q0,True,-0.017556254162575113
quality_off_kappa0,1e+24,8192,0.0,37.10675992253635,3528.129912189824,0.416633,2.0877254344683074,lower_bound_Q0,True,-0.013196299927588528
kappa_boot_lo,1e+19,2048,0.25755077629407275,0.2017989140852526,7.6796177204910645,0.42812900920585234,3.2132236541876296,interior,False,-0.09023492285569545
kappa_boot_lo,1e+19,8192,0.25755077629407275,0.1896687351300281,6.8039001116132605,0.443119907218922,3.2499911762653935,interior,False,-0.09152959350513368
kappa_boot_lo,1e+22,2048,0.25755077629407275,5.2027747187532185,286.0211502369024,0.8595112747271322,2.3175918956039654,interior,True,-0.07938082677618274
kappa_boot_lo,1e+22,8192,0.25755077629407275,4.789774160048366,260.777282136531,0.8729607493540519,2.329804534187281,interior,True,-0.07529524174384528
kappa_boot_lo,1e+24,2048,0.25755077629407275,40.84531500118385,3763.4361449301828,1.0,2.082140824845693,upper_bound_Q1,False,0.0
