C,ell,scenario,param,value,N_B,Q,L,N_rel_change
1e+19,2048,baseline,,,0.22234662852914328,0.603059152010741,3.123094594981463,0.0
1e+19,2048,lo95,alpha,0.3397953603294782,0.2220197952573682,0.6028614851617006,3.1229336958694516,-0.0014699268162379209
1e+19,2048,hi95,alpha,0.3401425518132029,0.22264555514129447,0.6032389419321768,3.123241782907968,0.0013444171118250914
1e+19,2048,lo95,beta,0.2798257752536491,0.22239321637796355,0.603087337114639,3.1231554707771134,0.00020952801995899328
1e+19,2048,hi95,beta,0.2799327723570549,0.2222977034493746,0.6030290398104492,3.1230310553355327,-0.00022003967450423545
1e+19,8192,baseline,,,0.20788311899146739,0.6175848890018169,3.1586897109578076,0.0
1e+19,8192,lo95,alpha,0.3397953603294782,0.20757681043403164,0.6173865260082245,3.1585177301570884,-0.0014734652766505985
1e+19,8192,hi95,alpha,0.3401425518132029,0.20816425296772692,0.6177663754835203,3.1588470435736093,0.0013523655870830709
1e+19,8192,lo95,beta,0.2798257752536491,0.20792850105539584,0.6176133664292505,3.158748012876786,0.00021830567170932902
1e+19,8192,hi95,beta,0.2799327723570549,0.20783597815353033,0.6175535467594088,3.15862885679805,-0.00022676607011551386
1e+22,2048,baseline,,,5.64160174729941,0.9999999999914632,2.1509865630163136,0.0
1e+22,2048,lo95,alpha,0.3397953603294782,5.639750173408328,0.9999999999989786,2.151048203930732,-0.0003282000350288694
1e+22,2048,hi95,alpha,0.3401425518132029,5.643222126396521,0.9999999999919713,2.1509301226720776,0.00028721968860834224
1e+22,2048,lo95,beta,0.2798257752536491,5.64073630171281,0.9999999999899989,2.1510630404808957,-0.00015340423258602964
1e+22,2048,hi95,beta,0.2799327723570549,5.6424297770547,0.999999999944235,2.1509067620652758,0.0001467721034518199
1e+22,8192,baseline,,,5.162948727312462,0.9999999999812854,2.162886575602355,0.0
1e+22,8192,lo95,alpha,0.3397953603294782,5.161164151618727,0.9999999999977838,2.162946846514995,-0.000345650477661108
1e+22,8192,hi95,alpha,0.3401425518132029,5.164581761348964,0.9999999998841083,2.1628313879339767,0.0003162987127613981
1e+22,8192,lo95,beta,0.2798257752536491,5.162230973390747,0.9999999999935293,2.1629636406312294,-0.0001390201529444246
1e+22,8192,hi95,beta,0.2799327723570549,5.163685845751206,0.999999999956622,2.1628061612722673,0.000142770822968874
1e+24,2048,baseline,,,40.74856887392835,0.9999999999640843,1.9139036187010166,0.0
1e+24,2048,lo95,alpha,0.3397953603294782,40.757518405136025,0.9999999999688223,1.9139710719678849,0.00021962811099851542
1e+24,2048,hi95,alpha,0.3401425518132029,40.74036109499512,0.9999999999691451,1.9138418811451001,-0.00020142496190778125
1e+24,2048,lo95,beta,0.2798257752536491,40.73283816450674,0.9999999999960776,1.913956980085545,-0.0003860432367644995
1e+24,2048,hi95,beta,0.2799327723570549,40.765177821182704,0.9999999999199993,1.913847943787254,0.00040759584234084656
1e+24,8192,baseline,,,37.58795753823448,0.9999999999189246,1.9199711526266419,0.0
1e+24,8192,lo95,alpha,0.3397953603294782,37.59554313408502,0.9999999999784015,1.920038972845423,0.00020180920558998672
1e+24,8192,hi95,alpha,0.3401425518132029,37.581051888102415,0.9999999999760163,1.9199090785067907,-0.00018371974920528
1e+24,8192,lo95,beta,0.2798257752536491,37.57343546000787,0.999999999985917,1.9200253052750609,-0.0003863492239990496
1e+24,8192,hi95,beta,0.2799327723570549,37.602224254136814,0.9999999999372151,1.919914651947833,0.0003795554969387993
