          scenario            C  ell  kappa     N_B       D_B      Q      L         regime  regime_changed_vs_baseline  N_rel_change_vs_baseline
          baseline 1.000000e+19 2048 0.8047  0.2218    5.9828 0.6025 3.2913       interior                       False                    0.0000
          baseline 1.000000e+19 8192 0.8047  0.2088    5.3170 0.6180 3.3269       interior                       False                    0.0000
          baseline 1.000000e+22 2048 0.8047  5.6514  249.1553 1.0000 2.3192 upper_bound_Q1                       False                    0.0000
          baseline 1.000000e+22 8192 0.8047  5.1798  230.0026 1.0000 2.3311 upper_bound_Q1                       False                    0.0000
          baseline 1.000000e+24 2048 0.8047 40.8453 3763.4361 1.0000 2.0821 upper_bound_Q1                       False                    0.0000
          baseline 1.000000e+24 8192 0.8047 37.6030 3434.7844 1.0000 2.0882 upper_bound_Q1                       False                    0.0000
quality_off_kappa0 1.000000e+19 2048 0.0000  0.2208    7.0648 0.4166 3.1672 lower_bound_Q0                        True                   -0.0044
quality_off_kappa0 1.000000e+19 8192 0.0000  0.2051    6.3827 0.4166 3.2029 lower_bound_Q0                        True                   -0.0176
quality_off_kappa0 1.000000e+22 2048 0.0000  4.9995  312.0626 0.4166 2.3114 lower_bound_Q0                        True                   -0.1153
quality_off_kappa0 1.000000e+22 8192 0.0000  4.6231  283.1830 0.4166 2.3238 lower_bound_Q0                        True                   -0.1075
quality_off_kappa0 1.000000e+24 2048 0.0000 40.1282 3887.9362 0.4166 2.0816 lower_bound_Q0                        True                   -0.0176
quality_off_kappa0 1.000000e+24 8192 0.0000 37.1068 3528.1299 0.4166 2.0877 lower_bound_Q0                        True                   -0.0132
     kappa_boot_lo 1.000000e+19 2048 0.2576  0.2018    7.6796 0.4281 3.2132       interior                       False                   -0.0902
     kappa_boot_lo 1.000000e+19 8192 0.2576  0.1897    6.8039 0.4431 3.2500       interior                       False                   -0.0915
     kappa_boot_lo 1.000000e+22 2048 0.2576  5.2028  286.0212 0.8595 2.3176       interior                        True                   -0.0794
     kappa_boot_lo 1.000000e+22 8192 0.2576  4.7898  260.7773 0.8730 2.3298       interior                        True                   -0.0753
     kappa_boot_lo 1.000000e+24 2048 0.2576 40.8453 3763.4361 1.0000 2.0821 upper_bound_Q1                       False                    0.0000
     kappa_boot_lo 1.000000e+24 8192 0.2576 37.6030 3434.7844 1.0000 2.0882 upper_bound_Q1                       False                    0.0000
     kappa_boot_hi 1.000000e+19 2048 0.4108  0.2060    7.1851 0.4934 3.2384       interior                       False                   -0.0712
     kappa_boot_hi 1.000000e+19 8192 0.4108  0.1931    6.3972 0.5077 3.2749       interior                       False                   -0.0753
     kappa_boot_hi 1.000000e+22 2048 0.4108  5.3827  269.5125 0.9346 2.3188       interior                        True                   -0.0475
     kappa_boot_hi 1.000000e+22 8192 0.4108  4.9995  243.6936 0.9489 2.3308       interior                        True                   -0.0348
     kappa_boot_hi 1.000000e+24 2048 0.4108 40.8453 3763.4361 1.0000 2.0821 upper_bound_Q1                       False                    0.0000
     kappa_boot_hi 1.000000e+24 8192 0.4108 37.6030 3434.7844 1.0000 2.0882 upper_bound_Q1                       False                    0.0000
          alpha_lo 1.000000e+19 2048 0.8047  0.2218    5.9828 0.6025 3.2912       interior                       False                    0.0000
          alpha_lo 1.000000e+19 8192 0.8047  0.2069    5.3629 0.6172 3.3268       interior                       False                   -0.0088
          alpha_lo 1.000000e+22 2048 0.8047  5.6514  249.1553 1.0000 2.3193 upper_bound_Q1                       False                    0.0000
          alpha_lo 1.000000e+22 8192 0.8047  5.1798  230.0026 1.0000 2.3312 upper_bound_Q1                       False                    0.0000
          alpha_lo 1.000000e+24 2048 0.8047 40.8453 3763.4361 1.0000 2.0822 upper_bound_Q1                       False                    0.0000
          alpha_lo 1.000000e+24 8192 0.8047 37.6030 3434.7844 1.0000 2.0883 upper_bound_Q1                       False                    0.0000
