split,model,raw_rmse,cal_rmse,raw_bias,raw_spearman,cal_spearman
test_1m,线性混料,0.243921,0.251682,0.0133267,0.61985,0.619672
test_1m,二次混料,0.206337,0.202405,-0.01613,0.707128,0.719425
test_60m,线性混料,1.49977,0.209688,1.48354,0.541253,0.551753
test_60m,二次混料,1.46565,0.160675,1.45409,0.693068,0.720959
test_1B,线性混料,3.19991,0.0847933,3.19492,0.262097,0.27566
test_1B,二次混料,2.8109,0.111924,2.7968,0.382698,0.289223
est_10b,线性混料,3.59237,0.122977,3.58585,-0.406891,-0.410924
est_10b,二次混料,3.64151,0.15565,3.6224,-0.606672,-0.605572
est_70b,线性混料,3.97867,0.124632,3.97221,-0.502933,-0.494501
est_70b,二次混料,4.02705,0.148186,4.00875,-0.707111,-0.710777
