,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,0.283922,0.165646,0.202612,0.131645,0.387875,0.367003,0.244894,0.156372,0.0649502,0.285798,0.0992429,0.117955,0.094195
freelaw,0.521763,0.252114,0.336136,0.100539,0.430481,0.33338,0.238898,0.0837988,0.0483793,0.282511,0.124,0.165533,0.124647
nih_exporter,0.212859,0.130089,0.154979,0.0662769,0.409463,0.161207,0.120936,0.062796,0.0415399,0.207875,0.0608065,0.0662121,0.0779582
pubmed_central,0.123889,0.126562,0.245924,0.0909541,0.427661,0.275308,0.198651,0.0861904,0.0535141,0.194083,0.0877543,0.058993,0.058567
wikipedia_en,0.885622,0.448719,0.620758,0.32487,1.66899,0.890986,0.672419,0.222211,0.126501,0.828446,0.241572,0.213509,0.216505
dm_mathematics,1.18265,0.720757,0.882712,0.448124,2.58122,1.00273,0.667258,0.373161,0.235364,1.32671,0.343383,0.360632,0.452492
github,0.209,0.113544,0.221891,0.127233,0.377873,0.1725,0.069426,0.0594897,0.0652799,0.201015,0.0514411,0.161914,0.11794
philpapers,0.187525,0.12388,0.150791,0.0895937,0.36797,0.165111,0.110048,0.0708731,0.0492057,0.241081,0.0628121,0.0748053,0.0766758
stackexchange,0.086292,0.15821,0.190541,0.0394999,0.246829,0.123804,0.102491,0.0598951,0.0240328,0.115094,0.0686303,0.127396,0.0596223
enron_emails,0.261745,0.139183,0.20249,0.0860314,0.495471,0.1914,0.152464,0.0802727,0.0488118,0.297666,0.081422,0.0794105,0.0732986
gutenberg_pg_19,1.66842,0.855355,1.25746,0.70343,3.49841,1.40473,1.01189,0.560465,0.431264,2.11602,0.477635,0.541671,0.618206
pile_cc,0.243328,0.0793111,0.125089,0.0404666,0.44937,0.161574,0.102921,0.0358275,0.0445694,0.187715,0.044075,0.0442822,0.0518047
ubuntu_irc,0.661855,0.43519,0.544983,0.251919,1.49261,0.593033,0.404802,0.232049,0.161836,1.03423,0.201881,0.251978,0.230668
europarl,0.358863,0.188357,0.261519,0.100592,0.626951,0.28343,0.191374,0.102455,0.0555249,0.38073,0.0906569,0.0965742,0.111683
hackernews,0.29153,0.235871,0.251478,0.121315,0.779809,0.27477,0.197037,0.111042,0.0679129,0.341393,0.110885,0.12248,0.115023
pubmed_abstracts,0.841884,0.579445,0.732308,0.46707,1.89406,0.850092,0.625629,0.342332,0.219266,1.02898,0.340165,0.299768,0.283583
uspto_backgrounds,0.800441,0.468597,0.658091,0.353756,1.61851,1.02959,0.627048,0.259216,0.155958,1.03154,0.287224,0.181722,0.30302
