指标,分组,处理
fineweb_edu,教育价值,取; 单; 元; 素; ，; 1; %; /; 9; 9; %;  ; 分; 位; 截; 尾;  ; m; i; n; -; m; a; x
dsir_books,教育价值,稳; 健; 归; 一; 化; （; 正; 向; ）
dsir_wiki,教育价值,稳; 健; 归; 一; 化; （; 正; 向; ）
dsir_math,教育价值,稳; 健; 归; 一; 化; （; 正; 向; ）
qurater,教育价值,4;  ; 维; 各; 标; 准; 化; 后; 平; 均
reason,教育价值,稳; 健; 归; 一; 化; （; 正; 向; ）
read,可读性,稳; 健; 归; 一; 化; （; 正; 向; ）
clean,可读性,稳; 健; 归; 一; 化; （; 正; 向; ）
fluency_en,可读性,s; o; f; t; m; a; x;  ; 取; 流; 畅; 类; 概; 率
ue,可读性,稳; 健; 归; 一; 化; （; 正; 向; ）
prof,专业性,稳; 健; 归; 一; 化; （; 正; 向; ）
mwl,专业性,稳; 健; 归; 一; 化; （; 正; 向; ）
fuw,专业性,稳; 健; 归; 一; 化; （; 正; 向; ）
ad,低噪声,s; o; f; t; m; a; x;  ; 取; 无; 广; 告; 类; 概; 率; （; 已; 正; 向; ）
fna,低噪声,稳; 健; 归; 一; 化;  ; +;  ; 负; 向; 补; 转; 换
t2,低噪声,稳; 健; 归; 一; 化;  ; +;  ; 负; 向; 补; 转; 换
t3,低噪声,稳; 健; 归; 一; 化;  ; +;  ; 负; 向; 补; 转; 换
up,低噪声,稳; 健; 归; 一; 化;  ; +;  ; 负; 向; 补; 转; 换
term,低噪声,稳; 健; 归; 一; 化; （; 正; 向; ）
num,低噪声,稳; 健; 归; 一; 化;  ; +;  ; 负; 向; 补; 转; 换
wc,低噪声,倒;  ; U;  ; 型; 适; 宜; 区; 间; 效; 用
ns,低噪声,倒;  ; U;  ; 型; 适; 宜; 区; 间; 效; 用
