_id,_domain,_ntok,Q,Q_base,conflict,is_conflict,z_教育价值,z_可读性,z_专业性,z_低噪声
BkiUbrg5i7PA9LposM8m,commoncrawl,273,0.500569,0.564342,0.401861,False,0.684482,0.753626,0.351765,0.5588
BkiUdMc5qX_AYwyj8Ffd,commoncrawl,739,0.535596,0.585795,0.254603,False,0.671813,0.622234,0.418465,0.673068
BkiUbGY4eIZijRGJ1DNi,commoncrawl,945,0.364825,0.420032,0.456363,False,0.67636,0.2813,0.236009,0.692372
BkiUdP7xK6wB9jjDgG1h,c4,41,0.475085,0.544852,0.427289,False,0.739586,0.538494,0.312298,0.708215
BkiUbLS6NNjgB0Ss0K9B,commoncrawl,386,0.42881,0.521736,0.551202,False,0.647627,0.763184,0.211983,0.706278
BkiUfTQ25V5jNiZ1JmMK,commoncrawl,550,0.483141,0.574138,0.564777,False,0.733508,0.835591,0.270814,0.654099
BkiUdWw4uBhivXSXyaFl,commoncrawl,285,0.455892,0.541861,0.534108,False,0.677633,0.789407,0.255299,0.630717
BkiUdP04eIZjlowc5lrs,book,39863,0.212971,0.295288,0.888689,True,0.570382,0.909586,0.0208968,0.675438
BkiUdmLxK1fBGsWmvzQr,stackexchange,131,0.474427,0.512844,0.427527,False,0.812315,0.479625,0.384789,0.461284
BkiUc1U4eILhP_ZFBAzu,book,77824,0.180996,0.252007,0.957454,True,0.443798,0.972758,0.0153032,0.579284
BkiUeAQ4eIOjReIV-YsK,commoncrawl,594,0.524582,0.580763,0.326077,False,0.719569,0.638962,0.393492,0.628678
BkiUeX3xK0-nUKDhrUvh,book,81068,0.186735,0.260413,0.906687,True,0.507272,0.921508,0.0148212,0.628505
BkiUdCQ25V5irqwkfFmr,commoncrawl,1494,0.562388,0.655412,0.590835,True,0.811755,0.936166,0.345331,0.702785
BkiUdirxaJJQnKrAkMj5,commoncrawl,890,0.501612,0.584651,0.48805,False,0.795905,0.703546,0.307855,0.677398
BkiUdak4uzlhjV1b1qkn,commoncrawl,669,0.495886,0.591159,0.556024,False,0.731426,0.829606,0.273581,0.73508
BkiUdUc4eIZjtO0fWuTz,stackexchange,158,0.60634,0.646353,0.211158,False,0.712044,0.724134,0.512976,0.659827
BkiUdO3xK3xgpZzQoG3B,commoncrawl,771,0.436563,0.520604,0.501302,False,0.701684,0.741768,0.240466,0.586348
BkiUfMQ4uzliBaE72VJi,c4,75,0.523507,0.589449,0.383115,False,0.676965,0.640702,0.369643,0.752758
BkiUd9k5qg5A59Bh1n0r,c4,909,0.363508,0.413098,0.435015,False,0.640205,0.247797,0.268548,0.682812
BkiUdUM5qhDACudDNjo-,commoncrawl,291,0.466206,0.529797,0.42,False,0.737827,0.683932,0.317827,0.491002
