N_B,D_B,L0,e_N,e_D,C_FLOPs
0.1,10,3.11528,-0.0845098,-0.0584954,6e+18
0.1,100,2.80598,-0.0938253,-0.0340923,6e+19
0.1,1000,2.64361,-0.0995881,-0.0189962,6e+20
0.1,10000,2.55837,-0.102906,-0.0103044,6e+21
1,10,2.69488,-0.0446569,-0.0676207,6e+19
1,100,2.38558,-0.0504469,-0.0401003,6e+20
1,1000,2.22321,-0.0541313,-0.0225883,6e+21
1,10000,2.13797,-0.0562894,-0.0123306,6e+22
10,10,2.50271,-0.0219807,-0.072813,6e+20
10,100,2.19341,-0.0250803,-0.0436136,6e+21
10,1000,2.03104,-0.0270853,-0.0247255,6e+22
10,10000,1.9458,-0.0282718,-0.0135484,6e+23
100,10,2.41487,-0.0104131,-0.0754617,6e+21
100,100,2.10556,-0.0119428,-0.0454332,6e+22
100,1000,1.94319,-0.0129407,-0.0258433,6e+23
100,10000,1.85795,-0.0135344,-0.0141889,6e+24
1000,10,2.37471,-0.00484047,-0.0767377,6e+22
1000,100,2.06541,-0.00556535,-0.0463165,6e+23
1000,1000,1.90304,-0.0060402,-0.0263886,6e+24
1000,10000,1.8178,-0.00632342,-0.0145024,6e+25
