C,ell,N_analytic,N_numeric,D_analytic,D_numeric,L_analytic,L_numeric,rel_diff_N,L_gap
1e+19,2048,1.59204e+08,1.59204e+08,9.79974e+09,9.79974e+09,3.15405,3.15405,5.19604e-08,0
1e+19,4096,1.54813e+08,1.54813e+08,9.47238e+09,9.47238e+09,3.16804,3.16804,6.83618e-08,4.44089e-16
1e+19,8192,1.47083e+08,1.47083e+08,8.90095e+09,8.90095e+09,3.19401,3.19401,9.03577e-08,4.44089e-16
1e+19,32768,1.17527e+08,1.17527e+08,6.77787e+09,6.77787e+09,3.31322,3.31322,2.81896e-09,0
1e+19,131072,7.6796e+07,7.6796e+07,4.04214e+09,4.04214e+09,3.56591,3.56591,7.14286e-08,4.44089e-16
1e+22,2048,3.60181e+09,3.60181e+09,4.3316e+11,4.3316e+11,2.1969,2.1969,5.0508e-08,4.44089e-16
1e+22,4096,3.50247e+09,3.50247e+09,4.1869e+11,4.1869e+11,2.20175,2.20175,4.81614e-08,4.44089e-16
1e+22,8192,3.32758e+09,3.32758e+09,3.93432e+11,3.93432e+11,2.21074,2.21074,4.46523e-08,4.44089e-16
1e+22,32768,2.65892e+09,2.65892e+09,2.9959e+11,2.9959e+11,2.25202,2.25202,1.27774e-07,4.44089e-16
1e+22,131072,1.73742e+09,1.73742e+09,1.78667e+11,1.78667e+11,2.33954,2.33954,4.18551e-08,4.44089e-16
1e+24,2048,2.88115e+10,2.88115e+10,5.41507e+12,5.41507e+12,1.93988,1.93988,6.03416e-08,0
1e+24,4096,2.80168e+10,2.80168e+10,5.23418e+12,5.23418e+12,1.94227,1.94227,1.16066e-08,-2.22045e-16
1e+24,8192,2.66178e+10,2.66178e+10,4.91842e+12,4.91842e+12,1.9467,1.9467,1.47785e-08,0
1e+24,32768,2.12691e+10,2.12691e+10,3.74527e+12,3.74527e+12,1.96706,1.96706,1.37727e-08,-2.22045e-16
1e+24,131072,1.38979e+10,1.38979e+10,2.23358e+12,2.23358e+12,2.01022,2.01022,1.9641e-08,0
