logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
19,1e+19,指数型,2048,2.16478e+08,6.10127e+09,0.635301,3.1399,0.0354808,28.1842,False,0.792474,0.0540996,0.153426
19.1,1.25893e+19,指数型,2048,2.46127e+08,6.69219e+09,0.653485,3.08575,0.0367783,27.19,False,0.785018,0.0535905,0.161392
19.2,1.58489e+19,指数型,2048,2.79133e+08,7.37139e+09,0.671422,3.03345,0.0378671,26.4081,False,0.778955,0.0531767,0.167868
19.3,1.99526e+19,指数型,2048,3.15668e+08,8.15743e+09,0.688793,2.98297,0.038697,25.8418,False,0.774345,0.052862,0.172793
19.4,2.51189e+19,指数型,2048,3.56085e+08,9.06439e+09,0.7056,2.9343,0.039284,25.4557,False,0.770981,0.0526323,0.176386
19.5,3.16228e+19,指数型,2048,4.00772e+08,1.0109e+10,0.721842,2.88738,0.0396449,25.2239,False,0.768701,0.0524767,0.178822
19.6,3.98107e+19,指数型,2048,4.5063e+08,1.1292e+10,0.738083,2.84219,0.0399068,25.0584,False,0.766908,0.0523542,0.180738
19.7,5.01187e+19,指数型,2048,5.06024e+08,1.26402e+10,0.754078,2.79866,0.0400329,24.9795,False,0.765731,0.0522739,0.181995
19.8,6.30957e+19,指数型,2048,5.67478e+08,1.41791e+10,0.769755,2.75676,0.040022,24.9863,False,0.765156,0.0522346,0.18261
19.9,7.94328e+19,指数型,2048,6.36308e+08,1.59091e+10,0.785714,2.71644,0.0399965,25.0022,False,0.764653,0.0522003,0.183147
20,1e+20,指数型,2048,7.12361e+08,1.78945e+10,0.801109,2.67763,0.0398089,25.12,False,0.764841,0.0522131,0.182946
20.1,1.25893e+20,指数型,2048,7.97156e+08,2.01413e+10,0.816538,2.6403,0.0395782,25.2665,False,0.765213,0.0522386,0.182548
20.2,1.58489e+20,指数型,2048,8.92016e+08,2.26711e+10,0.832215,2.60438,0.039346,25.4155,False,0.765589,0.0522642,0.182147
20.3,1.99526e+20,指数型,2048,9.96811e+08,2.55723e+10,0.847327,2.56984,0.0389801,25.6541,False,0.766539,0.0523291,0.181132
20.4,2.51189e+20,指数型,2048,1.11411e+09,2.88364e+10,0.862757,2.53661,0.0386353,25.8831,False,0.767395,0.0523875,0.180217
20.5,3.16228e+20,指数型,2048,1.24471e+09,3.25361e+10,0.878151,2.50465,0.0382565,26.1394,False,0.768397,0.0524559,0.179147
20.6,3.98107e+20,指数型,2048,1.39022e+09,3.67263e+10,0.893546,2.47392,0.0378534,26.4177,False,0.769504,0.0525315,0.177965
20.7,5.01187e+20,指数型,2048,1.55102e+09,4.1526e+10,0.90841,2.44437,0.0373507,26.7733,False,0.771063,0.0526379,0.1763
20.8,6.30957e+20,指数型,2048,1.73069e+09,4.69397e+10,0.923522,2.41595,0.0368706,27.1219,False,0.772524,0.0527376,0.174739
20.9,7.94328e+20,指数型,2048,1.93168e+09,5.3035e+10,0.938952,2.38862,0.0364227,27.4554,False,0.773837,0.0528272,0.173336
21,1e+21,指数型,2048,2.15453e+09,5.99834e+10,0.954064,2.36234,0.0359188,27.8406,False,0.775417,0.0529351,0.171648
21.1,1.25893e+21,指数型,2048,2.40303e+09,6.78416e+10,0.969282,2.33706,0.0354211,28.2317,False,0.776974,0.0530414,0.169985
21.2,1.58489e+21,指数型,2048,2.68068e+09,7.67031e+10,0.984747,2.31276,0.0349488,28.6133,False,0.778411,0.0531396,0.168449
21.3,1.99526e+21,指数型,2048,2.98901e+09,8.67815e+10,1,2.28939,0.034443,29.0335,False,0.78002,0.0532494,0.16673
21.4,2.51189e+21,指数型,2048,3.26268e+09,1.01507e+11,1,2.26697,0.0321423,31.1117,False,0.791083,0.0540046,0.154912
21.5,3.16228e+21,指数型,2048,3.56496e+09,1.18511e+11,1,2.2455,0.0300813,33.2433,False,0.801613,0.0547234,0.143664
21.6,3.98107e+21,指数型,2048,3.89904e+09,1.38113e+11,1,2.22494,0.0282308,35.4223,False,0.811603,0.0554055,0.132991
