C,cost,ell,C_recomputed,rel_error,within_budget
1e+19,指数型,2048,1e+19,0,True
1e+19,指数型,4096,1e+19,0,True
1e+19,指数型,8192,1e+19,0,True
1e+19,指数型,32768,1e+19,2.22045e-16,True
1e+19,指数型,131072,1e+19,2.22045e-16,True
1e+19,幂函数型,2048,1e+19,2.22045e-16,True
1e+19,幂函数型,4096,1e+19,0,True
1e+19,幂函数型,8192,1e+19,0,True
1e+19,幂函数型,32768,1e+19,0,True
1e+19,幂函数型,131072,1e+19,0,True
1e+19,对数渐进型,2048,1e+19,2.22045e-16,True
1e+19,对数渐进型,4096,1e+19,0,True
1e+19,对数渐进型,8192,1e+19,0,True
1e+19,对数渐进型,32768,1e+19,0,True
1e+19,对数渐进型,131072,1e+19,0,True
1e+22,指数型,2048,1e+22,0,True
1e+22,指数型,4096,1e+22,2.22045e-16,True
1e+22,指数型,8192,1e+22,0,True
1e+22,指数型,32768,1e+22,2.22045e-16,True
1e+22,指数型,131072,1e+22,2.22045e-16,True
1e+22,幂函数型,2048,1e+22,2.22045e-16,True
1e+22,幂函数型,4096,1e+22,0,True
1e+22,幂函数型,8192,1e+22,0,True
1e+22,幂函数型,32768,1e+22,2.22045e-16,True
1e+22,幂函数型,131072,1e+22,0,True
1e+22,对数渐进型,2048,1e+22,2.22045e-16,True
1e+22,对数渐进型,4096,1e+22,0,True
1e+22,对数渐进型,8192,1e+22,2.22045e-16,True
1e+22,对数渐进型,32768,1e+22,0,True
1e+22,对数渐进型,131072,1e+22,2.22045e-16,True
1e+24,指数型,2048,1e+24,2.22045e-16,True
1e+24,指数型,4096,1e+24,0,True
1e+24,指数型,8192,1e+24,0,True
1e+24,指数型,32768,1e+24,0,True
1e+24,指数型,131072,1e+24,2.22045e-16,True
1e+24,幂函数型,2048,1e+24,0,True
1e+24,幂函数型,4096,1e+24,1.11022e-16,True
1e+24,幂函数型,8192,1e+24,1.11022e-16,True
1e+24,幂函数型,32768,1e+24,0,True
1e+24,幂函数型,131072,1e+24,0,True
1e+24,对数渐进型,2048,1e+24,2.22045e-16,True
1e+24,对数渐进型,4096,1e+24,0,True
1e+24,对数渐进型,8192,1e+24,0,True
1e+24,对数渐进型,32768,1e+24,0,True
1e+24,对数渐进型,131072,1e+24,2.22045e-16,True
