C,cost,ell,N,Q,grad_lnN,grad_Q,Q_bound,N_band_ratio
1e+19,指数型,2048,2.13478e+07,0.5,-2.22045e-10,0.00259936,下界,5.34173
1e+19,指数型,8192,1.97224e+07,0.5,-1.11022e-10,0.00234848,下界,4.8716
1e+19,指数型,131072,1.02976e+07,0.5,0,0.000759278,下界,2.31122
1e+19,幂函数型,2048,2.13478e+07,0.5,-2.22045e-10,0.0062693,下界,5.34173
1e+19,幂函数型,8192,1.97224e+07,0.5,-1.11022e-10,0.00577279,下界,4.8716
1e+19,幂函数型,131072,1.02976e+07,0.5,0,0.00269882,下界,2.31122
1e+19,对数渐进型,2048,2.13478e+07,0.5,-2.22045e-10,0.00863109,下界,5.34173
1e+19,对数渐进型,8192,1.97224e+07,0.5,-1.11022e-10,0.00797651,下界,4.8716
1e+19,对数渐进型,131072,1.02976e+07,0.5,0,0.00394702,下界,2.31122
1e+22,指数型,2048,7.68581e+08,0.811558,1.11022e-10,-5.80647e-08,内部,20.6694
1e+22,指数型,8192,7.15417e+08,0.825789,1.11022e-10,-1.13798e-07,内部,19.9676
1e+22,指数型,131072,3.92605e+08,0.942042,0,9.19265e-08,内部,15.1459
1e+22,幂函数型,2048,7.79616e+08,0.760462,1.11022e-10,-3.35287e-08,内部,20.0251
1e+22,幂函数型,8192,7.37848e+08,0.78525,0,3.16414e-08,内部,19.2895
1e+22,幂函数型,131072,4.48786e+08,1,-1.11022e-10,-1.41043e-06,上界,14.8011
1e+22,对数渐进型,2048,8.48242e+08,1,-1.11022e-10,-0.00010565,上界,21.7688
1e+22,对数渐进型,8192,7.70939e+08,1,2.22045e-10,-0.000110016,上界,21.0296
1e+22,对数渐进型,131072,3.63157e+08,1,-2.22045e-10,-0.000148871,上界,16.1827
1e+24,指数型,2048,5.99747e+09,1,0,-3.00961e-05,上界,85.2084
1e+24,指数型,8192,5.49204e+09,1,0,-3.35902e-05,上界,80.9053
1e+24,指数型,131072,2.72256e+09,1,1.11022e-10,-6.13547e-05,上界,54.3793
1e+24,幂函数型,2048,6.12261e+09,1,-1.11022e-10,-3.78599e-05,上界,83.5085
1e+24,幂函数型,8192,5.59876e+09,1,0,-4.08751e-05,上界,79.749
1e+24,幂函数型,131072,2.75044e+09,1,1.11022e-10,-6.55986e-05,上界,53.7567
1e+24,对数渐进型,2048,5.58237e+09,1,-1.11022e-10,-6.06204e-05,上界,91.5673
1e+24,对数渐进型,8192,5.13994e+09,1,0,-6.2427e-05,上界,86.6931
1e+24,对数渐进型,131072,2.6336e+09,1,0,-7.89218e-05,上界,56.4531
