C,cost,ell,c_attn_ratio,N,D,Q,L,C_FLOPs_check,N_over_D,tokens_per_param,Q_at_bound,Q_at_upper,N_in_data_support,N_analytic_fixedQ,C_train,C_attn,C_quality,C_total,share_train,share_attn,share_quality,budget_residual
1e+19,指数型,2048,0.0682667,2.13478e+07,7.3083e+10,0.5,1.69232,1e+19,0.000292103,3423.45,True,False,False,2.13478e+07,9.36096e+18,6.39041e+17,0,1e+19,0.936096,0.0639041,0,0
1e+19,指数型,4096,0.136533,2.0759e+07,7.06416e+10,0.5,1.69235,1e+19,0.000293863,3402.95,True,False,False,2.0759e+07,8.79869e+18,1.20131e+18,0,1e+19,0.879869,0.120131,0,0
1e+19,指数型,8192,0.273067,1.97224e+07,6.63801e+10,0.5,1.69239,1e+19,0.000297114,3365.72,True,False,False,1.97224e+07,7.85505e+18,2.14495e+18,0,1e+19,0.785505,0.214495,0,0
1e+19,指数型,32768,1.09227,1.57593e+07,5.05469e+10,0.5,1.6926,1e+19,0.000311776,3207.43,True,False,False,1.57593e+07,4.77951e+18,5.22049e+18,0,1e+19,0.477951,0.522049,0,0
1e+19,指数型,131072,4.36907,1.02976e+07,3.01448e+10,0.5,1.69303,1e+19,0.000341605,2927.36,True,False,False,1.02976e+07,1.86252e+18,8.13748e+18,0,1e+19,0.186252,0.813748,0,0
1e+19,幂函数型,2048,0.0682667,2.13478e+07,7.3083e+10,0.5,1.69232,1e+19,0.000292103,3423.45,True,False,False,2.13478e+07,9.36096e+18,6.39041e+17,0,1e+19,0.936096,0.0639041,0,0
1e+19,幂函数型,4096,0.136533,2.0759e+07,7.06416e+10,0.5,1.69235,1e+19,0.000293863,3402.95,True,False,False,2.0759e+07,8.79869e+18,1.20131e+18,0,1e+19,0.879869,0.120131,0,0
1e+19,幂函数型,8192,0.273067,1.97224e+07,6.63801e+10,0.5,1.69239,1e+19,0.000297114,3365.72,True,False,False,1.97224e+07,7.85505e+18,2.14495e+18,0,1e+19,0.785505,0.214495,0,0
1e+19,幂函数型,32768,1.09227,1.57593e+07,5.05469e+10,0.5,1.6926,1e+19,0.000311776,3207.43,True,False,False,1.57593e+07,4.77951e+18,5.22049e+18,0,1e+19,0.477951,0.522049,0,0
1e+19,幂函数型,131072,4.36907,1.02976e+07,3.01448e+10,0.5,1.69303,1e+19,0.000341605,2927.36,True,False,False,1.02976e+07,1.86252e+18,8.13748e+18,0,1e+19,0.186252,0.813748,0,0
1e+19,对数渐进型,2048,0.0682667,2.13478e+07,7.3083e+10,0.5,1.69232,1e+19,0.000292103,3423.45,True,False,False,2.13478e+07,9.36096e+18,6.39041e+17,0,1e+19,0.936096,0.0639041,0,0
1e+19,对数渐进型,4096,0.136533,2.0759e+07,7.06416e+10,0.5,1.69235,1e+19,0.000293863,3402.95,True,False,False,2.0759e+07,8.79869e+18,1.20131e+18,0,1e+19,0.879869,0.120131,0,0
1e+19,对数渐进型,8192,0.273067,1.97224e+07,6.63801e+10,0.5,1.69239,1e+19,0.000297114,3365.72,True,False,False,1.97224e+07,7.85505e+18,2.14495e+18,0,1e+19,0.785505,0.214495,0,0
