scenario,cost,N,D,Q,L,share_train,share_attn,share_quality
基准,指数型,5.15303e+09,2.31512e+11,1,2.16275,0.715792,0.195459,0.0887485
基准,幂函数型,5.25851e+09,2.22945e+11,1,2.16422,0.703415,0.192079,0.104505
基准,对数渐进型,4.80366e+09,2.63821e+11,1,2.15794,0.760383,0.207635,0.0319822
κ=0.8,指数型,5.15303e+09,2.31512e+11,1,2.16275,0.715792,0.195459,0.0887485
κ=0.8,幂函数型,5.25851e+09,2.22945e+11,1,2.16422,0.703415,0.192079,0.104505
κ=0.8,对数渐进型,4.80366e+09,2.63821e+11,1,2.15794,0.760383,0.207635,0.0319822
κ=1.3,指数型,5.15303e+09,2.31512e+11,1,2.16275,0.715792,0.195459,0.0887485
κ=1.3,幂函数型,5.25851e+09,2.22945e+11,1,2.16422,0.703415,0.192079,0.104505
κ=1.3,对数渐进型,4.80366e+09,2.63821e+11,1,2.15794,0.760383,0.207635,0.0319822
Q0=0.3,指数型,5.17061e+09,2.30049e+11,1,2.16299,0.713697,0.194887,0.0914167
Q0=0.3,幂函数型,5.29138e+09,2.20375e+11,1,2.16469,0.699653,0.191052,0.109295
Q0=0.3,对数渐进型,4.9164e+09,2.52674e+11,1,2.15948,0.745349,0.20353,0.0511211
Q0=0.7,指数型,5.0939e+09,2.36537e+11,1,2.16193,0.722938,0.19741,0.079652
Q0=0.7,幂函数型,5.14876e+09,2.31869e+11,1,2.16269,0.716303,0.195598,0.0880986
Q0=0.7,对数渐进型,4.7207e+09,2.72513e+11,1,2.15682,0.771871,0.210772,0.0173566
α-10%,指数型,4.77544e+09,2.48076e+11,1,2.17424,0.710805,0.194097,0.0950984
α-10%,幂函数型,4.88476e+09,2.38099e+11,1,2.17579,0.697835,0.190556,0.111609
α-10%,对数渐进型,4.41101e+09,2.86489e+11,1,2.16917,0.758224,0.207046,0.0347303
α+10%,指数型,5.44574e+09,2.20118e+11,1,2.15168,0.719223,0.196396,0.0843808
α+10%,幂函数型,5.54726e+09,2.12496e+11,1,2.1531,0.707263,0.19313,0.0996076
α+10%,对数渐进型,5.11114e+09,2.48427e+11,1,2.14706,0.761848,0.208035,0.0301162
β-10%,指数型,4.7989e+09,2.46978e+11,1,2.20711,0.711135,0.194187,0.0946775
β-10%,幂函数型,4.91108e+09,2.36965e+11,1,2.20873,0.698253,0.19067,0.111077
β-10%,对数渐进型,4.42473e+09,2.85632e+11,1,2.20179,0.758306,0.207068,0.0346263
β+10%,指数型,5.58622e+09,2.15039e+11,1,2.1244,0.720753,0.196814,0.0824336
β+10%,幂函数型,5.6854e+09,2.07836e+11,1,2.12573,0.708978,0.193598,0.0974232
β+10%,对数渐进型,5.2601e+09,2.41598e+11,1,2.12011,0.762499,0.208213,0.0292883
