cost,ell,Q_leaves_bound_at_logC,slope_tokens_per_param_start,slope_tokens_per_param_end,Q_min,Q_max,share_quality_min,share_quality_max,share_train_min,share_train_max
对数渐进型,2048,,0.459148,0.0995809,1,1,0.0016637,0.343778,0.614287,0.934538
对数渐进型,8192,,0.447068,0.0993414,1,1,0.00151161,0.328343,0.52759,0.784317
对数渐进型,32768,,0.412054,0.0987728,1,1,0.00115195,0.285652,0.341423,0.4774
对数渐进型,131072,,0.344666,0.0980421,1,1,0.000687683,0.21112,0.146931,0.186124
幂函数型,2048,19.2,0.0969553,0.10694,0.5,1,0,0.246506,0.705343,0.936096
幂函数型,8192,19.1,-0.566692,0.106043,0.5,1,0,0.246405,0.591953,0.785505
幂函数型,32768,,-0.560737,0.103907,0.570016,1,0.00442279,0.24563,0.360552,0.475837
幂函数型,131072,,-0.221796,0.101128,0.703905,1,0.00264781,0.245581,0.140512,0.185759
指数型,2048,,-0.155977,0.105154,0.635301,1,0.00522049,0.183147,0.764653,0.931209
指数型,8192,,-0.12833,0.104415,0.652108,1,0.00474657,0.182934,0.641809,0.781776
指数型,32768,,-0.0517623,0.102656,0.697761,1,0.00362323,0.183149,0.390414,0.476219
指数型,131072,,0.0119125,0.100374,0.778158,1,0.00216763,0.183194,0.152132,0.185848
