model_dir,model_name,n_subtasks,bbh_macro,bbh_weighted,bbh_group,date
0-hero_Matter-0.2-7B-DPO,0-hero/Matter-0.2-7B-DPO,24,35.9625,35.8445,35.8445,2024-08-07 12:56:59.913853884
01-ai_Yi-1.5-34B,01-ai/Yi-1.5-34B,24,59.7639,59.5383,59.5383,2024-06-18 20:25:35.350012779
01-ai_Yi-1.5-34B-32K,01-ai/Yi-1.5-34B-32K,24,60.1569,59.816,59.816,2024-06-17 10:19:31.767186642
01-ai_Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,24,60.8375,60.6492,60.6492,2024-06-16 17:24:36.590114117
01-ai_Yi-1.5-34B-Chat-16K,01-ai/Yi-1.5-34B-Chat-16K,24,61.0022,60.7013,60.7013,2024-07-17 09:26:00.739881516
01-ai_Yi-1.5-6B,01-ai/Yi-1.5-6B,24,44.8835,44.8186,44.8186,2024-06-17 14:33:04.016424417
01-ai_Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,24,45.5486,45.0616,45.0616,2024-06-17 10:19:06.318144560
01-ai_Yi-1.5-9B,01-ai/Yi-1.5-9B,24,51.4294,51.3626,51.3626,2024-06-16 17:23:32.966049433
01-ai_Yi-1.5-9B-32K,01-ai/Yi-1.5-9B-32K,24,49.6332,49.4011,49.4011,2024-06-16 17:16:00.166558504
01-ai_Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,24,55.5906,55.2855,55.2855,2024-06-17 09:17:42.736073256
01-ai_Yi-1.5-9B-Chat-16K,01-ai/Yi-1.5-9B-Chat-16K,24,51.5338,51.2411,51.2411,2024-06-16 17:31:08.721760273
01-ai_Yi-34B,01-ai/Yi-34B,24,54.571,54.5044,54.5044,2024-06-16 17:22:24.936901569
01-ai_Yi-34B-200K,01-ai/Yi-34B-200K,24,54.4182,54.0184,54.0184,2024-06-16 17:28:21.647815704
01-ai_Yi-34B-Chat,01-ai/Yi-34B-Chat,24,55.6087,55.2682,55.2682,2024-06-16 17:32:43.048401356
01-ai_Yi-6B,01-ai/Yi-6B,24,43.0923,42.6662,42.6662,2024-06-16 17:25:29.329074383
01-ai_Yi-6B-200K,01-ai/Yi-6B-200K,24,42.8929,42.4579,42.4579,2024-06-16 17:26:42.040420771
01-ai_Yi-6B-Chat,01-ai/Yi-6B-Chat,24,41.326,40.8783,40.8783,2024-06-16 17:29:44.700621605
01-ai_Yi-9B,01-ai/Yi-9B,24,49.3961,49.2623,49.2623,2024-06-17 09:17:41.259587765
01-ai_Yi-9B-200K,01-ai/Yi-9B-200K,24,47.933,47.8042,47.8042,2024-06-16 17:12:46.218263865
01-ai_Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B-Chat,24,48.142,48.0299,48.0299,2024-09-13 23:26:13.610733032
1-800-LLMs_Qwen-2.5-14B-Hindi,1-800-LLMs/Qwen-2.5-14B-Hindi,24,65.239,64.9714,64.9714,2025-02-06 05:13:44.218462706
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,24,62.8432,62.5759,62.5759,2025-02-06 09:40:54.611308813
1024m_PHI-4-Hindi,1024m/PHI-4-Hindi,24,67.1002,66.9675,66.9675,2025-02-06 05:10:21.255594969
1024m_QWEN-14B-B100,1024m/QWEN-14B-B100,24,65.3271,65.1102,65.1102,2025-02-06 09:42:47.248487234
